reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;1.290588612792323e-20;5.4865417599825366e-24
12HTACRhr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
12HTACRitr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
12HTACRtep;1;0;1;0;2.0872285290564504e-45;5.76350928740233e-39
12PPDRte;0;1;0;1;2.0872285290564504e-45;1.7082298528943425e-34
13DAMPPOX;0;0;0;0;6.176860730260678e-10;2.5428780834081798e-05
13_CIS_RETNte;1;0;1;0;2.0872285290564504e-45;1.7082298528943425e-34
14HMDZALThr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
14HMDZhr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
14HMDZitr;0;1;0;1;7.212629071709879e-37;9.185243161061418e-26
14MDZtev;1;0;1;0;2.0872285290564504e-45;5.76350928740233e-39
1OHMDZhr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
2H3MVc;1;0;1;0;2.0872285290564504e-45;1.7082298528943425e-34
2H3MVte;1;0;1;0;2.0872285290564504e-45;1.7082298528943425e-34
2HATVACIDOXDhc;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
2HATVACIDitr;1;0;1;0;2.0872285290564504e-45;5.76350928740233e-39
2HATVACIDtep;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
2HIVc;0;1;0;1;1.1044048040168693e-37;2.5880181649349513e-28
2HIVte;0;0;0;0;9.350876056830777e-43;6.0787312090021645e-34
2OXOADPt;0;1;0;1;6.248707689104057e-33;8.803457657284302e-32
2PGtr;1;0;1;0;2.0872285290564504e-45;1.7082298528943425e-34
34DHPEAR;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
34DHPEt;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
35DSMVhep;1;0;1;0;2.0872285290564504e-45;5.76350928740233e-39
35DSMVitr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
35DSMVteb;1;0;1;0;1.2936744952054426e-16;0.004798215128004213
3AIBSYMPt;1;0;1;0;1.6254869800590768e-44;1.7559170500666152e-34
3AIBt1;1;0;1;0;2.0872285290564504e-45;1.7082298528943425e-34
3DDCRNtr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3DECCRNtr;0;1;0;1;2.0747232897876048e-26;6.328546754944742e-12
3HDECECRNtr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3HEXDCRNtr;1;0;1;0;1.7670512607003392e-34;2.5716334383220086e-22
3HPVSCOAhc;0;0;0;0;5.125107038045117e-20;1.4006065649363034e-11
3HPVSCOAitm;0;0;0;0;2.136964586208732e-24;5.932973647398117e-25
3HPVSCOAitx;0;0;0;0;2.0872285290564504e-45;1.7082298528943425e-34
3HPVSTETCOAhcm;0;1;0;1;2.0872285290564504e-45;1.7082298528943425e-34
3HPVSTETCOAhcx;1;0;1;0;2.0872285290564504e-45;1.7082298528943425e-34
3HPVSTETCOAitm;0;1;0;1;2.0872285290564504e-45;1.7082298528943425e-34
3HPVSTETCOAitx;0;0;0;0;2.0872285290564504e-45;1.7082298528943425e-34
3HPVSTEThc;0;1;0;1;2.0872285290564504e-45;1.7082298528943425e-34
3HPVSTETtev;1;0;1;0;2.0872285290564504e-45;1.7082298528943425e-34
3HPVStep;0;1;0;1;2.0872285290564504e-45;1.7082298528943425e-34
3HSMVACIDhep;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3HSMVACIDteb;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3HSMVhep;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3HSMVitr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3MHISc;0;0;0;0;7.212629071709879e-37;2.354294232684309e-30
3MHISt1;0;1;0;1;2.0872285290564504e-45;1.7082298528943425e-34
3MHISt2;0;0;0;0;5.0942671908545445e-05;9.898303116540397e-05
3MHISt3;0;0;0;0;1.3905095053290802e-12;0.00023132143971903247
3MOBte;0;0;0;0;0.35682448565980085;0.3012801917588872
3MOPte;0;1;0;1;2.0872285290564504e-45;1.7082298528943425e-34
3MOX4HOXMte;0;0;0;0;3.597816074713109e-32;1.613737899222135e-22
3MOXTYRt;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3MTPte;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3OCTDEC2CRNtr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3OCTDECCRNtr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3PGtr;1;0;1;0;2.0872285290564504e-45;1.7082298528943425e-34
3TDCRNtr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3TETD7ECOACRNtr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3THEXDDCOACRNtr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
3TTETDDCOACRNtr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
4AABUTNt;0;0;0;0;2.0872285290564504e-45;1.7082298528943425e-34
4GLU56DIHDINDt;0;0;0;0;5.01026711430732e-14;0.0005075673146529244
4HATVACIDOXDhc;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
4HATVACIDitr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
4HATVACIDtep;1;0;1;0;2.0872285290564504e-45;5.76350928740233e-39
4HATVLACOXDhc;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
4HATVLACitr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
4HATVLACtep;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
4HPRO_LTte;0;0;0;0;2.0872285290564504e-45;1.7082298528943425e-34
4OHMDZhr;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
4TMEABUTNt1;0;1;0;1;2.0872285290564504e-45;1.7082298528943425e-34
4TMEABUTNt2;0;0;0;0;1.426073146101679e-06;0.47621128660758394
56DTHMt;0;0;0;0;1.301992427080468e-07;8.981214276914706e-05
56DTHMtd;0;0;0;0;3.997245826320073e-09;0.3849771211943679
56DURAt;0;0;0;0;6.3417149344333945e-06;0.0015730520371251984
5AOPt;1;0;1;0;2.0872285290564504e-45;1.7082298528943425e-34
5AOPt2;0;1;0;1;2.0872285290564504e-45;5.76350928740233e-39
