reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
12PPDRte;0;0;0;0;0.0032623664991148597;0.012450245998662573
13_CIS_RETNte;0;1;0;1;2.694099068017905e-45;2.2188674722723422e-34
15KPROSTGF2t;0;0;0;0;5.399275722929478e-25;2.2794714118374594e-23
2H3MVc;0;0;0;0;0.00879702147077378;0.02365316945001841
2H3MVte;0;0;0;0;1.6609646382463952e-15;3.5100516900161835e-18
2HIVc;0;0;0;0;0.03331310898797775;0.17376002088977613
2HIVte;0;0;0;0;2.134126196059206e-34;9.592019317031258e-33
2OXOADPt;0;0;0;0;8.800792745265866e-22;3.848441619783983e-21
31DMThr;0;1;0;1;2.694099068017905e-45;1.6544378543387392e-38
31DMTitr;0;1;0;1;2.694099068017905e-45;1.6544378543387392e-38
31DMTtep;1;0;1;0;2.694099068017905e-45;1.6544378543387392e-38
34HPLte;0;1;0;1;2.694099068017905e-45;1.6544378543387392e-38
34HPPte;1;0;1;0;2.694099068017905e-45;2.2188674722723422e-34
3AIBSYMPt;1;0;1;0;2.694099068017905e-45;2.2188674722723422e-34
3AIBt1;1;0;1;0;2.694099068017905e-45;2.2188674722723422e-34
3DDCRNtr;1;0;1;0;2.694099068017905e-45;1.6544378543387392e-38
3DECCRNtr;0;1;0;1;2.694099068017905e-45;2.2188674722723422e-34
3HDECECRNtr;0;1;0;1;3.811450356337456e-29;1.03038934222201e-19
3HEXDCRNtr;0;1;0;1;6.122155863021764e-41;5.296384737809983e-32
3HPPt;0;0;0;0;4.45103035258074e-12;0.010462485062356459
3HPPtm;0;0;0;0;0.10453480941730332;0.023783823237199315
3HPVSCOAhc;0;1;0;1;2.694099068017905e-45;2.2188674722723422e-34
3HPVSCOAitm;1;0;1;0;4.320847684661078e-40;5.163733358188954e-29
3HPVSCOAitx;0;1;0;1;2.9842772461635716e-39;5.712725597424936e-28
3HPVSTETCOAhcm;1;0;1;0;5.399275722929478e-25;1.9356482435576974e-11
3HPVSTETCOAhcx;1;0;1;0;8.732652805677556e-37;1.0547308170292073e-27
3HPVSTETCOAitm;0;0;0;0;2.694099068017905e-45;2.2188674722723422e-34
3HPVSTETCOAitx;0;0;0;0;1.7134896142782472e-09;1.1933793500457756e-09
3HPVSTEThc;1;0;1;0;2.694099068017905e-45;2.2188674722723422e-34
3HPVSTETtev;0;0;0;0;8.515294132972351e-19;3.6136701292631944e-07
3HPVStep;0;1;0;1;2.694099068017905e-45;2.2188674722723422e-34
3ISPVShc;0;1;0;1;2.694099068017905e-45;1.6544378543387392e-38
3ISPVStep;1;0;1;0;2.694099068017905e-45;1.6544378543387392e-38
3MHISc;0;0;0;0;9.579272298282135e-11;2.3441820888236316e-13
3MHISt1;0;0;0;0;3.5279005686175445e-11;2.0117309084840062e-07
3MHISt2;1;0;1;0;2.694099068017905e-45;2.2188674722723422e-34
3MHISt3;0;0;0;0;0.07288799503024031;0.04761418620848731
3MOBte;0;0;0;0;9.579272298282135e-11;0.0006756832076475821
3MOPte;0;1;0;1;2.694099068017905e-45;2.2188674722723422e-34
3MOX4HOXMte;0;0;0;0;7.210831460805824e-30;1.269082980517105e-23
3MTPte;0;1;0;1;1.5626994518070148e-43;6.5720353918716826e-34
3OCTDEC2CRNtr;0;1;0;1;2.694099068017905e-45;1.6544378543387392e-38
3PGtr;0;0;0;0;6.965937345080632e-07;5.120058902151529e-07
3TDCRNtr;0;1;0;1;2.694099068017905e-45;1.6544378543387392e-38
3TETD7ECOACRNtr;0;1;0;1;2.694099068017905e-45;1.6544378543387392e-38
3THEXDDCOACRNtr;0;1;0;1;2.694099068017905e-45;1.6544378543387392e-38
