reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
ALAyLATthc;0;0;0;0;6.967435628178636e-44;7.808925548609616e-34
AMY2e;0;0;0;0;1.0526644285740766e-08;2.644253165129531e-05
BGAL1e;0;1;0;1;9.580993213422562e-45;3.549280063739389e-38
BUTt2r;0;0;0;0;0.04864073478408381;0.009912956933541462
C181CPT2;0;1;0;1;9.580993213422562e-45;3.549280063739389e-38
CA2t;0;0;0;0;9.580993213422562e-45;7.729217296660906e-34
CAATPS;1;0;1;0;9.580993213422562e-45;7.729217296660906e-34
CITtam;0;0;0;0;9.580993213422562e-45;7.729217296660906e-34
CYOOm3i;0;1;0;1;9.580993213422562e-45;7.729217296660906e-34
DESAT18_3;1;0;1;0;9.580993213422562e-45;7.729217296660906e-34
DESAT18_5;0;0;0;0;4.6367294199310905e-14;1.061936699503849e-16
DTMPKm;1;0;1;0;9.580993213422562e-45;7.729217296660906e-34
EBP1r;0;0;0;0;9.580993213422562e-45;7.729217296660906e-34
EBP2r;0;0;0;0;6.253521089475164e-19;3.493120841041437e-08
ELAIDCPT2;0;1;0;1;9.580993213422562e-45;3.549280063739389e-38
ETF;1;0;1;0;9.580993213422562e-45;3.549280063739389e-38
ETFQO;0;1;0;1;9.580993213422562e-45;3.549280063739389e-38
EX_12HPET;0;1;0;1;2.2955484939318706e-32;2.412814202371806e-17
EX_C04849;1;0;1;0;9.580993213422562e-45;7.729217296660906e-34
EX_CE0074;1;0;1;0;5.9363485265795e-22;1.567993969452437e-06
EX_CE2510;1;0;1;0;5.9363485265795e-22;1.567993969452437e-06
EX_CE2915;1;0;1;0;9.580993213422562e-45;7.729217296660906e-34
EX_CE2916;1;0;1;0;9.580993213422562e-45;7.729217296660906e-34
EX_CE2917;0;0;0;0;3.931928339598292e-33;4.801470002355424e-29
EX_CE4722;1;0;1;0;9.580993213422562e-45;7.729217296660906e-34
EX_CE4723;1;0;1;0;9.580993213422562e-45;7.729217296660906e-34
EX_CE4724;0;0;0;0;1.740488026516335e-35;1.776099106787065e-25
EX_CE5867;0;0;0;0;0.2269026344468847;0.08981554631457936
EX_CE5868;0;1;0;1;6.967435628178636e-44;6.188199966158138e-33
EX_CE5869;0;0;0;0;0.01232971094558878;0.09528363659603628
EX_HC00002;0;1;0;1;9.580993213422562e-45;3.549280063739389e-38
EX_HC01609;0;1;0;1;1.4117559986571422e-39;1.172828886823542e-28
EX_HC01610;0;1;0;1;3.3487943273674804e-25;4.355815428400663e-21
EX_M00003;0;0;0;0;2.3605453400998994e-18;1.5269677120391457e-21
EX_M00008;0;0;0;0;1.142414734279091e-28;5.701305842170711e-28
EX_M00010;1;0;1;0;9.580993213422562e-45;7.729217296660906e-34
EX_M00017;1;0;1;0;9.580993213422562e-45;7.729217296660906e-34
EX_M00019;1;0;1;0;9.580993213422562e-45;7.729217296660906e-34
EX_M00021;0;0;0;0;7.333641947884272e-31;2.0072687275912006e-30
EX_M00115;0;0;0;0;9.580993213422562e-45;7.729217296660906e-34
EX_M00117;0;1;0;1;9.580993213422562e-45;7.729217296660906e-34
EX_M00260;0;0;0;0;9.580993213422562e-45;7.729217296660906e-34
EX_M00265;0;0;0;0;1.6171056822011326e-19;5.5281575261440346e-05
EX_M00315;0;0;0;1;1.3297292304696492e-12;0.10215435937743293
EX_M00341;0;0;0;0;0.04864073478408381;0.015722875378813
EX_M01197;0;1;0;1;9.580993213422562e-45;7.729217296660906e-34
