reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
12DHCHOLabc;0;0;0;0;1.2504117480202352e-08;2.722343017160611e-10
12DHCHOLt;0;0;0;0;7.362070168800247e-08;1.0526078394150648e-08
2HATVACIDteb;0;0;0;0;0.0002846066118446821;0.00020476805498606318
2HATVACIDtep;0;1;0;1;1.1583382317143486e-44;5.978416122992871e-38
2HATVLACteb;0;0;0;0;0.023233432383100668;0.0016579378175889433
2HATVLACtep;0;0;0;0;2.4674840018859225e-29;1.2304432361379223e-27
3DHCDCHOLabc;0;0;0;0;1.888540841244155e-05;9.131362468540154e-07
3DHCDCHOLt;0;0;0;0;7.78862068655302e-38;3.9719604562875736e-33
3DHCHOLabc;0;0;0;0;3.385963455061547e-27;6.728282932394664e-24
3DHCHOLt;0;0;0;0;1.7013797004801237e-14;1.0870782478038519e-18
3DHDCAabc;0;0;0;0;3.073584972602106e-08;0.005356950294600234
3DHDCAt;0;0;0;0;1.6757816053219987e-26;2.1841035877388185e-25
3DHLCAabc;0;0;0;0;1.6757816053219987e-26;2.1841035877388185e-25
3DHLCAt;0;0;0;0;0.0002846066118446821;5.604094643419998e-05
3HPVSTETteb;0;0;0;0;0.0002846066118446821;5.604094643419998e-05
3HPVSTETtev;0;0;0;0;1.71592396206745e-13;4.0514085445267955e-17
3HPVSteb;0;1;0;1;1.727311386904978e-07;0.0002573641308446835
3HPVStep;0;0;0;0;4.297906615442987e-06;3.2474410983505614e-08
3ISPVSteb;0;0;0;0;1.9785931665274732e-06;5.6593936636245816e-05
3ISPVStep;0;0;0;0;1.5993667364857358e-22;6.093307604700904e-24
4HATVACIDteb;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
4HATVACIDtep;0;1;0;1;1.1583382317143486e-44;5.978416122992871e-38
4HATVLACteb;0;0;0;0;4.995481166479038e-09;4.234739436603138e-08
4HATVLACtep;1;0;1;0;7.650713300193945e-05;0.006661765942952367
56DHPVSteb;0;0;0;0;1.888540841244155e-05;0.002102328173483515
56DHPVStev;0;1;0;1;8.800388705524187e-44;9.787517931467032e-34
56EPPVSteb;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
56EPPVStev;0;0;0;0;0.0005276172140462891;0.00020630262281202011
6EPSteb;0;0;0;0;0.0005276172140462891;0.00020630262281202011
6EPVStep;0;0;0;0;0.0005276172140462891;0.00020630262281202011
7DHCDCHOLabc;0;0;0;0;1.9668370376241283e-09;1.9938178986598537e-06
7DHCDCHOLt;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
7DHCHOLabc;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
7DHCHOLt;0;1;0;1;1.3510942855039524e-11;0.00014556114251469026
7HPVSteb;0;1;0;1;1.7013797004801237e-14;7.116983579044013e-18
7HPVStev;1;0;1;0;1.2960821401066716e-28;2.590419105022942e-13
7KILTCHOLATP;1;0;1;0;4.5140069389620485e-33;1.2499853989291698e-25
7KLITCHOLc;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
ACCOAL;0;0;0;0;0.18598526399191523;0.6531824511074119
ACMPGLUTtep;0;1;0;1;1.8794822368659482e-19;4.0344179975195035e-07
ACMPGLUTthc;0;0;0;0;3.286840438394894e-36;4.127072862786178e-28
ACMPGLUtep;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
ACMPGLUthc;0;0;0;0;7.362070168800247e-08;7.339069941496898e-10
AMY2e;0;0;0;0;1.71592396206745e-13;2.024212437207352e-16
BGAL1e;0;1;0;1;2.4739875526784697e-40;5.665185502340699e-32
C03990ATP;0;0;0;0;3.6540954318252535e-23;3.363284848941848e-24
C03990t;0;0;0;0;2.760000990392814e-18;1.3102061418625153e-06
C04483t1;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
C04483t2;0;0;0;0;0.0009633881084774855;8.69695394749018e-05
C05463t1;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
C05463t2;0;1;0;1;8.800388705524187e-44;1.1524589913401777e-32
C05769te;0;0;0;0;0.18598526399191523;0.09372098209660441
C05769te3;0;0;0;0;3.8580683825446904e-25;2.1929478380562188e-26
C05770te;1;0;1;0;3.481663421477713e-41;8.886674552727794e-32
C05770te4;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
CA3Sabc;0;0;0;0;3.385963455061547e-27;9.828094414097897e-25
CA3St;0;1;0;1;6.558267605033409e-43;5.459240222749267e-33
CDCA24GSc;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
CDCA24Gte;0;0;0;0;7.78862068655302e-38;6.694538664697618e-32
CDCA3GSc;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
CDCA3Gte;0;0;0;0;0.3711850281289079;1.0
CDS;1;0;1;0;7.78862068655302e-38;1.6539813026803335e-32
CE1273t1;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
CE1273t2;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
CITtam;1;0;1;0;4.575357056221084e-16;0.0196030243048321
COPROSTabc;1;0;1;0;2.0532569591964197e-35;3.622658331845541e-21
COPROSTt;0;0;0;0;1.1583382317143486e-44;9.552022310322108e-34
CYOOm3i;0;1;0;1;1.1583382317143486e-44;5.978416122992871e-38
DACT;1;0;1;0;2.876366562305284e-21;4.791030312441278e-23
DCA24GSc;0;1;0;1;1.316602749325841e-16;2.4992666718893416e-13
DCA24Gte;1;0;1;0;3.286840438394894e-36;6.255420088448817e-23
DCA3GSc;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
DCA3Gte;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
DCA3Sabc;0;1;0;1;1.5048185743206132e-31;1.8680963351335057e-16
DCA3St;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
DCMPtr;1;0;1;0;5.134308414158087e-37;3.020431772791683e-23
DESAT18_3;0;1;0;1;1.1583382317143486e-44;5.978416122992871e-38
DESAT18_4;0;1;0;1;1.1583382317143486e-44;5.978416122992871e-38
DESAT18_5;0;1;0;1;3.8580683825446904e-25;9.440480367162246e-27
DESAT18_6;0;1;0;1;1.1583382317143486e-44;5.978416122992871e-38
DESAT18_7;1;0;1;0;1.1583382317143486e-44;5.978416122992871e-38
DESAT18_8;0;1;0;1;1.1583382317143486e-44;5.978416122992871e-38
DGCHOLte;0;0;0;0;4.575357056221084e-16;4.646712577392386e-18
DSPVSteb;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
DSPVStev;0;0;0;0;0.0030325009997773144;0.0009768868604025302
DTMPKm;0;0;0;0;2.4674840018859225e-29;2.04405285169925e-27
DXTRNt;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
EBP1r;0;0;0;0;5.267478593587081e-13;1.459701336347865e-16
EBP2r;0;0;0;0;0.00014909769141892735;4.9163088971645745e-06
ETF;0;0;0;0;1.3510942855039524e-11;2.4632639495456437e-07
ETFQO;0;1;0;1;6.558267605033409e-43;7.901076529005796e-33
EX_12HPET;1;0;1;0;3.286840438394894e-36;6.34942889635914e-30
EX_23cump;0;1;0;1;3.481663421477713e-41;1.1524589913401777e-32
EX_3ump;0;0;0;0;0.036472713402948664;0.010501513019717423
EX_7klitchol;0;0;0;0;0.0002846066118446821;3.4410977977827346e-06
EX_C02528;1;0;1;0;7.281240230839565e-19;3.4918782873800495e-09
EX_C04849;0;1;0;1;4.7518957589927877e-20;9.341324979704704e-21
EX_CE0074;0;0;0;0;0.5064276647816954;0.08016233515612865
EX_CE2250;0;1;0;1;6.558267605033409e-43;2.5863634024747365e-33
EX_CE2510;0;0;0;0;5.134308414158087e-37;5.872184627906493e-29
EX_HC00955;0;0;0;0;1.5543814498107854e-15;1.0510453033710396e-16
EX_HC01577;0;0;0;0;9.121686407463488e-06;2.737003617831931e-07
EX_HC01609;0;0;0;0;7.650713300193945e-05;8.965472044687853e-05
EX_HC01610;0;0;0;0;0.3711850281289079;0.058729720503384625
EX_HC01700;0;1;0;1;4.590303664170845e-30;1.9982387464037112e-28
EX_HC02160;0;0;0;0;0.5064276647816954;0.7030854900857054
EX_HC02161;1;0;1;0;3.481663421477713e-41;5.298323309441843e-31
EX_HC02191;0;0;0;0;2.6315727161249143e-32;7.419720570888131e-24
EX_HC02194;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
EX_HC02195;0;0;0;0;0.0017257115457506244;0.0011936582727180086
EX_HC02196;0;0;0;0;2.8636562336069653e-10;0.5127054325451299
EX_M00003;0;1;0;1;5.134308414158087e-37;7.038269728702334e-28
EX_M00008;0;0;1;0;1.583921403013833e-12;0.1640773496447162
EX_M00010;0;1;0;1;2.0532569591964197e-35;4.320352334332165e-26
EX_M00017;0;0;0;0;1.5543814498107854e-15;4.045054786905948e-16
EX_M00019;0;0;0;0;1.9785931665274732e-06;4.710086637495925e-07
EX_M00021;0;1;0;1;1.7091202852505015e-39;6.168688962895963e-28
EX_M00115;1;0;1;0;4.8595917426874117e-42;1.2945141593439224e-30
EX_M00117;1;0;1;0;2.4739875526784697e-40;2.032155124537174e-31
EX_M00260;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
EX_M00265;1;0;1;0;2.6315727161249143e-32;1.586321681498406e-20
EX_M00315;0;0;0;0;0.023233432383100668;0.24294170952900207
EX_M00341;0;0;0;0;8.386263901923477e-31;5.915788096050015e-31
EX_M01197;0;0;0;0;4.5140069389620485e-33;1.2945141593439224e-30
EX_M01207;1;0;1;0;3.83920042050275e-05;0.04209218240997497
EX_M01235;0;0;0;0;3.786881369646085e-11;0.00033567296700845125
EX_M01238;0;1;0;1;2.6315727161249143e-32;6.180647160337123e-29
EX_M01582;1;0;1;0;5.454111017103471e-14;5.137216086412488e-19
EX_M02053;0;1;0;1;6.685294678675695e-28;8.344903138447044e-29
EX_M02457;0;0;0;0;5.267478593587081e-13;4.791593417772018e-08
EX_M02613;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
EX_M02745;0;1;0;1;1.5543814498107854e-15;0.0026881428180303194
EX_M02956;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
EX_M03045;1;0;1;0;4.7518957589927877e-20;2.4362562272929133e-24
EX_M03051;0;1;0;1;4.995481166479038e-09;3.1640739311223902e-06
EX_M03153;1;0;1;0;4.575357056221084e-16;0.009074872116146703
EX_adrn;1;0;1;0;8.800388705524187e-44;1.2527202555771892e-32
EX_arach;1;0;1;0;1.583921403013833e-12;0.008440780692496352
EX_arachcoa;0;0;0;0;0.0017257115457506244;0.6531824511074119
EX_arachd;1;0;1;0;1.5993667364857358e-22;3.4622681937324327e-07
EX_atp;0;0;0;0;5.188353791142369e-15;2.863906741435184e-16
EX_cdca24g;0;0;0;0;3.6540954318252535e-23;8.379217493384127e-20
EX_cdca3g;0;0;0;0;7.585142875029513e-34;3.0998985996070604e-31
EX_clpnd;0;0;0;0;1.9668370376241283e-09;9.946005442839529e-09
EX_coa;0;1;0;1;3.481663421477713e-41;1.5379199384620334e-33
EX_crvnc;0;1;0;1;1.6757816053219987e-26;5.271900312221124e-27
EX_dca24g;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
EX_dca3g;1;0;1;0;6.558267605033409e-43;2.8880193160602738e-33
EX_dchac;0;0;0;0;5.188353791142369e-15;6.004034946336965e-14
EX_dcmp;0;0;0;0;1.9668370376241283e-09;5.484417975245811e-07
EX_dcsptn1;0;0;0;1;4.995481166479038e-09;0.7619063867792096
EX_ddca;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
EX_dgmp;1;0;1;0;2.4739875526784697e-40;5.017951889609502e-31
EX_dgtp;1;0;1;0;1.7091202852505015e-39;4.1547042636221435e-27
EX_dha;0;0;0;0;2.876366562305284e-21;1.9075267648715774e-18
EX_dhap;0;0;0;0;1.3510942855039524e-11;2.7863562096651798e-11
EX_dlnlcg;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
EX_doco13ac;0;0;0;0;0.0005276172140462891;0.0005619164671578923
EX_docosac;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
EX_dxtrn;0;0;0;0;0.0002846066118446821;7.5041073836185255e-06
EX;0;0;0;0;2.4332763687738798e-24;0.27520226858246816
EX;0;0;0;0;2.4332763687738798e-24;0.27520226858246816
EX_fmn;0;0;0;0;5.454111017103471e-14;1.1926621875016165e-13
EX_galgluside_hs;0;0;0;0;0.0005276172140462891;0.00020818978809089726
EX_gluside_hs;0;0;0;0;3.83920042050275e-05;6.90527034434774e-07
EX_glygn2;1;0;1;0;4.575357056221084e-16;0.010086883816696486
EX_glygn4;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
EX_h2co3;0;1;0;1;3.286840438394894e-36;2.620864400851244e-22
EX_hca24g;0;0;0;0;1.316602749325841e-16;3.7761230268640134e-15
EX_hca6g;0;1;0;1;2.4674840018859225e-29;5.872184627906493e-29
EX_hdca24g;0;0;0;0;0.014488974768982815;0.04539785310928974
EX_hdca6g;0;0;0;1;4.687393391632931e-12;0.4533804947556338
EX_hdca;1;0;1;0;1.2960821401066716e-28;2.980483281584375e-16
EX_hdcea;0;1;0;1;1.1583382317143486e-44;9.552022310322108e-34
EX_hexc;1;0;1;0;7.281240230839565e-19;1.0818927463817538e-05
EX_hpdca;1;0;1;0;1.1583382317143486e-44;9.552022310322108e-34
EX_hyochol;0;1;0;1;6.856919628746796e-22;1.6176102573458254e-06
