reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
ACCOAL;0;1;0;1;1.230733252470127e-44;5.226325415459014e-38
AMETt;0;1;0;1;1.230733252470127e-44;5.226325415459014e-38
AMY2e;0;0;0;0;1.7281516234116637e-22;8.67183879313662e-21
BGAL1e;1;0;1;0;9.239132891923446e-44;5.089008299066727e-33
C14STRr;0;1;0;1;1.230733252470127e-44;5.226325415459014e-38
C181CPT2rbc;0;1;0;1;5.133806895865249e-42;1.0127427038373242e-33
CE5025t;0;1;0;1;1.230733252470127e-44;5.226325415459014e-38
CITtam;0;0;0;0;1.4495784173962392e-28;2.796296969986484e-29
CYOOm3i;0;0;0;0;2.884400907019032e-10;0.05924499566217893
DCMPtr;0;0;0;0;2.884400907019032e-10;2.82486045052577e-10
DESAT18_3;0;0;0;0;3.8086269348735936e-17;1.7034360961298968e-19
DESAT18_5;0;0;0;0;3.975412372107139e-23;3.742610540015041e-25
DOPAc;1;0;1;0;1.230733252470127e-44;5.226325415459014e-38
DTMPKm;0;0;0;0;4.7269457268986846e-12;2.0370052811522812e-16
EBP1r;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EBP2r;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
ELAIDCPT2;1;0;1;0;3.975412372107139e-23;1.7939719694622054e-08
ETF;0;1;0;1;1.230733252470127e-44;1.0127427038373242e-33
ETFQO;0;1;0;1;3.8086269348735936e-17;0.0011162841848428495
EX_12HPET;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EX_23cump;0;0;0;0;9.39094745209483e-06;0.5597011913461063
EX_3ump;1;0;1;0;1.25221028513241e-20;6.000737708540588e-08
EX_C04849;0;0;0;0;1.3598423608279081e-11;0.6365003560475259
EX_CE0074;0;0;0;1;1.3598423608279081e-11;1.0
EX_CE2510;1;0;1;0;9.239132891923446e-44;1.1513354873064702e-33
EX_CE5025;0;1;0;1;1.230733252470127e-44;5.226325415459014e-38
EX_HC00003;0;1;0;1;1.230733252470127e-44;5.226325415459014e-38
EX_HC00955;0;0;0;0;1.0;1.0
EX_HC01577;0;1;0;1;5.6377145842130994e-37;2.571280963346802e-32
EX_HC01609;0;1;0;1;1.230733252470127e-44;5.226325415459014e-38
EX_HC01610;0;1;0;1;1.230733252470127e-44;5.226325415459014e-38
EX_HC01700;1;0;1;0;4.213635031515285e-25;8.973922616721819e-10
EX_HC02160;1;0;1;0;4.213635031515285e-25;8.973922616721819e-10
EX_HC02161;0;0;0;0;0.005356729030526855;0.021654532075357103
EX_M00003;0;0;0;0;1.9502454542776066e-05;1.0
EX_M00008;1;0;1;0;1.4495784173962392e-28;2.908538704314892e-28
EX_M00010;1;0;1;0;3.653260849368848e-36;2.3162754622801346e-24
EX_M00017;1;0;1;0;9.239132891923446e-44;6.417575390348346e-33
EX_M00019;0;0;0;0;0.0009869732854280193;5.2151100881732365e-06
EX_M00021;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EX_M00115;0;1;0;1;6.88572013281161e-43;1.2201516881145543e-33
EX_M00117;0;0;0;0;9.239132891923446e-44;1.037367595971253e-33
EX_M00234;0;0;0;0;0.13231813365310172;0.045236200848180017
EX_M00260;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EX_M00265;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EX_M00315;0;0;0;0;1.25221028513241e-20;2.4938096988275515e-16
EX_M00341;0;1;0;1;3.743369982525198e-27;3.1851974786159393e-27
EX_M00503;0;0;0;0;0.2749639073036107;0.1959891382190254
EX_M01197;1;0;1;0;3.690518277796677e-41;9.418147797718065e-32
EX_M01207;1;0;1;0;9.239132891923446e-44;2.337191958764039e-33
EX_M01235;0;0;0;0;5.5891381040561164e-14;5.981311358159941e-16
EX_M01238;0;1;0;1;5.6377145842130994e-37;4.365619604270139e-30
EX_M01582;0;1;0;1;1.264086099967644e-38;5.000827590836e-32
EX_M01807;0;1;0;1;2.95852342011678e-32;1.4351850680711603e-24
EX_M02053;1;0;1;0;2.6370552385272897e-40;9.274304472637168e-31
EX_M02457;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EX_M02613;0;0;0;0;7.845810510215189e-05;2.604172245049174e-06
EX_M02745;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EX_M02956;0;0;0;0;0.05882110346700166;0.003145270387642441
EX_M03045;0;0;0;0;1.0;1.0
EX_M03051;0;0;0;0;0.0002898930353978994;0.00014155106652721303
EX_M03153;0;0;0;0;1.7491336092966676e-14;4.123611359907865e-13
EX_adrn;0;0;0;0;1.230733252470127e-44;1.0127427038373242e-33
EX_ahcys;1;0;1;0;1.230733252470127e-44;5.226325415459014e-38
EX_amet;0;1;0;1;1.230733252470127e-44;5.226325415459014e-38
EX_arach;0;0;0;0;1.9781434404738445e-19;3.477946542337937e-05
EX_arachd;0;0;1;0;0.00015262396534265312;0.25611006752285903
EX_atp;0;0;0;0;1.8579300909704022e-26;6.16807062922954e-27
EX_clpnd;0;1;0;1;1.230733252470127e-44;1.0127427038373242e-33
EX_crvnc;1;0;1;0;3.0492244278498805e-21;1.814366169181904e-08
EX_dcmp;0;1;0;1;2.6370552385272897e-40;1.3230687350693611e-28
EX_dcsptn1;0;0;0;0;4.7269457268986846e-12;4.2411566601018736e-14
EX_ddca;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EX_dgmp;0;1;0;1;1.230733252470127e-44;5.226325415459014e-38
EX_dgtp;0;1;0;1;1.230733252470127e-44;5.226325415459014e-38
EX_dlnlcg;1;0;1;0;3.690518277796677e-41;2.602617414628748e-31
EX_doco13ac;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EX_docosac;0;1;0;1;2.7756954371777134e-29;5.5591391400979906e-27
EX;0;1;0;1;3.7329322452014063e-28;0.00030604673958426235
EX;0;1;0;1;3.7329322452014063e-28;0.00030604673958426235
EX_fad;0;0;0;0;0.014829902264996433;0.0025826652930472033
EX_fmn;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EX_galgluside_hs;0;0;0;0;1.2859289654663127e-08;1.3302602701595192e-05
EX_gluside_hs;1;0;1;0;1.4283991408238242e-34;1.2537792926557772e-29
EX_glygn2;0;1;0;1;1.230733252470127e-44;1.0127427038373242e-33
EX_glygn4;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EX_h2co3;1;0;1;0;3.743369982525198e-27;3.447293938227639e-27
EX_hdca;0;0;0;0;3.947431292280506e-05;4.085360647081233e-05
EX_hdcea;0;1;0;1;1.230733252470127e-44;1.0127427038373242e-33
EX_hexc;1;0;1;0;1.4495784173962392e-28;7.302500208937103e-14
EX_hista;0;1;0;1;1.230733252470127e-44;5.226325415459014e-38
EX_hpdca;0;0;0;0;1.25221028513241e-20;1.6890663472478975e-20
EX_lgnc;0;0;0;0;7.44738830302706e-28;1.4353222577378992e-26
EX_lneldc;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EX_lnlncg;0;0;0;0;9.235099005989758e-07;7.579121831973187e-07
EX_mhista;1;0;1;0;1.230733252470127e-44;5.226325415459014e-38
EX_nrvnc;0;1;0;1;1.8429817359023046e-39;3.120267243949586e-33
EX_ocdca;0;0;0;0;5.5891381040561164e-14;3.4608541510682966e-15
EX_ocdcea;0;0;0;0;0.0005406664966882428;0.0020851065470508783
EX_phpy;1;0;1;0;9.239132891923446e-44;1.0885259278724606e-33
EX_ppi;1;0;1;0;1.230733252470127e-44;1.0127427038373242e-33
EX_prpp;0;0;0;0;0.00015262396534265312;3.6931356929319446e-07
EX_ptdca;0;0;0;0;0.0017772246741733853;0.000254548664319425
EX_ptrc;0;0;0;0;3.828669204888717e-11;0.2551672599761834
EX_sphings;0;0;0;0;7.709581820071079e-10;4.427009975676188e-09
EX_strdnc;0;0;0;0;2.884400907019032e-10;5.746674830763274e-12
EX_tag_hs;0;0;0;0;2.003862765936073e-09;0.34734567764675284
EX_tethex3;0;0;0;0;1.6127356004775429e-12;2.1618452605047316e-16
EX_tetpent3;0;0;0;0;0.05882110346700166;0.013428413287091967
EX_tetpent6;0;1;0;1;1.7281516234116637e-22;1.1634810966223928e-08
EX_tettet6;0;0;0;0;1.4283991408238242e-34;1.5209637320317353e-29
EX_tmndnc;0;0;0;0;0.023983867462444155;0.0013512502457759827
EX_ttdca;0;0;0;0;3.828669204888717e-11;3.583709247695469e-10
EX_ttdcea;1;0;1;0;1.4283991408238242e-34;5.603198385235741e-21
EX_vacc;1;0;1;0;8.687551929868684e-34;4.2267656160358085e-29
FAEL183;0;1;0;1;6.88572013281161e-43;4.0566096915180164e-33
FAEL184;0;0;0;0;1.6127356004775429e-12;0.001135443432545365
FAEL204;0;0;0;0;5.129172826951843e-09;4.600816057041942e-11
FAEL205;1;0;1;0;5.178193600182007e-30;4.6085717763902e-28
FAOXC204184m;0;0;0;0;5.345814790100532e-15;0.0001922156520074325
FAOXC226205m;1;0;1;0;2.7756954371777134e-29;2.9007294097712627e-18
