reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
AACTte;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
ALAyLATthc;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
AMY2e;0;1;0;1;7.082158805485787e-45;5.743603047314765e-34
ASNATB0tc;0;0;0;0;2.7462394802622875e-25;8.038710835987775e-27
C181CPT2rbc;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
CRNATBtc;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
CYOOm3i;1;0;1;0;7.082158805485787e-45;1.9296456534357957e-38
CYSSNAT5tc;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
DCMPtr;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
ELAIDCRNtr;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
ETF;1;0;1;0;7.082158805485787e-45;5.743603047314765e-34
ETFQO;1;0;1;0;7.082158805485787e-45;5.743603047314765e-34
EX_12HPET;1;0;1;0;7.082158805485787e-45;5.743603047314765e-34
EX_4abutn;0;0;1;0;1.1232690956656675e-12;0.522721899088461
EX_C04849;0;1;0;1;7.082158805485787e-45;5.743603047314765e-34
EX_CE0074;0;1;0;1;3.018349180312733e-42;2.335545898343421e-33
EX_CE1935;1;0;1;0;7.082158805485787e-45;1.9296456534357957e-38
EX_CE1939;1;0;1;0;7.082158805485787e-45;1.9296456534357957e-38
EX_CE1940;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
EX_CE1943;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
EX_CE2510;0;0;0;0;3.7343078736769084e-13;0.05904076804849831
EX_CE5786;0;1;0;1;1.138945679212082e-22;1.6353907845518683e-07
EX_CE5787;0;0;0;0;2.987194304090457e-07;0.04317617946065014
EX_CE5791;0;1;0;1;7.082158805485787e-45;5.743603047314765e-34
EX_HC01609;1;0;1;0;7.082158805485787e-45;1.9296456534357957e-38
EX_HC01610;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
EX_HC01939;0;0;0;1;1.1232690956656675e-12;0.522721899088461
EX_HC02213;1;0;1;0;1.1232690956656675e-12;4.5900679306976275e-05
EX_M00003;0;0;0;0;7.577959685399315e-11;2.860020579501031e-11
EX_M00008;0;1;0;1;7.082158805485787e-45;5.743603047314765e-34
EX_M00010;0;0;0;0;2.043585501927932e-21;5.9674307725136996e-24
EX_M00017;0;0;0;0;1.4376034327366467e-09;8.367980819714022e-11
EX_M00019;0;0;0;0;5.966897870325737e-05;1.8215414463558092e-06
EX_M00021;0;1;0;1;7.082158805485787e-45;5.743603047314765e-34
EX_M00115;0;1;0;1;7.082158805485787e-45;5.743603047314765e-34
EX_M00117;1;0;1;0;5.1968174124100625e-34;5.102933553906978e-29
EX_M00234;0;0;0;0;3.6846482253687585e-15;3.5986047184386883e-10
EX_M00241;0;0;0;0;0.8138331557371088;0.34991346615481095
EX_M00260;0;0;0;0;9.61324495116577e-12;3.544951909396118e-10
EX_M00265;0;0;0;0;3.6846482253687585e-15;1.8777773364110114e-10
EX_M00315;0;0;0;0;4.674190198591555e-28;1.2462560467931263e-25
EX_M00341;0;0;0;0;4.674190198591555e-28;3.310777185014945e-26
EX_M00503;1;0;1;0;7.082158805485787e-45;5.743603047314765e-34
EX_M00510;1;0;1;0;1.1804391365449695e-26;1.3087653450899511e-21
EX_M01197;0;0;0;0;2.7271775083510827e-11;1.0353345909645317e-14
EX_M01207;0;0;0;0;0.0007770520139791257;0.01473047481046006
EX_M01235;0;1;0;1;2.1773839637496762e-36;7.180948547036185e-31
EX_M01238;0;1;0;1;5.1968174124100625e-34;2.4809057683143068e-30
EX_M01582;0;1;0;1;8.549383242375286e-35;3.246873395593207e-31
EX_M01807;0;0;0;0;1.1012674563898316e-15;5.1233649650371114e-17
EX_M01820;1;0;1;0;7.082158805485787e-45;5.743603047314765e-34
EX_M02053;0;0;0;0;0.0004221320598592377;0.00021272086314859945
EX_M02457;0;1;0;1;7.082158805485787e-45;5.743603047314765e-34
EX_M02613;0;0;0;0;1.339461981893574e-19;6.541543009074264e-18
EX_M02745;0;0;0;0;3.6867865036911938e-09;5.516624942626931e-06
EX_M02956;0;1;0;1;2.7271775083510827e-11;5.114669066683935e-14
EX_M03045;0;1;0;1;2.6033662477511952e-23;1.1081444862779746e-07
EX_M03051;0;1;0;1;5.4900047114640497e-08;0.041915104060036124
EX_M03153;1;0;1;0;7.082158805485787e-45;5.743603047314765e-34
EX_aact;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
EX_adrn;0;0;0;1;9.61324495116577e-12;0.40989637878656354
EX_ahdt;0;0;0;0;1.944983143155325e-18;0.0007005274255628936
EX_arach;0;1;0;1;2.1773839637496762e-36;1.3176396055248864e-22
EX_arachd;1;0;1;0;5.747872968350608e-26;3.228328566464967e-10
EX_atp;0;0;0;0;0.004293070941352946;0.0010783123904081194
EX_clpnd;1;0;1;0;5.150786190010229e-19;0.00018016311577959682
EX_crm_hs;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
EX_crvnc;0;0;0;1;1.204833515470356e-14;0.10444315674638528
EX_dcmp;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
EX_dcsptn1;0;0;0;0;1.4376034327366467e-09;5.840160362559862e-08
EX_ddca;0;0;0;0;2.987194304090457e-07;0.6749209343343722
EX_dgmp;1;0;1;0;7.211418750135272e-18;0.0009059933982817896
EX_dgtp;0;1;0;1;7.082158805485787e-45;1.9296456534357957e-38
EX_dha;1;0;1;0;2.215335659968771e-41;1.5060938629006865e-33
