reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
ACCOAL;0;0;0;0;5.181038521639493e-06;6.490499112034676e-07
AMY2e;0;0;0;0;9.023462162570934e-08;1.3374383254545368e-07
BGAL1e;0;0;0;0;4.973763554911385e-23;5.568385050785184e-22
BUTt2r;1;0;1;0;1.5983361920515866e-44;1.3086877543690903e-33
CITtam;1;0;1;0;4.427303203323533e-36;2.859554779328914e-31
CYSSNAT5tc;0;0;0;0;1.5983361920515866e-44;1.3086877543690903e-33
DACT;0;1;0;1;1.5983361920515866e-44;1.3086877543690903e-33
DESAT18_5;0;0;0;0;1.5983361920515866e-44;1.3086877543690903e-33
EBP1r;0;1;0;1;1.0280022812002255e-37;2.3293542989735742e-30
EBP2r;0;1;0;1;1.5983361920515866e-44;1.3086877543690903e-33
ETF;0;1;0;1;1.5983361920515866e-44;7.458810813094806e-38
ETFQO;0;1;0;1;1.5983361920515866e-44;7.458810813094806e-38
EX_12HPET;0;0;0;0;1.5983361920515866e-44;1.3086877543690903e-33
EX_23cump;0;0;0;0;1.5983361920515866e-44;1.3086877543690903e-33
EX_3ump;1;0;1;0;1.5983361920515866e-44;1.3086877543690903e-33
EX_C04849;1;0;1;0;1.5983361920515866e-44;1.3086877543690903e-33
EX_CE0074;0;0;0;1;1.3009383292207157e-10;1.0
EX_CE2510;0;1;0;1;1.5983361920515866e-44;1.3086877543690903e-33
EX_HC00822;1;0;1;0;1.5983361920515866e-44;1.3086877543690903e-33
EX_HC01609;0;0;0;0;2.1627902013783253e-14;1.067270648754786e-12
EX_HC01610;1;0;1;0;1.5983361920515866e-44;1.3086877543690903e-33
EX_HC02160;0;1;0;1;8.790747526334205e-43;1.9443694708790953e-32
EX_HC02161;0;1;0;1;1.7322952636435398e-34;2.258464829298098e-29
EX_M00003;0;0;1;0;6.905317480553797e-14;0.2332134660068651
EX_M00008;0;1;0;1;9.376935344560312e-19;0.0004894230863177286
EX_M00010;0;0;0;0;3.6419691786563856e-32;8.111927045253924e-30
EX_M00017;1;0;1;0;8.790747526334205e-43;2.4103401035086593e-32
EX_M00019;1;0;1;0;4.5509566496961087e-41;7.060296571144618e-30
EX_M00021;1;0;1;0;4.5509566496961087e-41;7.060296571144618e-30
EX_M00115;1;0;1;0;2.4611780979618565e-24;1.3155245580829586e-20
EX_M00117;1;0;1;0;1.5983361920515866e-44;1.3086877543690903e-33
EX_M00234;1;0;1;0;1.5983361920515866e-44;1.3086877543690903e-33
EX_M00260;0;0;0;0;4.7206564496651525e-17;3.8020661318496784e-17
EX_M00265;0;0;0;0;1.3009383292207157e-10;0.9855032381898836
EX_M00315;0;0;1;0;1.9725137181735754e-12;0.18142695644954385
EX_M00341;0;0;0;0;0.43338957778501513;0.0945399529708959
EX_M00503;0;0;0;0;6.25661594965998e-33;2.523160825832405e-31
EX_M01197;0;1;0;1;1.5983361920515866e-44;1.3086877543690903e-33
EX_M01207;0;1;0;1;1.8125233440481047e-28;1.0912472602259052e-27
EX_M01235;1;0;1;0;1.5983361920515866e-44;1.3086877543690903e-33
EX_M01238;0;0;0;0;2.3062353095250388e-26;2.1624953303105912e-24
EX_M01582;0;0;0;0;0.06711133690307708;0.12739643823025223
EX_M01807;0;0;0;0;9.352842265297907e-10;1.6627475616507332e-10
EX_M02053;0;0;0;0;0.06711133690307708;0.3883482158721804
EX_M02457;0;0;0;0;1.0;0.7143629473049332
EX_M02613;0;0;0;0;5.303454075290471e-25;1.9419835573326384e-16
EX_M02745;0;0;0;0;1.0932822083744256e-06;4.284778984338697e-06
EX_M02956;1;0;1;0;3.1666333215339345e-40;5.269507836256319e-33
EX_M03045;1;0;1;0;1.5983361920515866e-44;1.3086877543690903e-33
EX_M03051;0;0;0;0;4.5509566496961087e-41;2.2269412781408103e-33
EX_M03153;0;0;0;0;0.0035977470329103625;3.388064172495183e-05
EX_adrn;1;0;1;0;2.791771004399788e-35;8.69508696745846e-25
EX_arach;0;1;0;1;1.5983361920515866e-44;1.3086877543690903e-33
EX_arachd;0;1;0;1;4.5509566496961087e-41;4.326307437401411e-33
EX_atp;0;0;0;0;5.181038521639493e-06;0.0012106248306684097
EX_clpnd;1;0;1;0;1.5983361920515866e-44;1.3086877543690903e-33
EX_crvnc;1;0;1;0;1.5983361920515866e-44;1.3086877543690903e-33
EX_dcsptn1;0;0;0;0;0.002048788360637709;0.10249761276633927
EX_ddca;0;1;0;1;2.479167230268771e-19;0.00018706876568125918
EX_dgmp;0;0;0;0;3.763519131673279e-08;9.775398882018888e-08
EX_dgtp;0;1;0;1;1.1875537280763014e-43;2.2122694887670375e-32
EX_dlnlcg;0;0;0;1;2.1477085667050413e-13;0.312544307712863
EX_doco13ac;0;1;0;1;1.5983361920515866e-44;1.3086877543690903e-33
EX_docosac;0;0;0;0;2.2657139101987345e-05;1.6707098763219983e-06
