subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;3017;0;0;0;0
Drug metabolism;405;0;1;0;1
Valine, leucine, and isoleucine metabolism;19;0;0;0;0
Propanoate metabolism;12;0;0;0;0
Ubiquinone synthesis;8;0;0;0;0
Phenylalanine metabolism;6;0;0;0;0
Histidine metabolism;7;0;0;0;0
Alanine, aspartate and glutamate metabolism;16;0;1;0;1
Fatty acid oxidation;593;0;1;0;1
Pentose phosphate pathway;23;1;1;1;1
Lysine metabolism;27;0;0;0;0
Tyrosine metabolism;31;0;0;0;0
Purine metabolism;71;1;1;1;1
Starch and sucrose metabolism;8;1;0;1;0
Dietary fiber binding;13;0;0;0;0
Hippurate metabolism;3;0;1;0;1
ROS detoxification;8;0;0;0;0
Glycerophospholipid metabolism;45;0;0;0;0
Sphingolipid metabolism;27;0;0;0;0
Oxidative phosphorylation;9;1;0;1;0
Fatty acid biosynthesis;51;0;0;1;1
Cholesterol metabolism;42;0;0;0;0
N-glycan metabolism;43;0;0;0;0
CoA synthesis;3;0;0;0;0
Pyrimidine metabolism;46;1;0;1;0
Steroid metabolism;10;0;0;0;0
Glycine, serine and threonine metabolism;21;1;0;1;0
Pool reactions;46;0;0;0;0
Fatty acid activation (cytosolic);63;1;1;1;1
Acyl-CoA hydrolysis;4;0;0;0;0
Glycerolipid metabolism;72;1;0;1;0
Fructose and mannose metabolism;8;0;0;0;0
Acylglycerides metabolism;4;0;0;0;0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;37;0;1;0;1
Nicotinate and nicotinamide metabolism;12;1;1;1;1
Glycosphingolipid biosynthesis-globo series;3;0;1;0;1
Glycosphingolipid metabolism;10;0;0;0;0
Arachidonic acid metabolism;36;0;0;0;0
Exchange/demand reactions;481;0;0;0;0
Artificial reactions;19;0;0;0;0
Bile acid biosynthesis;74;0;0;0;0
Leukotriene metabolism;82;0;0;0;0
Prostaglandin biosynthesis;50;0;0;0;0
Butanoate metabolism;6;0;0;0;0
Cholesterol biosynthesis 1 (Bloch pathway) ;23;0;0;0;0
Cholesterol biosynthesis 2;5;0;0;0;0
Estrogen metabolism;40;0;0;0;0
Vitamin D metabolism;24;0;1;0;1
Fatty acid elongation (even-chain);21;1;1;1;1
Fatty acid elongation (odd-chain);13;1;0;1;1
Fatty acid desaturation (even-chain);13;0;1;0;1
Fatty acid desaturation (odd-chain);3;0;1;0;1
Fatty acid biosynthesis (unsaturated);33;0;1;0;1
Omega-6 fatty acid metabolism;38;0;1;0;1
Linoleate metabolism;18;0;0;0;0
Omega-3 fatty acid metabolism;50;0;1;0;1
Carnitine shuttle (cytosolic);8;1;0;1;0
Fatty acid activation (endoplasmic reticular);56;0;0;0;0
Beta oxidation of even-chain fatty acids (mitochondrial);41;0;0;0;0
Carnitine shuttle (mitochondrial);5;0;0;0;0
Pyruvate metabolism;20;1;0;1;0
Glutathione metabolism;12;0;1;0;1
Pantothenate and CoA biosynthesis;9;0;0;0;1
Cysteine and methionine metabolism;23;0;1;0;1
Glycolysis / Gluconeogenesis;27;1;0;1;0
Galactose metabolism;8;0;1;0;1
Miscellaneous;45;0;0;0;0
Nucleotide metabolism;92;1;1;1;1
Folate metabolism;35;0;0;0;0
Porphyrin metabolism;12;0;0;0;0
Arginine and proline metabolism;44;0;0;0;0
Sulfur metabolism;7;0;0;0;0
Amino sugar and nucleotide sugar metabolism;21;0;0;0;0
Thiamine metabolism;6;1;0;1;0
Phenylalanine, tyrosine and tryptophan biosynthesis;56;0;0;0;0
Inositol phosphate metabolism;35;0;0;0;0
Biopterin metabolism;11;0;0;0;0
Serotonin and melatonin biosynthesis;7;0;0;0;0
Pentose and glucuronate interconversions;12;0;1;0;1
Aminoacyl-tRNA biosynthesis;21;1;1;1;1
Protein assembly;14;0;0;0;0
Protein degradation;35;0;1;0;1
Ascorbate and aldarate metabolism;13;0;0;0;0
Lipoic acid metabolism;3;0;1;0;1
Vitamin E metabolism;37;0;1;0;1
Riboflavin metabolism;4;0;0;0;0
Retinol metabolism;53;0;1;0;1
Keratan sulfate degradation;35;0;0;0;0
Protein modification;7;0;0;0;0
Beta-alanine metabolism;5;0;0;0;0
Eicosanoid metabolism;40;0;0;0;0
Vitamin B12 metabolism;5;0;1;0;1
C5-branched dibasic acid metabolism;9;1;0;1;0
Isolated;70;0;0;0;0
Xenobiotics metabolism;70;0;0;0;0
CoA catabolism;2;0;0;0;0
Vitamin A metabolism;9;0;1;0;1
Urea cycle;2;0;0;0;0
Phosphatidylinositol phosphate metabolism;9;0;0;0;0
Tryptophan metabolism;11;0;0;0;0
Vitamin C metabolism;2;0;1;0;1
Heme degradation;2;1;0;1;0
Peptide metabolism;243;0;0;0;0
Triacylglycerol synthesis;2;0;0;0;0
Biotin metabolism;5;0;0;0;0
;3;0;1;0;1
Alkaloids biosynthesis;3;0;0;0;0
Heme synthesis;3;0;0;0;0
O-glycan metabolism;8;0;0;0;0
Ether lipid metabolism;10;0;0;0;0
Glycosphingolipid biosynthesis-ganglio series;3;0;0;0;0
Glycosphingolipid biosynthesis-lacto and neolacto series;7;0;0;0;0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial);5;0;0;0;0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);15;0;0;0;0
Androgen metabolism;3;0;0;0;0
Fatty acid biosynthesis (even-chain);30;1;1;1;1
Fatty acid biosynthesis (odd-chain);30;1;0;1;0
Carnitine shuttle (peroxisomal);2;0;0;0;0
Beta oxidation of even-chain fatty acids (peroxisomal);4;0;0;0;0
Beta oxidation of odd-chain fatty acids (peroxisomal);2;0;0;0;0
Beta oxidation of odd-chain fatty acids (mitochondrial);20;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);12;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial);10;0;0;0;0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);11;0;0;0;0
Beta oxidation of phytanic acid (peroxisomal);2;0;0;0;0
Beta oxidation of branched-chain fatty acids (mitochondrial);7;0;0;0;0
Formation and hydrolysis of cholesterol esters;3;0;0;0;0
Terpenoid backbone biosynthesis;5;0;0;0;0
Metabolism of other amino acids;11;0;0;0;0
Heparan sulfate degradation;6;0;0;0;0
Keratan sulfate biosynthesis;21;0;0;0;0
Chondroitin / heparan sulfate biosynthesis;4;0;0;0;0
Chondroitin sulfate degradation;28;0;0;0;0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;6;0;0;0;0
