subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;960;1;1;1;1
Drug metabolism;53;0;0;0;0
Bile acid biosynthesis;70;0;0;0;0
Propanoate metabolism;12;1;0;1;0
Fatty acid oxidation;369;0;0;0;0
Starch and sucrose metabolism;11;1;0;1;0
Sphingolipid metabolism;32;0;0;0;0
Glycerophospholipid metabolism;55;0;1;0;1
Oxidative phosphorylation;9;0;0;0;0
Tyrosine metabolism;18;0;0;0;0
Fatty acid biosynthesis;52;0;0;0;0
Cholesterol metabolism;37;0;0;0;0
Pyrimidine metabolism;51;0;1;1;1
Heme synthesis;3;0;1;0;1
Pentose phosphate pathway;26;1;0;1;0
Acylglycerides metabolism;17;0;1;0;1
Pool reactions;11;0;0;0;0
Acyl-CoA hydrolysis;61;1;0;1;0
Fatty acid activation (cytosolic);60;1;0;1;0
Glycerolipid metabolism;67;0;0;0;0
Inositol phosphate metabolism;24;0;0;0;0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;38;0;0;0;0
Exchange/demand reactions;219;0;0;0;0
Artificial reactions;7;0;1;0;1
Steroid metabolism;12;0;0;0;0
Arachidonic acid metabolism;71;0;0;0;0
Leukotriene metabolism;86;0;0;0;0
Butanoate metabolism;4;0;1;0;1
Cholesterol biosynthesis 1 (Bloch pathway) ;28;0;1;0;1
Cholesterol biosynthesis 2;4;0;1;0;1
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);16;0;0;0;0
Pyruvate metabolism;22;0;0;0;0
Bile acid recycling;11;0;0;0;0
Androgen metabolism;9;0;1;0;1
Vitamin D metabolism;19;0;1;0;1
Fatty acid biosynthesis (even-chain);30;0;0;0;0
Fatty acid elongation (even-chain);21;0;0;0;0
Fatty acid biosynthesis (odd-chain);30;1;0;1;0
Fatty acid elongation (odd-chain);13;1;0;1;0
Fatty acid desaturation (even-chain);13;1;0;1;0
Fatty acid desaturation (odd-chain);3;1;0;1;0
Fatty acid biosynthesis (unsaturated);33;0;0;0;0
Omega-6 fatty acid metabolism;35;0;1;0;1
Omega-3 fatty acid metabolism;57;0;0;0;0
Carnitine shuttle (mitochondrial);86;0;0;0;0
Carnitine shuttle (cytosolic);45;0;0;0;0
Carnitine shuttle (endoplasmic reticular);10;0;0;0;0
Fatty acid activation (endoplasmic reticular);56;0;0;0;0
Carnitine shuttle (peroxisomal);3;0;1;0;1
Beta oxidation of even-chain fatty acids (peroxisomal);2;0;0;0;0
Beta oxidation of odd-chain fatty acids (peroxisomal);2;0;0;0;0
Beta oxidation of even-chain fatty acids (mitochondrial);41;0;1;0;1
Beta oxidation of odd-chain fatty acids (mitochondrial);33;1;0;0;0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);19;0;1;0;1
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial);15;0;0;0;0
