subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;836;1;1;1;1
Ubiquinone synthesis;7;0;1;0;1
Propanoate metabolism;14;0;1;0;1
Starch and sucrose metabolism;11;0;0;0;0
Sphingolipid metabolism;40;0;0;0;0
Cholesterol metabolism;44;0;0;0;0
Fatty acid oxidation;296;0;0;0;0
Glycerophospholipid metabolism;55;0;0;0;0
Oxidative phosphorylation;9;1;0;1;0
Tyrosine metabolism;13;0;0;0;0
Fatty acid biosynthesis;46;0;0;0;0
Pyrimidine metabolism;52;1;0;1;0
Heme synthesis;4;0;0;0;0
Pentose phosphate pathway;26;1;0;1;0
Acylglycerides metabolism;13;0;0;0;0
Pool reactions;9;0;0;0;0
Acyl-CoA hydrolysis;62;1;0;1;0
Fatty acid activation (cytosolic);60;1;0;1;0
Inositol phosphate metabolism;29;0;0;0;0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;33;0;0;0;0
Exchange/demand reactions;195;1;0;1;0
Artificial reactions;7;1;0;1;0
Arachidonic acid metabolism;71;0;0;0;0
Leukotriene metabolism;83;0;0;0;0
Butanoate metabolism;6;0;0;0;0
Cholesterol biosynthesis 1 (Bloch pathway) ;28;1;0;1;0
Cholesterol biosynthesis 2;5;1;0;1;0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);17;1;0;1;0
Pyruvate metabolism;23;0;0;0;0
Bile acid biosynthesis;33;0;0;0;0
Bile acid recycling;5;0;0;0;0
Androgen metabolism;11;0;0;0;0
Vitamin D metabolism;19;0;1;0;1
Fatty acid biosynthesis (even-chain);30;0;1;0;1
Fatty acid elongation (even-chain);21;0;0;0;0
Fatty acid biosynthesis (odd-chain);30;0;0;0;0
Fatty acid elongation (odd-chain);13;0;0;0;0
Fatty acid desaturation (even-chain);13;0;0;0;0
Fatty acid desaturation (odd-chain);3;0;0;0;0
Fatty acid biosynthesis (unsaturated);33;0;0;0;0
Omega-6 fatty acid metabolism;34;0;0;0;0
Omega-3 fatty acid metabolism;43;0;0;0;0
Carnitine shuttle (cytosolic);56;0;0;0;0
Carnitine shuttle (mitochondrial);87;0;0;0;0
Fatty acid activation (endoplasmic reticular);56;1;0;1;0
Beta oxidation of even-chain fatty acids (peroxisomal);2;1;0;1;0
Beta oxidation of odd-chain fatty acids (peroxisomal);2;1;0;1;0
Beta oxidation of even-chain fatty acids (mitochondrial);56;0;1;0;1
Beta oxidation of odd-chain fatty acids (mitochondrial);39;0;1;0;1
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);22;0;1;0;1
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial);18;0;1;0;1
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);20;0;1;0;1
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal);5;0;0;0;0
Formation and hydrolysis of cholesterol esters;132;0;1;0;1
Valine, leucine, and isoleucine metabolism;16;0;0;0;0
Alanine, aspartate and glutamate metabolism;18;0;0;0;0
Arginine and proline metabolism;31;0;0;0;0
Glycine, serine and threonine metabolism;20;0;0;0;0
Glutathione metabolism;17;0;0;0;0
Pantothenate and CoA biosynthesis;13;0;1;0;1
Cysteine and methionine metabolism;22;0;0;0;0
Glycolysis / Gluconeogenesis;29;1;0;1;0
Folate metabolism;55;0;0;0;0
Galactose metabolism;10;0;0;0;0
Miscellaneous;27;0;0;0;0
ROS detoxification;8;0;0;0;0
Nucleotide metabolism;97;1;0;1;0
Porphyrin metabolism;12;0;0;0;0
Nicotinate and nicotinamide metabolism;13;0;0;0;0
Purine metabolism;75;1;0;1;0
Vitamin B6 metabolism;7;0;1;0;1
Amino sugar and nucleotide sugar metabolism;17;0;0;0;0
Biopterin metabolism;14;1;0;1;0
Sulfur metabolism;4;0;0;0;0
Thiamine metabolism;4;0;1;0;1
Fructose and mannose metabolism;14;0;0;0;0
Pentose and glucuronate interconversions;9;0;0;0;0
Beta-alanine metabolism;6;0;0;0;0
Aminoacyl-tRNA biosynthesis;21;0;0;0;0
Protein degradation;9;0;0;0;0
