subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;3017;1.0;1.0;1.0;1.0
Drug metabolism;405;0.6449023081137387;0.02307771006126842;0.6506472064248857;0.024359127394458103
Valine, leucine, and isoleucine metabolism;19;0.9700193872722209;0.0948411182800062;0.9738048834032335;0.09669915910561319
Propanoate metabolism;12;0.5680172971094588;0.6149782030866643;0.5715140545642711;0.6250652483388389
Ubiquinone synthesis;8;0.6449023081137387;0.7044958853381813;0.6506472064248857;0.7096606279698942
Phenylalanine metabolism;6;0.15482338495950115;0.18021295622740457;0.14905811109833605;0.18438683551923535
Histidine metabolism;7;0.9064535573591656;0.9461889781821402;0.9100935929618292;0.9507380793310471
Alanine, aspartate and glutamate metabolism;16;0.2139423284848419;0.015576485745501387;0.20869394126599655;0.014870848639790114
Fatty acid oxidation;593;0.519995995367442;2.6821514574937313e-05;0.5608226391216907;4.3659659673589425e-05
Pentose phosphate pathway;23;0.0002674981732358164;0.03509961208707196;0.0002866797861700792;0.03609629080096956
Lysine metabolism;27;0.6449023081137387;1.0;0.6506472064248857;1.0
Tyrosine metabolism;31;0.9700193872722209;0.9982749029080514;0.9748606851889848;1.0
Purine metabolism;71;0.0001226480132929808;0.00014239180624210266;0.00013661930995814697;0.00016844393317794193
Starch and sucrose metabolism;8;0.00013051584417109185;0.3266402224672245;0.00013661930995814697;0.3395994486115583
Dietary fiber binding;13;0.8638759134441412;0.6896148499052105;0.8697820753927474;0.7002349218726731
Hippurate metabolism;3;0.18653085533766547;0.024604844057812752;0.1796818007842312;0.024359127394458103
ROS detoxification;8;0.27140511335567163;0.7044958853381813;0.08800152636056618;0.7096606279698942
Glycerophospholipid metabolism;45;0.46447651700158094;0.31001233191775185;0.4776344267612502;0.3250075939933485
Sphingolipid metabolism;27;0.6449023081137387;0.3499258283875005;0.6506472064248857;0.3620882556131635
Oxidative phosphorylation;9;0.004380794468550744;0.1482740667091399;0.004264058353005229;0.15261899069590237
Fatty acid biosynthesis;51;0.056315984725394314;0.0598391192918541;0.02688866613963087;0.03404793821910442
Cholesterol metabolism;42;0.3691948014333397;0.8858962181441338;0.38055062955753466;0.9019000499036418
N-glycan metabolism;43;0.9657459657484692;1.0;0.9720775155724527;1.0
CoA synthesis;3;0.18653085533766547;0.7044958853381813;0.1796818007842312;0.7096606279698942
Pyrimidine metabolism;46;0.0001226480132929808;0.11067130477942366;0.00013661930995814697;0.11515829398609945
Steroid metabolism;10;0.42303251926781266;0.4995455520678339;0.4293067471026943;0.5087952011704372
Glycine, serine and threonine metabolism;21;0.03653707201519514;0.9461889781821402;0.03634336234092874;0.9507380793310471
Pool reactions;46;0.9700193872722209;0.9371121409984261;0.9748606851889848;0.9486182317407744
Fatty acid activation (cytosolic);63;3.0399212285203707e-06;0.0028203775556522536;3.483634653544954e-06;0.003008138705755503
Acyl-CoA hydrolysis;4;0.056315984725394314;0.8247269475877369;0.05740547900224817;0.8301897832250432
Glycerolipid metabolism;72;6.640911387467696e-08;0.3266402224672245;7.844261895595395e-08;0.34118466777886564
Fructose and mannose metabolism;8;0.08928373543266177;0.9879982391718494;0.08800152636056618;0.9922450007477281
Acylglycerides metabolism;4;0.056315984725394314;0.3266402224672245;0.05740547900224817;0.3395994486115583
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;37;0.39698336809288814;0.00029668961122693185;0.4081112203963282;0.0003341689018066145
Nicotinate and nicotinamide metabolism;12;0.004380794468550744;0.03366918764360505;0.004264058353005229;0.03410492210842082
Glycosphingolipid biosynthesis-globo series;3;0.6449023081137387;0.0;0.6506472064248857;0.0
Glycosphingolipid metabolism;10;0.9700193872722209;0.0598391192918541;0.9738048834032335;0.05895273751231367
Arachidonic acid metabolism;36;1.0;1.0;1.0;1.0
Exchange/demand reactions;481;1.0;1.0;1.0;1.0
Artificial reactions;19;0.9700193872722209;0.2322614068261591;0.9738048834032335;0.24056441086634656
Bile acid biosynthesis;74;0.9657459657484692;1.0;0.9720775155724527;1.0
Leukotriene metabolism;82;0.9700193872722209;1.0;0.9748606851889848;1.0
Prostaglandin biosynthesis;50;0.1578440625237607;1.0;0.15317506071362552;1.0
Butanoate metabolism;6;0.15482338495950115;0.18021295622740457;0.14905811109833605;0.18438683551923535
Cholesterol biosynthesis 1 (Bloch pathway) ;23;0.9064535573591656;1.0;0.9100935929618292;1.0
Cholesterol biosynthesis 2;5;0.10080981176880577;0.44403733336569795;0.09626272530319015;0.45053435703488587
Estrogen metabolism;40;1.0;1.0;1.0;1.0
Vitamin D metabolism;24;0.3271213832336535;0.00029668961122693185;0.15317506071362552;0.0003341689018066145
Fatty acid elongation (even-chain);21;0.03653707201519514;0.024604844057812752;0.03634336234092874;0.024359127394458103
Fatty acid elongation (odd-chain);13;0.0013855683248797936;0.050579844682188665;0.0014545387334361727;0.049795107596768404
Fatty acid desaturation (even-chain);13;0.9793560421087601;0.015706154299340483;0.9815733454748192;0.003008138705755503
Fatty acid desaturation (odd-chain);3;0.6449023081137387;0.0;0.6506472064248857;0.0
Fatty acid biosynthesis (unsaturated);33;0.06956308456274456;0.02543013390163796;0.07276022749610418;0.02636790728979084
Omega-6 fatty acid metabolism;38;0.7371694968833499;2.6821514574937313e-05;0.7439936672109188;3.4220362167343886e-05
Linoleate metabolism;18;0.9657459657484692;1.0;0.9720775155724527;1.0
Omega-3 fatty acid metabolism;50;0.7080981015595035;0.027097472598179975;0.7211662213232626;0.02854166407772477
Carnitine shuttle (cytosolic);8;0.01609343333225144;0.3266402224672245;0.01659410416172449;0.3395994486115583
Fatty acid activation (endoplasmic reticular);56;1.0;1.0;1.0;1.0
Beta oxidation of even-chain fatty acids (mitochondrial);41;1.0;1.0;1.0;1.0
