subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;3273;0.999999999999998;1.0;0.9999999999999984;1.0
Drug metabolism;430;0.6864424783100932;8.210443794176569e-07;0.691711398276508;6.722355552213344e-07
Eicosanoid metabolism;38;0.6448954651467994;0.9547073487130376;0.6564396997574885;0.9578165664841718
Valine, leucine, and isoleucine metabolism;18;0.3598492810658229;0.8626243664121171;0.3675598152956288;0.8705906526833356
Ubiquinone synthesis;8;0.3598492810658229;0.12142964016939593;0.3672241748689449;0.12467494842387725
Phenylalanine metabolism;6;0.18925975438765155;0.619530020259657;0.19215379925858378;0.6239247761515967
Histidine metabolism;7;0.8823502590562565;0.8963439004575702;0.8854053162831016;0.9000416219378496
Alanine, aspartate and glutamate metabolism;11;0.7689895472695086;0.009120014875664495;0.775975271892028;0.009580614206234017
Fatty acid oxidation;565;8.277698526626409e-10;3.90114607284886e-10;1.0785965454118696e-09;7.16807502243455e-10
Pentose phosphate pathway;24;0.002609942515932051;0.010628567864175048;0.0024750898854362545;0.011370857032570536
Glycine, serine and threonine metabolism;15;0.48400154370828463;0.2771697136484483;0.4915194936682973;0.2880995176202649
Lysine metabolism;16;0.5381007549811859;0.619530020259657;0.5461221100479593;0.6239247761515967
Tyrosine metabolism;36;0.9600961869031156;0.3887072802434408;0.9637431722553328;0.40243885189066114
Purine metabolism;65;0.005502945901375433;0.0020350692050895725;0.002234399277216544;0.0007620450001425892
Starch and sucrose metabolism;9;0.04004558929850578;0.011059113619080185;0.0383464618828242;0.01154382037978352
Dietary fiber binding;13;0.8390517335282032;0.00703192498892885;0.8440008099975104;0.007434125372519973
ROS detoxification;8;0.3598492810658229;0.007672415792675303;0.3672241748689449;0.008019373443028055
Glycerophospholipid metabolism;40;0.3598492810658229;0.5668103547567028;0.36990036040139485;0.584182589685473
Sphingolipid metabolism;23;0.6291592554793276;0.6713907588642654;0.632492863509049;0.6837701414512898
Fatty acid biosynthesis;58;0.9463109022116665;1.8094640152677144e-05;0.94903893300414;2.1142033687304718e-05
Cholesterol metabolism;22;0.9961074564189187;0.7902185980534345;0.9990833313487932;0.8000515662722782
N-glycan metabolism;32;0.999999999999998;1.0;0.9999999999999984;1.0
CoA synthesis;3;0.6864424783100932;0.027938825683089585;0.691711398276508;0.02658803817622388
Pyrimidine metabolism;44;0.1863320022497152;0.012425770628158925;0.19215379925858378;0.013518877067477954
Steroid metabolism;13;0.3598492810658229;0.6960794388908493;0.3675598152956288;0.7005356658230175
Acylglycerides metabolism;10;0.761297684966832;0.07088023944406704;0.7647195985826344;0.07266691510360612
Pool reactions;47;0.999999999999998;0.8963439004575702;0.9999999999999984;0.9000416219378496
Fatty acid activation (cytosolic);62;3.433037853994847e-09;0.2771697136484483;4.012637222494675e-09;0.29180181672832595
Carnitine shuttle (cytosolic);14;0.06716317102028244;0.009293483220482068;0.06755212237158623;0.009811527477829318
Acyl-CoA hydrolysis;4;0.761297684966832;0.07088023944406704;0.7647195985826344;0.07266691510360612
Glycerolipid metabolism;65;4.984852472356138e-06;0.6238626837690487;5.596059924339869e-06;0.6445048739947821
Fructose and mannose metabolism;8;0.3598492810658229;0.6960794388908493;0.3672241748689449;0.7005356658230175
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;32;0.7689895472695086;0.027938825683089585;0.7775521811486193;0.02658803817622388
Nicotinate and nicotinamide metabolism;12;0.10895166759252482;0.011394433075762786;0.1128158936738641;0.011953736564562558
Glycosphingolipid biosynthesis-globo series;3;0.6864424783100932;0.0;0.691711398276508;0.0
Glycosphingolipid metabolism;9;0.9463109022116665;0.17519039013408336;0.94903893300414;0.18426897822576596
Arachidonic acid metabolism;56;0.999999999999998;1.0;0.9999999999999984;1.0
Exchange/demand reactions;481;0.999999999999998;1.0;0.9999999999999984;1.0
Artificial reactions;19;0.9600961869031156;0.26693922719857865;0.9637431722553328;0.27516102318221153
Bile acid biosynthesis;71;0.999999999999998;0.17519039013408336;0.9999999999999984;0.18442656534304885
Leukotriene metabolism;75;0.999999999999998;1.0;0.9999999999999984;1.0
Prostaglandin biosynthesis;56;0.999999999999998;1.0;0.9999999999999984;1.0
Butanoate metabolism;4;0.3598492810658229;0.3607888957580449;0.3675598152956288;0.3657381354039472
Cholesterol biosynthesis 2;2;0.6291592554793276;0.619530020259657;0.632492863509049;0.6239247761515967
Pyruvate metabolism;19;0.6371422244577771;0.11986968999377347;0.6454927806984136;0.1246102602257753
Bile acid recycling;7;0.8823502590562565;0.6510427182605116;0.8854053162831016;0.6581913225187939
Estrogen metabolism;47;0.999999999999998;1.0;0.9999999999999984;1.0
Vitamin D metabolism;27;7.09095719987499e-05;0.4215906153135145;7.600354946316453e-05;0.43408705267812825
Fatty acid biosynthesis (even-chain);29;1.0359531010806222e-09;0.07088023944406704;1.3620109484691056e-09;0.031642030580483205
Fatty acid elongation (even-chain);21;0.999999999999998;0.8963439004575702;0.9999999999999984;0.9000416219378496
Fatty acid biosynthesis (odd-chain);30;0.10895166759252482;3.90114607284886e-10;0.1128158936738641;7.16807502243455e-10
Fatty acid desaturation (even-chain);13;0.14082988512722364;0.06456302243497372;0.1440684202253027;0.018895740815062925
Fatty acid desaturation (odd-chain);3;0.6864424783100932;0.6960794388908493;0.691711398276508;0.7005356658230175
Fatty acid biosynthesis (unsaturated);33;0.5346496618047327;0.03312990669733844;0.5459330828035535;0.03166520629731542
Omega-6 fatty acid metabolism;34;0.999999999999998;0.6716404677141272;0.9999999999999984;0.6864448581285083
Linoleate metabolism;23;0.17381356337341924;0.2571332429606332;0.1787126851750586;0.26599069651723783
Omega-3 fatty acid metabolism;57;0.9961074564189187;1.0;0.9990833313487932;1.0
Fatty acid activation (endoplasmic reticular);4;0.0;0.7861940908859276;0.0;0.7907230467395587
Carnitine shuttle (mitochondrial);5;0.8078217181178022;0.024829025766656798;0.8111564961125655;0.0232595102866473
Arginine and proline metabolism;22;0.9961074564189187;0.9156271536913538;0.9990833313487932;0.9217621907510534
Glutathione metabolism;12;0.3364157793373763;0.3607888957580449;0.34229800557013146;0.3657381354039472
Cysteine and methionine metabolism;21;0.04953787675654606;0.07088023944406704;0.04812038326641835;0.07311225373194236
Glycolysis / Gluconeogenesis;22;0.022552375489490295;0.036647180848695844;0.02153964169822331;0.034755157567535465
Galactose metabolism;11;0.7689895472695086;0.009120014875664495;0.775975271892028;0.009580614206234017
Miscellaneous;44;0.761297684966832;0.32950181865010714;0.7647195985826344;0.34336444232894486
Nucleotide metabolism;57;0.06716317102028244;0.1754000182874442;0.07044005587602818;0.18573584348702643
Folate metabolism;11;0.26011128897611774;0.028456987058782666;0.2648347124847701;0.027431690512501185
Oxidative phosphorylation;9;0.4173318134944431;0.011059113619080185;0.4240806995935842;0.01154382037978352
Porphyrin metabolism;12;0.6291592554793276;0.6510427182605116;0.632492863509049;0.6581913225187939
Vitamin B6 metabolism;4;0.06716317102028244;0.7861940908859276;0.07044005587602818;0.7907230467395587
Amino sugar and nucleotide sugar metabolism;13;0.6371422244577771;0.18041990733227553;0.6454927806984136;0.18573584348702643
Biopterin metabolism;13;0.8390517335282032;0.06456302243497372;0.8440008099975104;0.018895740815062925
Thiamine metabolism;3;0.6864424783100932;0.027938825683089585;0.691711398276508;0.02658803817622388
Phenylalanine, tyrosine and tryptophan biosynthesis;86;0.9746589028577651;0.8727137271861161;0.9820799014058014;0.8896784189195587
Propanoate metabolism;9;0.9463109022116665;0.9547073487130376;0.94903893300414;0.9578165664841718
Serotonin and melatonin biosynthesis;8;0.9289645406614202;0.6960794388908493;0.9319021128141034;0.7005356658230175
Pentose and glucuronate interconversions;9;0.6864424783100932;0.048196358590544434;0.691711398276508;0.04503473455186253
Aminoacyl-tRNA biosynthesis;21;9.87112295902648e-08;0.07088023944406704;1.071818428677318e-07;0.07311225373194236
Protein assembly;15;0.48400154370828463;0.011394433075762786;0.4915194936682973;0.011953736564562558
Protein degradation;35;0.999999999999998;0.011059113619080185;0.9999999999999984;0.01154382037978352
Ascorbate and aldarate metabolism;14;0.4173318134944431;0.8963439004575702;0.4240806995935842;0.9000416219378496
Vitamin E metabolism;37;0.06716317102028244;0.26472374997566983;0.07044005587602818;0.27516102318221153
Riboflavin metabolism;5;0.0009122963549809682;0.4958001055798995;0.0009388149145753699;0.5021289007779217
Retinol metabolism;57;0.06716317102028244;5.740499076090089e-09;0.02078013499074549;7.332557228068026e-09
Protein modification;7;0.06716317102028244;0.8963439004575702;0.07044005587602818;0.9000416219378496
Vitamin B12 metabolism;5;0.12319370111336964;0.13413356580874786;0.1251593938352571;0.1369994197684683
Isolated;58;0.999999999999998;1.0;0.9999999999999984;1.0
Xenobiotics metabolism;86;0.999999999999998;1.0;0.9999999999999984;1.0
CoA catabolism;2;0.6291592554793276;0.619530020259657;0.632492863509049;0.6239247761515967
Vitamin A metabolism;9;0.04004558929850578;0.46652613631363055;0.0383464618828242;0.474469203857472
Tryptophan metabolism;10;0.49308639474915655;0.9827685616714202;0.49938283266048805;0.9856011116573008
Vitamin C metabolism;3;0.6864424783100932;0.027938825683089585;0.691711398276508;0.02658803817622388
Heme degradation;3;0.6864424783100932;0.6960794388908493;0.691711398276508;0.7005356658230175
Peptide metabolism;243;0.999999999999998;1.0;0.9999999999999984;1.0
Triacylglycerol synthesis;2;0.6291592554793276;0.619530020259657;0.632492863509049;0.6239247761515967
Biotin metabolism;5;0.8078217181178022;0.8579451187265867;0.8111564961125655;0.8623794315376249
Beta-alanine metabolism;6;0.8493475955422168;0.8948626253920438;0.8525616623028051;0.8990005194172322
Hippurate metabolism;3;0.6864424783100932;0.6960794388908493;0.691711398276508;0.7005356658230175
;3;0.030764958265466547;0.2411280487832322;0.028890396747171303;0.24467513517235467
Alkaloids biosynthesis;3;0.6864424783100932;0.6960794388908493;0.691711398276508;0.7005356658230175
Heme synthesis;3;0.6864424783100932;0.6960794388908493;0.691711398276508;0.7005356658230175
O-glycan metabolism;11;0.9928718927605935;1.0;0.995238156886542;1.0
Inositol phosphate metabolism;13;0.999999999999998;1.0;0.9999999999999984;1.0
Glycosphingolipid biosynthesis-ganglio series;3;0.6864424783100932;0.6960794388908493;0.691711398276508;0.7005356658230175
Glycosphingolipid biosynthesis-lacto and neolacto series;7;0.8823502590562565;0.8963439004575702;0.8854053162831016;0.9000416219378496
Cholesterol biosynthesis 1 (Bloch pathway) ;4;0.761297684966832;0.7861940908859276;0.7647195985826344;0.7907230467395587
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);2;0.6291592554793276;0.619530020259657;0.632492863509049;0.6239247761515967
Androgen metabolism;7;0.8823502590562565;0.8963439004575702;0.8854053162831016;0.9000416219378496
Fatty acid elongation (odd-chain);13;0.999999999999998;1.0;0.9999999999999984;1.0
Carnitine shuttle (peroxisomal);2;0.6291592554793276;0.619530020259657;0.632492863509049;0.6239247761515967
Beta oxidation of even-chain fatty acids (peroxisomal);4;0.761297684966832;0.7861940908859276;0.7647195985826344;0.7907230467395587
Beta oxidation of odd-chain fatty acids (peroxisomal);2;0.6291592554793276;0.619530020259657;0.632492863509049;0.6239247761515967
Beta oxidation of even-chain fatty acids (mitochondrial);30;0.999999999999998;1.0;0.9999999999999984;1.0
Beta oxidation of odd-chain fatty acids (mitochondrial);8;0.9289645406614202;0.9351351695405402;0.9319021128141034;0.9385674033788529
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);7;0.8823502590562565;0.8963439004575702;0.8854053162831016;0.9000416219378496
