subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;3263;1.0;0.9999999999999999;1.0;1.0
Drug metabolism;407;0.180297368699682;0.01622491463673459;0.21261658170466768;0.009909856053331056
Valine, leucine, and isoleucine metabolism;18;1.0;0.7859382435398181;1.0;0.7978268145114026
Ubiquinone synthesis;8;0.7251713300742539;0.13584374981945566;0.7346669710902651;0.14719166106365555
Phenylalanine metabolism;6;0.6085739448883638;0.23086697751449836;0.6074337342858526;0.24536163966873545
Histidine metabolism;8;0.9837037386839308;0.40663394334355935;0.9885755893603007;0.4295103022706064
Alanine, aspartate and glutamate metabolism;13;0.148871458161244;0.46226322778079026;0.15443561179980728;0.49280708271342294
Fatty acid oxidation;546;4.82210545360573e-07;3.625852951216757e-10;1.2931929047610424e-07;4.056268654295536e-10
Pentose phosphate pathway;23;0.8133261495964954;4.423795108010609e-09;0.8192388619925731;5.125929347649105e-09
Glycine, serine and threonine metabolism;16;0.0379849629922687;0.7218215166678172;0.040072242361589794;0.7213223127091073
Lysine metabolism;22;0.9684227937263081;0.9290679993358139;0.9737189159602481;0.9405939487248312
Tyrosine metabolism;40;0.6467392712009579;0.9999999999999999;0.6411139334111055;1.0
Purine metabolism;67;0.6085739448883638;1.0635389781521454e-05;0.6074337342858526;1.7416292287186774e-05
Isolated;65;1.0;0.9999999999999999;1.0;1.0
Starch and sucrose metabolism;8;0.1065941993526349;0.0030758578427334407;0.11013302958982003;0.0035162225534353764
Dietary fiber binding;13;0.6879786837436861;0.0003461081995193016;0.6982357065880137;0.0004211322617789781
ROS detoxification;9;0.7513689809847492;0.006754019511808784;0.7605585276368971;0.0073251545194413
Glycerophospholipid metabolism;45;0.44377474982413867;0.7343836708586317;0.46454795426989803;0.768431840191318
Sphingolipid metabolism;33;0.6085739448883638;0.7218215166678172;0.6074337342858526;0.7213223127091073
Fatty acid biosynthesis;55;0.9271995575693239;2.341350605039594e-05;0.9336347674151042;3.6126046412417644e-05
Cholesterol metabolism;46;0.6467392712009579;0.9999999999999999;0.6411139334111055;1.0
N-glycan metabolism;35;1.0;0.9999999999999999;1.0;1.0
CoA synthesis;4;0.06999853726442432;0.9290679993358139;0.0719216540167854;0.9405939487248312
