subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;3015;1.0;0.9999999999999988;1.0;0.9999999999999989
Drug metabolism;405;0.0471927087116868;0.09448487480128402;0.04161777234824672;0.10257150787281699
Valine, leucine, and isoleucine metabolism;18;0.9621926277378646;0.6838946137796988;0.9655049514303469;0.6797296022044995
Ubiquinone synthesis;8;0.6414938200150405;0.9426589585333817;0.6511573359604637;0.9359756590427869
Phenylalanine metabolism;6;0.5341856023251165;0.22938591242352455;0.1481852874396023;0.2318391150917942
Histidine metabolism;12;0.5641884056408267;0.6588144004805322;0.5702530810856786;0.6536399660815206
Alanine, aspartate and glutamate metabolism;10;0.1478133035276187;0.5850668984584522;0.1481852874396023;0.5901007174389229
Fatty acid oxidation;605;1.2417439576584144e-08;3.8113512346171774e-10;2.2217432893434363e-08;5.88809001556001e-10
Pentose phosphate pathway;21;0.041404989502237095;0.07152013646300803;0.04161777234824672;0.07277430625788228
Lysine metabolism;23;0.7135464959041732;0.9999999999999988;0.7246979665941732;0.9999999999999989
Tyrosine metabolism;38;0.7700374229988058;0.8557825960747875;0.7813554395774893;0.8509762075827716
Purine metabolism;74;0.00012103905351430149;0.03930863352837669;0.00014149849880081992;0.04123367624582867
Starch and sucrose metabolism;9;0.11093369685405335;0.046429396753478805;0.11411019288947763;0.04727297899308813
Peptide metabolism;243;1.0;0.9999999999999988;1.0;0.9999999999999989
Sphingolipid metabolism;31;0.8897027129713554;0.7188412352169442;0.8987092814598521;0.7121564748771588
Dietary fiber binding;13;0.5911558444970422;0.0003860258082152593;0.6023471326120726;0.00039947737937675383
Hippurate metabolism;3;0.02121332359937015;0.24586335625814812;0.02142845424803408;0.2499632645399979
ROS detoxification;8;0.08331914963207471;0.3970047137653389;0.08579421684679872;0.400824043958032
Glycerophospholipid metabolism;36;0.3693917712491367;0.7188412352169442;0.37513610716776946;0.7121564748771588
Fatty acid biosynthesis;63;0.11401084357506665;0.0026218529297282146;0.12183322872719878;0.0027850429648444805
Cholesterol metabolism;40;0.3147783868342734;0.6708433577049208;0.32078711839012053;0.6694964312996552
N-glycan metabolism;36;1.0;0.9999999999999988;1.0;0.9999999999999989
CoA synthesis;3;0.02121332359937015;0.24586335625814812;0.02142845424803408;0.2499632645399979
Pyrimidine metabolism;40;0.02121332359937015;1.128104954550846e-05;0.02142845424803408;1.2071352328224538e-05
Steroid metabolism;17;0.2633622928960332;0.9737202308801539;0.2650743021538937;0.6474289584175877
Glycine, serine and threonine metabolism;16;0.6945891039282598;0.04899102417181516;0.7129504308567713;0.05012008488682458
Acylglycerides metabolism;12;0.08816146884564291;0.8557825960747875;0.09122632744691114;0.8509762075827716
Pool reactions;46;0.9622248262826054;0.9999999999999988;0.9655049514303469;0.9999999999999989
Fatty acid activation (cytosolic);63;0.00017431073514158346;1.2691410779451318e-07;0.00020081144890313207;1.4025469000486117e-07
