subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;952;0.7890569725026888;0.0018599091852078249;0.5666259401480446;0.001479224896370543
Ubiquinone synthesis;11;0.9950604455764719;0.00010528768988198322;0.8218467135310217;0.00012393868805093966
Starch and sucrose metabolism;10;0.43050128624286355;0.10647740731273865;0.15774281126041595;0.11079243486880613
Sphingolipid metabolism;22;0.9999999999554128;0.07095861925661863;0.999999999972412;0.07658724970470603
Fatty acid oxidation;293;0.7114249466460216;0.9999999999999959;0.8035518007677925;0.9999999999999978
Glycerophospholipid metabolism;45;0.8051856427902409;1.1395102592570705e-05;0.7394193329709969;6.786519600732177e-07
Oxidative phosphorylation;9;0.9999999999554128;0.9999999999999959;0.999999999972412;0.9999999999999978
Fatty acid biosynthesis;46;0.9999999999554128;0.9999999999999959;0.999999999972412;0.9999999999999978
Pyrimidine metabolism;43;0.01364782754304287;0.9974600363277772;0.016004435770004766;0.8551591866308694
Cholesterol metabolism;36;0.9999999999554128;0.9999999999999959;0.999999999972412;0.9999999999999978
Pentose phosphate pathway;23;0.8918960143873126;0.6354217524482929;0.8941517251521215;0.6792753190283836
Acylglycerides metabolism;9;0.9829176439083981;5.474076691121728e-05;0.9848338105062441;6.368020676288882e-05
Pool reactions;8;0.8918960143873126;0.81695122335267;0.8941517251521215;0.8551591866308694
Acyl-CoA hydrolysis;61;0.43050128624286355;2.9519561398469054e-11;0.2989115608561476;2.786926245335053e-11
Fatty acid activation (cytosolic);60;0.04694343636707148;0.7277566591853012;0.055918497217748234;0.7793752242711982
Inositol phosphate metabolism;34;0.9999999999554128;0.07975025660725742;0.999999999972412;0.08848707993297414
Glycerolipid metabolism;69;0.9999999999554128;0.9999999999999959;0.999999999972412;0.9999999999999978
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;36;0.3145298292749943;0.11273029564201338;0.31144059971849275;0.1252975504905807
Exchange/demand reactions;150;0.00293322441705827;0.1747586949819134;0.0044539836780614905;0.21413543576988786
Artificial reactions;7;0.9999999999554128;0.0007038603249145;0.999999999972412;0.0007256641494254682
Arachidonic acid metabolism;41;0.9999999999554128;0.9999999999999959;0.999999999972412;0.9999999999999978
Leukotriene metabolism;58;0.9999999999554128;0.9999999999999959;0.999999999972412;0.9999999999999978
Prostaglandin biosynthesis;8;0.9999999999554128;0.81695122335267;0.999999999972412;0.8551591866308694
Butanoate metabolism;5;0.9950604455764719;0.08688434668434528;0.999999999972412;0.08848707993297414
Cholesterol biosynthesis 1 (Bloch pathway) ;28;0.9999999999554128;0.0;0.999999999972412;0.0
Cholesterol biosynthesis 2;5;0.9950604455764719;0.0;0.999999999972412;0.0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);16;0.9999999999554128;0.9999999999999959;0.999999999972412;0.9999999999999978
