subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;836;7.2734368528060145e-09;0.0433756355438742;2.903130402742704e-09;0.02112283234161395
Ubiquinone synthesis;7;0.9999999930857543;0.0003303105663545826;0.9999999947159917;0.00034447919671226623
Propanoate metabolism;14;0.8489519128183265;0.0001954178744625612;0.8887736565136071;0.00020776807746389347
Starch and sucrose metabolism;11;0.5659445135361876;0.9999999940506595;0.5859137361510227;0.9999999947777922
Sphingolipid metabolism;40;0.9999999930857543;0.9999999940506595;0.9999999947159917;0.9999999947777922
Cholesterol metabolism;44;0.9999999930857543;0.9387465813687624;0.9999999947159917;0.9369375653347561
Fatty acid oxidation;296;0.9999999930857543;0.9999999940506595;0.9999999947159917;0.9999999947777922
Glycerophospholipid metabolism;55;0.053277706498374745;0.10449098591148456;0.06117817513585929;0.11132664253990976
Oxidative phosphorylation;9;0.0025980166143192707;0.9999999940506595;0.0027680688941687515;0.9999999947777922
Tyrosine metabolism;13;0.390657064431287;0.5691314957037693;0.40607706220344636;0.580166982238851
Fatty acid biosynthesis;46;0.8489519128183265;0.9809816960811006;0.8887736565136071;0.9853889139422262
Pyrimidine metabolism;52;9.435582161432254e-07;0.9999999940506595;2.9007261074084513e-07;0.9999999947777922
Heme synthesis;4;0.6011017340183483;0.20490461416638311;0.614145571426812;0.20835475423974154
Pentose phosphate pathway;26;0.0015564268611774372;0.9259585313635059;0.0016471928988953666;0.9241116746923002
Acylglycerides metabolism;13;0.15021943918471117;0.9259585313635059;0.15332582484380344;0.9241116746923002
Pool reactions;9;0.9999999930857543;0.9999999940506595;0.9999999947159917;0.9999999947777922
Acyl-CoA hydrolysis;62;0.0018313526599620378;0.8294823750340465;0.0009211868733429718;0.8574997472185429
Fatty acid activation (cytosolic);60;0.013487273035325497;0.21766321428734192;0.015977448298735642;0.2301580692773392
Inositol phosphate metabolism;29;0.40312307191383573;0.9809816960811006;0.4288759284412236;0.9853889139422262
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;33;0.11654870293210941;0.9999999940506595;0.1229624582160455;0.9999999947777922
