subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;1600;6.983361749424155e-07;0.9999972709411082;5.050637017778303e-07;0.9999973664768069
Eicosanoid metabolism;14;0.9417334143387017;0.6710180418602515;0.9361371204600186;0.6770799973967931
Valine, leucine, and isoleucine metabolism;7;0.9999998266639113;0.6956634468255494;0.9999998403527003;0.7000785345534495
Propanoate metabolism;9;0.9999998266639113;0.9752070522903633;0.9999998403527003;0.9799761347140243
Phenylalanine metabolism;5;0.9999998266639113;0.04274823291014086;0.9999998403527003;0.04322356123567825
Drug metabolism;54;0.9417334143387017;0.9779375693806613;0.9361371204600186;0.9820848635926855
Histidine metabolism;2;0.9999998266639113;0.0;0.9999998403527003;0.0
Fatty acid oxidation;124;0.9417334143387017;0.5742443372500029;0.9361371204600186;0.5910931332097741
Pentose phosphate pathway;14;0.9417334143387017;0.9999972709411082;0.9361371204600186;0.9999973664768069
Lysine metabolism;16;0.9999998266639113;0.6053479567964827;0.9999998403527003;0.611490315868963
Bile acid biosynthesis;10;0.9198961064045216;0.8182251267333371;0.9304857122049989;0.8237298789384927
Starch and sucrose metabolism;3;0.3511042721075629;0.9999972709411082;0.3550462759575142;0.9999973664768069
Sphingolipid metabolism;15;0.9999998266639113;0.9779375693806613;0.9999998403527003;0.9820848635926855
Pyrimidine metabolism;45;0.6033616208562197;0.9999972709411082;0.609879025284667;0.9999973664768069
Cholesterol metabolism;49;0.2979947575906979;0.9497000491145579;0.3115380758191963;0.9610504788515045
ROS detoxification;7;0.9999998266639113;0.9779375693806613;0.9999998403527003;0.9820848635926855
Glycerophospholipid metabolism;35;0.9999998266639113;0.9999972709411082;0.9999998403527003;0.9999973664768069
Fatty acid biosynthesis;38;0.4584824535195822;0.9999972709411082;0.47347133536702324;0.9999973664768069
N-glycan metabolism;9;0.9999998266639113;0.9752070522903633;0.9999998403527003;0.9799761347140243
Tyrosine metabolism;6;0.9999998266639113;0.514208712905199;0.9999998403527003;0.5172125384785385
Glycine, serine and threonine metabolism;18;0.6433936662003347;0.9999972709411082;0.6557600149005319;0.9999973664768069
Dietary fiber binding;3;0.9999998266639113;0.2209678315879772;0.9999998403527003;0.2224376798663122
Pool reactions;11;0.9417334143387017;0.9999972709411082;0.9361371204600186;0.9999973664768069
