subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;1212;0.06306834297355816;0.3215234368621932;0.06456175842363342;0.34467362579690625
Drug metabolism;115;0.6748638586153951;0.3371423190834323;0.7043206326870055;0.3561373476782824
Eicosanoid metabolism;15;0.4486878443404178;0.47691744597564256;0.46008559127556975;0.48521869032645343
Valine, leucine, and isoleucine metabolism;8;0.07338036547790103;0.6431614381904559;0.07569432275316533;0.6503742944283979
Tyrosine metabolism;14;0.16652758580916918;0.9896490233240229;0.17234118595216902;0.99238800639144
Histidine metabolism;4;0.663295881565413;0.8000597586515322;0.6733316843664825;0.8048994256682738
Alanine, aspartate and glutamate metabolism;9;0.5689732880708032;0.9106876827762967;0.5817710400309862;0.9160992183562273
Bile acid biosynthesis;48;0.7830062499206378;0.40381395298792255;0.7912286982226988;0.410304328495026
Fatty acid oxidation;357;0.9999995604393641;0.9994364658281114;0.99999940901455;0.999456245286218
Pentose phosphate pathway;18;0.26482889311772817;0.8812250404342598;0.2739521461908206;0.8841080439302473
Lysine metabolism;3;0.5340384431777503;0.9210789113260612;0.5395136738021167;0.9235353388485936
Starch and sucrose metabolism;4;0.9148791362999271;0.8000597586515322;0.9177397704427278;0.8048994256682738
Sphingolipid metabolism;12;0.7830062499206378;0.7671720489352387;0.7912286982226988;0.7771683097018969
Dietary fiber binding;3;0.5340384431777503;0.19778612499573572;0.5395136738021167;0.20015479765271982
ROS detoxification;7;0.43901717132314033;0.9994364658281114;0.4469703035144365;0.999456245286218
Glycerophospholipid metabolism;30;0.9999995604393641;3.54665719326519e-05;0.99999940901455;3.824754864704497e-05
Fatty acid biosynthesis;49;0.989479122967891;0.44518484611700526;0.9963847379777493;0.4533252993641783
Cholesterol metabolism;45;5.455723983693872e-09;0.9994364658281114;6.546842512555884e-09;0.999456245286218
N-glycan metabolism;4;0.3102828708369482;0.9503480667224667;0.31522821015477864;0.9523935186547521
Pyrimidine metabolism;39;0.5689732880708032;0.9564177174868028;0.5817710400309862;0.9623886490455319
Glycine, serine and threonine metabolism;11;0.9067036895422442;0.07136554622684801;0.9125166868760728;0.06287997456585755
Acylglycerides metabolism;10;0.8725080931433532;0.003528609116683512;0.8759070820822986;0.003651953187256085
Pool reactions;10;0.21661192476450397;0.9210789113260612;0.22256876044588395;0.9235353388485936
Fatty acid activation (cytosolic);60;0.5689732880708032;0.3096422810730388;0.5784882850096308;0.33276507642164344
Acyl-CoA hydrolysis;2;0.0;0.8812250404342598;0.0;0.8841080439302473
Glycerolipid metabolism;66;0.5689732880708032;0.8000597586515322;0.5784882850096308;0.8048994256682738
Inositol phosphate metabolism;6;0.5689732880708032;0.10090095879605303;0.5784882850096308;0.10278938371617695
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;30;0.4913890488009478;0.2248441098806394;0.5075983327644714;0.23044030281538577
Nicotinate and nicotinamide metabolism;12;0.7830062499206378;0.7671720489352387;0.7912286982226988;0.7771683097018969
Glycosphingolipid metabolism;12;0.19384334667304265;0.44518484611700526;0.19989515279130493;0.4533252993641783
Glycosphingolipid biosynthesis-globo series;3;0.8725080931433532;0.0;0.8759070820822986;0.0
Arachidonic acid metabolism;11;0.04809737572235262;0.9367963443070703;0.05008361424029788;0.940982803699087
Exchange/demand reactions;181;0.05397746227031217;0.3096422810730388;0.06304023854043903;0.33276507642164344
Steroid metabolism;14;0.5410740763454709;0.9210789113260612;0.5519673414681256;0.9235353388485936
Leukotriene metabolism;45;0.9148791362999271;0.10739577412882131;0.9177397704427278;0.11259605926746204
Prostaglandin biosynthesis;19;0.9999995604393641;0.20348305356380902;0.99999940901455;0.20904973852171405
Butanoate metabolism;4;0.9148791362999271;0.3738681593334224;0.9177397704427278;0.3779113634753161
Cholesterol biosynthesis 2;2;0.7830062499206378;0.8812250404342598;0.7912286982226988;0.8841080439302473
Pyruvate metabolism;19;0.9148791362999271;0.8000597586515322;0.9177397704427278;0.8048994256682738
Bile acid recycling;6;0.07338036547790103;0.7671720489352387;0.07569432275316533;0.7771683097018969
Androgen metabolism;9;0.5689732880708032;0.40381395298792255;0.5817710400309862;0.410304328495026
Estrogen metabolism;52;0.9999995604393641;0.9994364658281114;0.99999940901455;0.999456245286218
Vitamin D metabolism;20;0.9999995604393641;0.9994364658281114;0.99999940901455;0.999456245286218
Fatty acid biosynthesis (even-chain);29;0.28228074573353057;0.9352363560220596;0.2942442340019804;0.940982803699087
Fatty acid elongation (even-chain);21;0.7800817052567548;0.8812250404342598;0.7912286982226988;0.8841080439302473
Fatty acid biosynthesis (odd-chain);30;0.19739905654433942;0.9210789113260612;0.2068758832138084;0.9235353388485936
Fatty acid elongation (odd-chain);13;0.663295881565413;0.9732439005764829;0.6733316843664825;0.9764259601565416
Fatty acid desaturation (even-chain);13;0.663295881565413;0.9994364658281114;0.6733316843664825;0.999456245286218
Fatty acid desaturation (odd-chain);3;0.0;0.9210789113260612;0.0;0.9235353388485936
Fatty acid biosynthesis (unsaturated);33;0.9999995604393641;0.8729711021336372;0.99999940901455;0.8841080439302473
Omega-6 fatty acid metabolism;28;0.9999995604393641;0.8000597586515322;0.99999940901455;0.8048994256682738
Linoleate metabolism;8;0.07338036547790103;0.6431614381904559;0.07569432275316533;0.6503742944283979
Omega-3 fatty acid metabolism;39;0.7084505822946681;0.10090095879605303;0.7270965084977742;0.06287997456585755
Carnitine shuttle (cytosolic);8;0.5340384431777503;0.9503480667224667;0.5395136738021167;0.9523935186547521
Carnitine shuttle (mitochondrial);12;0.9148791362999271;0.9503480667224667;0.9177397704427278;0.9523935186547521
Carnitine shuttle (endoplasmic reticular);14;0.9999995604393641;0.9994364658281114;0.99999940901455;0.999456245286218
Fatty acid activation (endoplasmic reticular);9;0.9586191481688667;0.9994364658281114;0.9622434880386438;0.999456245286218
Beta oxidation of even-chain fatty acids (mitochondrial);8;0.7800817052567548;0.9994364658281114;0.7886683676022987;0.999456245286218
Beta oxidation of phytanic acid (peroxisomal);3;0.14558842070510372;0.9210789113260612;0.1481651493161759;0.9235353388485936
