subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;1661;0.8911990968644293;0.5439381234429707;0.872855504267345;0.5669353375812238
Drug metabolism;66;0.9989735923424045;0.9999999999998924;0.9999977042628592;0.9748233321001305
Valine, leucine, and isoleucine metabolism;8;0.9999975721814905;0.9999999999998924;0.9999977042628592;0.9999999999999134
Tyrosine metabolism;17;0.9999975721814905;0.35652178300327725;0.9999977042628592;0.36521652406248856
Ubiquinone synthesis;2;0.0;0.9425471354154387;0.0;0.9470604431400508
Histidine metabolism;3;0.7298876405619658;0.9999999999998924;0.7352188728196325;0.9999999999999134
Fatty acid oxidation;93;0.8419857619472959;0.5214367701554983;0.8477244270406811;0.5518214672715377
Pentose phosphate pathway;17;0.9999975721814905;0.12036017885834213;0.9999977042628592;0.12589504571545024
Lysine metabolism;7;0.07801271987614428;0.9425471354154387;0.07722157517205998;0.9470604431400508
Purine metabolism;53;0.9999975721814905;0.23248212163147872;0.9999977042628592;0.16728603337614706
Isolated;8;0.7298876405619658;0.5182540399046929;0.7367723923947379;0.5261734976186788
Starch and sucrose metabolism;3;0.19118456140165382;0.9999999999998924;0.19242691250227764;0.9999999999999134
Peptide metabolism;4;0.8419857619472959;0.14448353705218547;0.8477244270406811;0.153392672981437
Sphingolipid metabolism;18;0.9999975721814905;0.14448353705218547;0.9999977042628592;0.153392672981437
Dietary fiber binding;3;0.9999975721814905;0.0;0.9999977042628592;0.0
Hippurate metabolism;3;0.9999975721814905;0.0;0.9999977042628592;0.0
Cholesterol metabolism;47;0.6278834081016026;0.8805255921177325;0.6375074463442801;0.8947773080846342
Glycerophospholipid metabolism;38;0.8911990968644293;0.14448353705218547;0.8979964648740547;0.153392672981437
Fatty acid biosynthesis;50;0.9999975721814905;0.19090939738097867;0.9999977042628592;0.19663934012274736
N-glycan metabolism;4;0.9999975721814905;0.9999999999998924;0.9999977042628592;0.9999999999999134
CoA synthesis;3;0.7298876405619658;0.24593989130446536;0.7352188728196325;0.24987864119818004
Pyrimidine metabolism;37;0.8596237616328197;0.9999999999998924;0.8667840886573087;0.9999999999999134
Pool reactions;12;0.3299947216039265;0.9425471354154387;0.33343047479738924;0.9470604431400508
Acyl-CoA hydrolysis;61;0.9999975721814905;0.0;0.9999977042628592;0.0
Fatty acid activation (cytosolic);23;0.8419857619472959;0.3466020740321724;0.8477244270406811;0.3591382311688083
Glycerolipid metabolism;67;0.9999975721814905;0.9999999999998924;0.9999977042628592;0.9999999999999134
Fructose and mannose metabolism;6;0.38871580487008617;0.5182540399046929;0.3914145195600438;0.5261734976186788
Glycine, serine and threonine metabolism;15;0.9999975721814905;0.0003890928570366159;0.9999977042628592;0.00041609640504725043
Acylglycerides metabolism;4;0.09675913485688424;0.9176606988849886;0.09759868913499307;0.9235556457040783
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;30;0.6902783467552583;0.7620477372389352;0.6981063473437036;0.7736109398840005
Nicotinate and nicotinamide metabolism;12;0.8419857619472959;0.9999999999998924;0.8477244270406811;0.9999999999999134
Glycosphingolipid metabolism;12;0.9999975721814905;0.7620477372389352;0.9999977042628592;0.7736109398840005
Glycosphingolipid biosynthesis-globo series;2;0.9573008132955689;0.0;0.9589104123521429;0.0
Arachidonic acid metabolism;18;0.018912623110809823;0.9999999999998924;0.019348479066578023;0.9999999999999134
Exchange/demand reactions;197;0.07801271987614428;0.9999999999998924;0.059484620265502906;0.9999999999999134
Leukotriene metabolism;36;0.0005402622430999649;0.9999999999998924;0.0005633611287691354;0.9999999999999134
Prostaglandin biosynthesis;23;0.8419857619472959;0.18968377395065497;0.8477244270406811;0.19101581299182674
Butanoate metabolism;4;0.9999975721814905;0.14448353705218547;0.9999977042628592;0.153392672981437
Cholesterol biosynthesis 1 (Bloch pathway) ;23;0.18131242201276218;0.8805255921177325;0.18454696235630377;0.8947773080846342
Cholesterol biosynthesis 2;3;0.9999975721814905;0.7620477372389352;0.9999977042628592;0.7736109398840005
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);17;0.9999975721814905;0.0;0.9999977042628592;0.0
Pyruvate metabolism;19;0.9999975721814905;0.7653877036655623;0.9999977042628592;0.7796713375466826
Bile acid biosynthesis;27;0.25235599347705995;0.8546469438633383;0.2566228925016968;0.8712940232897216
Bile acid recycling;2;0.9573008132955689;0.0;0.9589104123521429;0.0
Steroid metabolism;16;0.537252698939719;0.4912754790436908;0.5424855976457259;0.5039715009345535
Androgen metabolism;11;0.8049894777160879;0.1685893923751196;0.809632690658733;0.16728603337614706
Estrogen metabolism;58;0.9999975721814905;0.9999999999998924;0.9999977042628592;0.9999999999999134
Vitamin D metabolism;20;0.9999975721814905;0.9999999999998924;0.9999977042628592;0.9999999999999134
Fatty acid biosynthesis (even-chain);29;0.9999975721814905;6.420194425369655e-05;0.9999977042628592;7.125900275905084e-05
