subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;1599;0.9999999944520922;0.999999999999992;0.999999995402228;0.9999999999999943
Drug metabolism;133;0.9999999944520922;0.013083088853443567;0.999999995402228;0.015113733856048204
Beta-alanine metabolism;6;0.9999999944520922;0.8688458723873449;0.999999995402228;0.8618366142932183
Valine, leucine, and isoleucine metabolism;7;0.10755770698086757;0.9843221714689543;0.11129627331541611;0.9747408821874424
Tyrosine metabolism;23;0.08240856561363205;0.999999999999992;0.08371480952365688;0.9999999999999943
Histidine metabolism;9;0.11763110434897568;0.999999999999992;0.1200683568927605;0.9999999999999943
Fatty acid oxidation;193;0.08240856561363205;0.0914521770950439;0.06917455172002787;0.07548071642653388
Pentose phosphate pathway;24;0.9999999944520922;0.09197684268324172;0.999999995402228;0.09626616491635363
Lysine metabolism;6;0.17536394615571207;0.8688458723873449;0.17943573985751068;0.8618366142932183
Bile acid biosynthesis;54;0.05109900777813271;0.999999999999992;0.05570425336348656;0.9999999999999943
Purine metabolism;69;0.9999999944520922;0.999999999999992;0.999999995402228;0.9999999999999943
Starch and sucrose metabolism;11;0.6677392104178997;0.5672367983011208;0.6799582234674173;0.5652044793781983
Peptide metabolism;3;0.9999999944520922;0.999999999999992;0.999999995402228;0.9999999999999943
Sphingolipid metabolism;26;0.9999999944520922;0.48928438010336056;0.999999995402228;0.49211626009532305
ROS detoxification;8;0.9999999944520922;0.18485051066488667;0.999999995402228;0.18915036627801798
Glycerophospholipid metabolism;50;0.9999999944520922;0.4086337192888664;0.999999995402228;0.4262512033642326
N-glycan metabolism;36;0.10855066968504881;0.8736584347228284;0.11543900861873137;0.8764563840343611
Fatty acid biosynthesis;29;0.9999999944520922;0.21204981798754413;0.999999995402228;0.22071447762932245
Dietary fiber binding;4;0.9999999944520922;0.10647234684318192;0.999999995402228;0.10845490436692434
Acylglycerides metabolism;19;0.9999999944520922;0.4700228630014537;0.999999995402228;0.4709349415536809
Pool reactions;11;0.34136538712790265;0.5672367983011208;0.3500374938303015;0.5652044793781983
Acyl-CoA hydrolysis;2;0.0;0.9843221714689543;0.0;0.9747408821874424
Fatty acid activation (cytosolic);66;0.9999999944520922;0.999999999999992;0.999999995402228;0.9999999999999943
Glycerolipid metabolism;68;0.9999999944520922;3.6950812779916e-11;0.999999995402228;6.344635927746367e-11
Glycine, serine and threonine metabolism;15;0.6083522136815329;0.5075344415448432;0.6221398910009353;0.5073004616209794
Inositol phosphate metabolism;40;0.44348756447185206;0.3494173259121858;0.4629910219475028;0.363691840183479
Glycosphingolipid metabolism;13;0.9891732995655719;0.999999999999992;0.999999995402228;0.9999999999999943
Glycosphingolipid biosynthesis-globo series;3;0.9999999944520922;0.999999999999992;0.999999995402228;0.9999999999999943
Glycosphingolipid biosynthesis-ganglio series;13;0.9999999944520922;0.00159272374491949;0.999999995402228;0.0016790787319086577
Arachidonic acid metabolism;15;0.9999999944520922;0.0028927172443349745;0.999999995402228;0.003055473124875041
Exchange/demand reactions;235;0.9999999944520922;0.04498274040381131;0.999999995402228;0.02516011838321465
Steroid metabolism;20;0.9999999944520922;0.999999999999992;0.999999995402228;0.9999999999999943
Leukotriene metabolism;20;0.9999999944520922;7.022904481887185e-05;0.999999995402228;7.591063765571044e-05
Prostaglandin biosynthesis;26;0.9999999944520922;0.04540735602643601;0.999999995402228;0.04794630475769944
Cholesterol metabolism;20;0.0501086891172724;0.999999999999992;0.052867415013894886;0.9999999999999943
Androgen metabolism;11;0.6677392104178997;0.999999999999992;0.6799582234674173;0.9999999999999943
Estrogen metabolism;59;0.9999999944520922;0.999999999999992;0.999999995402228;0.9999999999999943
Fatty acid elongation (even-chain);21;0.5190098730611518;0.999999999999992;0.5289391902042864;0.9999999999999943
Fatty acid elongation (odd-chain);13;0.9999999944520922;0.999999999999992;0.999999995402228;0.9999999999999943
Fatty acid desaturation (even-chain);4;0.5190098730611518;0.941781265631219;0.5289391902042864;0.9329584433899113
Fatty acid biosynthesis (unsaturated);33;0.9999999944520922;0.3363978897117805;0.999999995402228;0.34911946712391484
Omega-6 fatty acid metabolism;29;0.9999999944520922;0.012734956445222823;0.999999995402228;0.013629077123657499
Linoleate metabolism;16;0.22875804358535845;0.8736584347228284;0.2367009987437194;0.8764563840343611
Omega-3 fatty acid metabolism;45;0.9999999944520922;0.0985575842239928;0.999999995402228;0.10476626505882237
Carnitine shuttle (cytosolic);12;0.9999999944520922;0.021509831791532794;0.999999995402228;0.022410413240551055
Carnitine shuttle (mitochondrial);9;0.9999999944520922;0.02582818551920632;0.999999995402228;0.02516011838321465
Carnitine shuttle (endoplasmic reticular);14;0.9999999944520922;0.0;0.999999995402228;0.0
Fatty acid activation (endoplasmic reticular);56;0.0;0.999999999999992;0.0;0.9999999999999943
Beta oxidation of even-chain fatty acids (mitochondrial);6;0.03303975952867072;0.999999999999992;0.034068600775605605;0.9999999999999943
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);4;0.5190098730611518;0.4700228630014537;0.5289391902042864;0.4685451102875796
Beta oxidation of phytanic acid (peroxisomal);3;0.8616106445809508;0.2071209563012289;0.8688152717468203;0.21000594360150893
Alanine, aspartate and glutamate metabolism;8;0.958673077899302;0.999999999999992;0.9698322754790075;0.4685451102875796
Arginine and proline metabolism;35;0.2378737910679652;0.626560201962769;0.2498762580892661;0.6315353933241238
Pyruvate metabolism;22;0.22497403101981103;0.9538451300623312;0.23422058461594272;0.9518120321900326
Glutathione metabolism;14;0.03303975952867072;0.999999999999992;0.034068600775605605;0.9999999999999943
Cysteine and methionine metabolism;19;0.8616106445809508;0.999999999999992;0.8688152717468203;0.9999999999999943
Glycolysis / Gluconeogenesis;26;0.9999999944520922;0.31030972930773576;0.999999995402228;0.321057569115908
Pyrimidine metabolism;47;0.9999999944520922;0.49537677411566805;0.999999995402228;0.5029102057350007
Galactose metabolism;9;0.9999999944520922;0.591555354723353;0.999999995402228;0.58867335661818
Miscellaneous;27;0.27635398455114596;0.999999999999992;0.2880740080215313;0.9999999999999943
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;21;0.9999999944520922;0.13546835149599187;0.999999995402228;0.14090413771435858
Nucleotide metabolism;87;0.9999999944520922;0.0006323349016982283;0.999999995402228;0.0007337114466879902
Folate metabolism;12;0.9999999944520922;0.20381018628896683;0.999999995402228;0.20979362078918648
Oxidative phosphorylation;8;0.958673077899302;0.999999999999992;0.9698322754790075;0.9999999999999943
Amino sugar and nucleotide sugar metabolism;17;0.9999999944520922;0.0542672938665919;0.999999995402228;0.056253393850709564
Porphyrin metabolism;12;0.9999999944520922;0.9725279981044586;0.999999995402228;0.9670633372699267
Vitamin B6 metabolism;3;0.9999999944520922;0.2071209563012289;0.999999995402228;0.21000594360150893
Fatty acid biosynthesis (even-chain);2;0.0;0.9843221714689543;0.0;0.9747408821874424
Phenylalanine, tyrosine and tryptophan biosynthesis;56;0.9999999944520922;0.004590058909794491;0.999999995402228;0.005087659796874291
Nicotinate and nicotinamide metabolism;21;0.9999999944520922;0.05920481247496664;0.999999995402228;0.0620060284941398
Fructose and mannose metabolism;12;0.5126960156255868;0.7016231593223257;0.5244354876713246;0.6990654276673247
Propanoate metabolism;6;0.17536394615571207;0.8688458723873449;0.17943573985751068;0.8618366142932183
Serotonin and melatonin biosynthesis;8;0.20654261250882433;0.8261635708933744;0.21184368508396556;0.8203266495645921
Biopterin metabolism;22;0.05109900777813271;0.999999999999992;0.05445351069261472;0.9999999999999943
Pentose and glucuronate interconversions;9;0.34136538712790265;0.591555354723353;0.3500374938303015;0.58867335661818
Aminoacyl-tRNA biosynthesis;21;0.9999999944520922;0.024677001734099115;0.999999995402228;0.02516011838321465
Protein assembly;5;0.9999999944520922;0.0542672938665919;0.999999995402228;0.056253393850709564
Protein degradation;3;0.0;0.999999999999992;0.0;0.9999999999999943
Butanoate metabolism;2;0.9999999944520922;0.9843221714689543;0.999999995402228;0.9747408821874424
Ascorbate and aldarate metabolism;6;0.0;0.999999999999992;0.0;0.9999999999999943
Vitamin E metabolism;24;0.9999999944520922;0.999999999999992;0.999999995402228;0.9999999999999943
Riboflavin metabolism;6;0.5190098730611518;0.999999999999992;0.5289391902042864;0.9999999999999943
Retinol metabolism;52;0.9999999944520922;0.999999999999992;0.999999995402228;0.9999999999999943
Xenobiotics metabolism;85;0.10755770698086757;0.16890347576526876;0.11543900861873137;0.18202697420053182
Metabolism of other amino acids;2;0.9999999944520922;0.0;0.999999995402228;0.0
O-glycan metabolism;6;0.9999999944520922;0.8688458723873449;0.999999995402228;0.8618366142932183
Chondroitin sulfate degradation;20;0.9999999944520922;0.8261635708933744;0.999999995402228;0.8203266495645921
Ether lipid metabolism;7;0.9999999944520922;0.090776059917358;0.999999995402228;0.08922309288470413
Protein modification;7;0.9999999944520922;0.626560201962769;0.999999995402228;0.628926599305473
Vitamin D metabolism;21;0.9999999944520922;0.999999999999992;0.999999995402228;0.9999999999999943
Tryptophan metabolism;9;0.9999999944520922;0.3003150313467809;0.999999995402228;0.3066180882940814
