subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;1045;0.5335686100891726;0.8610854684379888;0.4934366371049569;0.8679959853093582
Valine, leucine, and isoleucine metabolism;7;0.9554429977741237;0.8610854684379888;0.9614969558509878;0.8679959853093582
Drug metabolism;77;0.9554429977741237;0.016463328315266604;0.9614969558509878;0.008191909061386518
Histidine metabolism;7;0.7481225911363527;0.8780139060681104;0.7631603488351975;0.8812039432418044
Fatty acid oxidation;393;0.99978730666154;4.6597555116711934e-07;0.9982984221615739;3.6724177543412395e-07
Pentose phosphate pathway;17;0.4247658096535662;0.9946614347097877;0.4413146539114914;0.9976395123922864
Lysine metabolism;16;0.359940484948259;0.8610854684379888;0.34911511426793385;0.8679959853093582
Bile acid biosynthesis;25;0.7481225911363527;0.001615702933374134;0.7631603488351975;0.0017246175119592921
Tyrosine metabolism;19;0.38983277135391264;0.5358947769356506;0.38815747769096653;0.5306514641773511
Isolated;9;0.38983277135391264;0.2189771185611353;0.40038304960079557;0.22365507575998145
Starch and sucrose metabolism;3;0.5596702183253568;0.20017105662496124;0.5668483501261735;0.20281645646782606
Peptide metabolism;4;0.7481225911363527;0.8610854684379888;0.7631603488351975;0.8679959853093582
Sphingolipid metabolism;18;0.9554429977741237;0.8610854684379888;0.9614969558509878;0.8679959853093582
Cholesterol metabolism;66;0.01703875945549877;0.8610854684379888;0.019602007031807773;0.8679959853093582
ROS detoxification;7;0.9554429977741237;0.8780139060681104;0.9614969558509878;0.8812039432418044
Glycerophospholipid metabolism;31;0.9802322500940942;0.6051996057480854;0.9889939978700153;0.4647893747828479
Fatty acid biosynthesis;56;0.4247658096535662;0.8610854684379888;0.4413146539114914;0.8679959853093582
N-glycan metabolism;4;0.9554429977741237;0.8610854684379888;0.9614969558509878;0.8679959853093582
Pyrimidine metabolism;41;0.7876053227759491;0.8610854684379888;0.8114203073302145;0.8679959853093582
Acylglycerides metabolism;7;0.99978730666154;0.007396359946688255;0.9982984221615739;0.007626861529547946
Pool reactions;11;0.9554429977741237;0.8610854684379888;0.9614969558509878;0.8679959853093582
Fatty acid activation (cytosolic);60;0.99978730666154;0.9999953989138338;0.9998123800873284;0.9999958444161822
Acyl-CoA hydrolysis;3;0.9554429977741237;0.0;0.9614969558509878;0.0
Glycerolipid metabolism;68;0.09351030617774858;0.9999953989138338;0.1042714883184247;0.9999958444161822
Glycine, serine and threonine metabolism;16;0.09351030617774858;0.9999953989138338;0.1042714883184247;0.9999958444161822
Inositol phosphate metabolism;28;0.4247658096535662;0.6036184879729608;0.4413146539114914;0.601527300517746
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;31;0.5864590631812162;0.6051996057480854;0.6079233252432255;0.6137293785007673
Nicotinate and nicotinamide metabolism;16;0.7481225911363527;0.11285973274693667;0.7631603488351975;0.1166158441039958
Glycosphingolipid metabolism;11;0.359940484948259;0.8610854684379888;0.34911511426793385;0.8679959853093582
Glycosphingolipid biosynthesis-globo series;2;0.0;0.8610854684379888;0.0;0.8679959853093582
Glycosphingolipid biosynthesis-ganglio series;6;0.9554429977741237;0.11909624077291742;0.9614969558509878;0.12152752361654137
