subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;885;0.6689088413654737;0.6528407111308605;0.4284094267953389;0.38091632038237344
Starch and sucrose metabolism;9;0.9836760277101824;0.0006724384465127686;0.9999997927332284;0.001155204876957805
Sphingolipid metabolism;18;0.968067150253631;0.8767713607329032;0.9999997927332284;0.6778299203327849
Fatty acid oxidation;280;0.6689088413654737;0.3429729918934035;0.7862452623944962;0.38091632038237344
Oxidative phosphorylation;8;0.07763646691378912;0.3429729918934035;0.09145650618186035;0.38091632038237344
Fatty acid biosynthesis;45;0.6689088413654737;0.9999999688638506;0.7258435554478101;0.9999999890385077
Pyrimidine metabolism;41;0.02649416540677685;0.08171762225542517;0.04368201400721694;0.053199295252646356
Cholesterol metabolism;36;0.9999994716175956;0.9999999688638506;0.9999997927332284;0.9999999890385077
Acylglycerides metabolism;7;0.9002158148730669;0.9885435701963698;0.32795827768128244;0.9999999890385077
Pool reactions;8;0.33438344097414796;0.9937192018443604;0.3680637015970287;0.9999999890385077
Fatty acid activation (cytosolic);60;2.2477218336591773e-07;1.0854733778487001e-10;9.468676231971784e-08;0.0
Acyl-CoA hydrolysis;61;2.739137910157119e-05;1.7011558828272655e-10;3.89297627467755e-08;1.6589563056612633e-10
Glycerophospholipid metabolism;31;0.9999994716175956;0.9885435701963698;0.9999997927332284;0.908610852398872
Exchange/demand reactions;134;0.01361438592394959;0.02196878554576953;0.029183354143784906;0.01547827895568038
Arachidonic acid metabolism;41;0.9999994716175956;0.9999999688638506;0.9999997927332284;0.9999999890385077
Leukotriene metabolism;58;0.9999994716175956;0.9999999688638506;0.9999997927332284;0.9999999890385077
Prostaglandin biosynthesis;8;0.33438344097414796;0.9937192018443604;0.3680637015970287;0.9999999890385077
Bile acid biosynthesis;16;0.9999994716175956;0.9999999688638506;0.9999997927332284;0.9999999890385077
Fatty acid biosynthesis (even-chain);30;2.97786795222521e-10;0.41053945170161865;2.789135589154057e-10;0.49176264021014504
Fatty acid elongation (even-chain);21;0.07763646691378912;0.31169383272593515;0.09145650618186035;0.38091632038237344
Fatty acid desaturation (even-chain);13;0.9999994716175956;0.6528407111308605;0.9999997927332284;0.7158576081021938
Fatty acid biosynthesis (unsaturated);33;0.9999994716175956;0.09680532284138815;0.9999997927332284;0.1299062534490888
Carnitine shuttle (mitochondrial);21;0.4451953862951801;0.7286205092459906;0.4970028398710159;0.751418139072421
Carnitine shuttle (cytosolic);14;0.6558427294337145;0.9999999688638506;0.6929309773497149;0.9999999890385077
Beta oxidation of even-chain fatty acids (mitochondrial);28;0.47147082469419155;0.04122277471781658;0.5285453598334442;0.053199295252646356
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);19;0.9999994716175956;0.6528407111308605;0.9999997927332284;0.7158576081021938
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);19;0.9999994716175956;0.8767713607329032;0.9999997927332284;0.908610852398872
Alanine, aspartate and glutamate metabolism;13;0.9999994716175956;0.9188115260368671;0.9999997927332284;0.9553200575839703
Glycine, serine and threonine metabolism;18;0.33438344097414796;0.9937192018443604;0.3680637015970287;0.9999999890385077
Pyruvate metabolism;19;0.01361438592394959;0.41053945170161865;0.023575751290543512;0.48262334936097395
Glutathione metabolism;13;0.7775039497502397;0.9999999688638506;0.8184651325565973;0.9999999890385077
Pantothenate and CoA biosynthesis;12;0.9999994716175956;0.04122277471781658;0.9999997927332284;0.053199295252646356
Galactose metabolism;8;0.667261412220437;0.3429729918934035;0.6929309773497149;0.38091632038237344
Miscellaneous;19;0.3563873344131938;0.8767713607329032;0.3977954294797888;0.908610852398872
ROS detoxification;5;0.7775039497502397;0.8767713607329032;0.8100602584433092;0.908610852398872
Nucleotide metabolism;81;0.6558427294337145;0.1817074803708374;0.6761493816889768;0.16515755214126054
Porphyrin metabolism;8;0.33438344097414796;0.9937192018443604;0.3680637015970287;0.9999999890385077
Nicotinate and nicotinamide metabolism;10;0.7033493486786162;0.017358880183419023;0.7611444917129231;0.01999699676603628
Purine metabolism;64;0.12755686490758616;0.0006724384465127686;0.09145650618186035;0.0015795014611624802
Pentose phosphate pathway;19;0.7298736552749148;0.6528407111308605;0.787002435942983;0.7158576081021938
Vitamin B6 metabolism;7;0.008696656954082616;0.31169383272593515;0.011520282634056023;0.3650450768776681
Sulfur metabolism;4;0.06557201868838669;0.3576967283878923;0.07774684518779512;0.38091632038237344
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;33;0.9999994716175956;0.8767713607329032;0.9999997927332284;0.908610852398872
Amino sugar and nucleotide sugar metabolism;10;0.9999994716175956;0.9999999688638506;0.9999997927332284;0.9999999890385077
Glycolysis / Gluconeogenesis;27;0.6558427294337145;0.7286205092459906;0.6929309773497149;0.751418139072421
Cysteine and methionine metabolism;17;0.9999994716175956;0.9937192018443604;0.9999997927332284;0.9999999890385077
Fructose and mannose metabolism;8;0.9610121117045503;0.3429729918934035;0.9955313853292801;0.38091632038237344
Folate metabolism;24;0.005961413490456756;0.09804876512106875;0.0017158727586198683;0.053199295252646356
Arginine and proline metabolism;31;0.9999994716175956;0.9999999688638506;0.9999997927332284;0.9999999890385077
Biopterin metabolism;8;0.07763646691378912;0.3429729918934035;0.09145650618186035;0.38091632038237344
Pentose and glucuronate interconversions;7;0.9002158148730669;0.08171762225542517;0.9351821537689049;0.08910315292120163
Protein degradation;4;0.7298736552749148;0.08171762225542517;0.7862452623944962;0.08910315292120163
Histidine metabolism;3;0.6689088413654737;0.0;0.7183271615742582;0.0
Riboflavin metabolism;4;0.36521735426734536;0.08171762225542517;0.3977954294797888;0.08910315292120163
Inositol phosphate metabolism;34;0.7298736552749148;0.9937192018443604;0.787002435942983;0.9999999890385077
Retinol metabolism;11;0.7298736552749148;0.30361999624379593;0.7862452623944962;0.3595192052270014
Phenylalanine, tyrosine and tryptophan biosynthesis;9;0.3957487352897269;0.9937192018443604;0.4284094267953389;0.9999999890385077
Protein modification;3;0.022501732087564643;0.30093511084841773;0.029183354143784906;0.3333966839940317
Tyrosine metabolism;5;0.7775039497502397;0.14858488988724566;0.8100602584433092;0.16515755214126054
Eicosanoid metabolism;9;0.6689088413654737;0.17186124036246114;0.7183271615742582;0.19475605767536652
C5-branched dibasic acid metabolism;5;0.47147082469419155;0.4907428034941798;0.5020062404848574;0.5213786909777164
Isolated;8;0.667261412220437;0.3429729918934035;0.6929309773497149;0.38091632038237344
Xenobiotics metabolism;26;0.9999994716175956;0.9937192018443604;0.9999997927332284;0.9999999890385077
Valine, leucine, and isoleucine metabolism;14;0.9999994716175956;0.9999999688638506;0.9999997927332284;0.9999999890385077
Propanoate metabolism;4;0.7298736552749148;0.8577044216472185;0.7862452623944962;0.8788388810221908
Drug metabolism;14;0.9999994716175956;0.9999999688638506;0.9999997927332284;0.9999999890385077
Glycerolipid metabolism;68;0.9999994716175956;0.9999999688638506;0.9999997927332284;0.9999999890385077
Glycosphingolipid metabolism;7;0.9002158148730669;0.9885435701963698;0.9351821537689049;0.9999999890385077
