subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;875;5.5113683009366804e-06;0.04932337258802342;4.193062513291323e-06;0.04754053040700195
Drug metabolism;53;0.741158713064524;0.008549633294037049;0.7570850970071326;0.009349835682229949
Bile acid biosynthesis;70;0.9999994502164276;0.9658729901321053;0.9999995456123489;0.9843964665806665
Propanoate metabolism;10;0.48483967852143645;0.130927005568298;0.4805090926342784;0.14359485102162195
Starch and sucrose metabolism;10;0.9999994502164276;0.130927005568298;0.9999995456123489;0.14359485102162195
Sphingolipid metabolism;29;0.9999994502164276;0.8058052731659745;0.9999995456123489;0.8105875079086832
Glycerophospholipid metabolism;47;0.8384107125742883;0.9999992452227444;0.8536814067255338;0.9999994142010054
Oxidative phosphorylation;9;0.821925033258838;0.002036889587013017;0.8308079143901786;0.002240094407880052
Tyrosine metabolism;17;0.062172970476043296;0.570098256218586;0.0659486907934437;0.6045181510599991
Fatty acid biosynthesis;50;0.9999994502164276;0.830866083240378;0.9999995456123489;0.8127574515263033
Pyrimidine metabolism;49;0.062172970476043296;0.2919631359449363;0.02901096535465602;0.32076782636669576
Cholesterol metabolism;38;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Fatty acid oxidation;369;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Pentose phosphate pathway;25;0.8451617621422046;0.830866083240378;0.8536814067255338;0.8127574515263033
Acylglycerides metabolism;17;0.9999994502164276;0.570098256218586;0.9999995456123489;0.6045181510599991
Pool reactions;9;0.40225520669219833;0.9999992452227444;0.39787804510449515;0.9999994142010054
Acyl-CoA hydrolysis;61;0.0006162978059629065;0.130927005568298;0.0007319006868504729;0.1483154973327137
Fatty acid activation (cytosolic);60;0.45595810136211923;6.681507140153068e-07;0.46850354673475575;9.327746841591988e-07
Glycerolipid metabolism;67;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;36;0.5705677452200439;0.002036889587013017;0.3042838560546354;0.002240094407880052
Glycosphingolipid biosynthesis-ganglio series;9;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Exchange/demand reactions;204;3.4363130788343334e-05;1.0855182975832989e-05;4.9312201144235956e-05;1.824050892584861e-05
Steroid metabolism;13;0.9999994502164276;0.8848471657445222;0.9999995456123489;0.8835394709708073
Arachidonic acid metabolism;71;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Leukotriene metabolism;86;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Pyruvate metabolism;21;0.015456439542624462;0.16415117388482117;0.016747616634742387;0.17667160024526374
Bile acid recycling;11;1.6372343958348523e-07;0.9999992452227444;1.8530072021238908e-07;0.9999994142010054
Fatty acid biosynthesis (even-chain);29;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Fatty acid elongation (even-chain);21;0.9140280538780345;0.9999992452227444;0.9264702138633881;0.9999994142010054
Fatty acid desaturation (even-chain);13;0.9999994502164276;4.311613421981164e-05;0.9999995456123489;4.9775664034790164e-05
Carnitine shuttle (cytosolic);31;0.016465965146812242;0.0003770657851333385;0.018070737001097292;0.00045282338820188767
Carnitine shuttle (mitochondrial);56;0.00022477502240032213;1.9140663543026903e-07;0.00023538640917142306;2.6919279916270966e-07
Beta oxidation of even-chain fatty acids (mitochondrial);41;0.9999994502164276;2.693427703093221e-10;0.9999995456123489;0.0
Valine, leucine, and isoleucine metabolism;17;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Alanine, aspartate and glutamate metabolism;16;0.821925033258838;0.056439332666633445;0.8308079143901786;0.05745007869041874
Glycine, serine and threonine metabolism;18;0.2931671720169125;0.830866083240378;0.3042838560546354;0.8127574515263033
Glutathione metabolism;17;0.062172970476043296;0.017968612757806274;0.0659486907934437;0.004168753185293727
Glycolysis / Gluconeogenesis;30;0.0002312915208042554;0.570098256218586;0.00023547116633511794;0.6045181510599991
Folate metabolism;52;0.8865110215310362;0.807053405274115;0.913495468054806;0.8105875079086832
Galactose metabolism;12;0.8865110215310362;0.06251007927547386;0.908558604155558;0.06318115007693946
Miscellaneous;24;0.2993498718385991;0.807053405274115;0.3042838560546354;0.8105875079086832
ROS detoxification;7;0.9999994502164276;0.004391530196484438;0.9999995456123489;0.004325703803881491
Nucleotide metabolism;96;0.014647488279326666;0.8848471657445222;0.016747616634742387;0.8880985463955301
Porphyrin metabolism;11;0.8451617621422046;0.570098256218586;0.8536814067255338;0.6045181510599991
Nicotinate and nicotinamide metabolism;15;0.03617693585215531;0.9235279673548931;0.03645200250550033;0.8105875079086832
Purine metabolism;75;0.0005043991454154215;0.08188729536422562;0.00023538640917142306;0.04754150232644788
Biopterin metabolism;12;0.012692997273069521;0.012297959554663063;0.013555450416928815;0.012415310019019085
Fructose and mannose metabolism;11;0.00806787856681986;0.9999992452227444;0.008835989012093851;0.8127574515263033
Amino sugar and nucleotide sugar metabolism;13;0.016465965146812242;0.8848471657445222;0.018070737001097292;0.8835394709708073
Arginine and proline metabolism;32;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Pentose and glucuronate interconversions;8;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Protein degradation;6;0.9718195671270514;0.9235279673548931;0.9803076477234961;0.9119757417976306
Histidine metabolism;6;0.9718195671270514;0.9235279673548931;0.9803076477234961;0.9119757417976306
Vitamin E metabolism;23;0.9999994502164276;0.9235279673548931;0.9999995456123489;0.9119757417976306
Riboflavin metabolism;4;0.8451617621422046;0.830866083240378;0.8536814067255338;0.8127574515263033
Inositol phosphate metabolism;23;0.00806787856681986;0.9999992452227444;0.008835989012093851;0.9999994142010054
Retinol metabolism;14;0.7466868932671026;0.9999992452227444;0.7652287923258168;0.9999994142010054
Phenylalanine, tyrosine and tryptophan biosynthesis;39;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Keratan sulfate degradation;67;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
N-glycan metabolism;54;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Protein modification;3;0.0;0.807053405274115;0.0;0.8105875079086832
Isolated;9;0.821925033258838;0.002036889587013017;0.8308079143901786;0.002240094407880052
Xenobiotics metabolism;46;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Vitamin A metabolism;2;0.0;0.7339594773996886;0.0;0.7455352992285516
Eicosanoid metabolism;15;0.9999994502164276;0.45439334199328496;0.9999995456123489;0.4770896903660604
Heme synthesis;3;0.821925033258838;0.807053405274115;0.8308079143901786;0.8105875079086832
Glycosphingolipid metabolism;10;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Glycosphingolipid biosynthesis-globo series;3;0.821925033258838;0.807053405274115;0.8308079143901786;0.8105875079086832
Glycosphingolipid biosynthesis-lacto and neolacto series;5;0.9140280538780345;0.8848471657445222;0.9264702138633881;0.8835394709708073
Ether lipid metabolism;9;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Beta oxidation of poly-unsaturated fatty acids (mitochondrial);4;0.8451617621422046;0.830866083240378;0.8536814067255338;0.8127574515263033
Prostaglandin biosynthesis;20;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Butanoate metabolism;4;0.8451617621422046;0.830866083240378;0.8536814067255338;0.8127574515263033
Cholesterol biosynthesis 1 (Bloch pathway) ;28;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Cholesterol biosynthesis 2;4;0.8451617621422046;0.830866083240378;0.8536814067255338;0.8127574515263033
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);16;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Androgen metabolism;9;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Estrogen metabolism;53;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
Vitamin D metabolism;7;0.9999994502164276;0.9658729901321053;0.9999995456123489;0.964526498293617
Fatty acid biosynthesis (odd-chain);30;0.9999994502164276;0.9999992452227444;0.9999995456123489;0.9999994142010054
