subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Propanoate metabolism;12;0.9999998044668436;0.0021734994685386993;0.8360433809508356;0.0025945495928921336
Transport reactions;772;0.005689384689300395;1.632066779666541e-05;0.0026298916161821007;4.753648272422713e-06
Starch and sucrose metabolism;10;0.12041810237536714;0.3982778134838014;0.02832196193253659;0.435774417651522
Sphingolipid metabolism;37;0.9975804974611231;0.9128606783290294;0.9970269275540535;0.9162375617200673
Cholesterol metabolism;43;0.7807494531724348;0.995102446694405;0.8095381575442945;0.9966718608796058
Fatty acid oxidation;279;0.27524450187786426;0.9576917960869092;0.2938284889752751;0.9162375617200673
Oxidative phosphorylation;9;0.0838548321816583;0.9999999338993741;0.09094115664774893;0.9999999594680008
Fatty acid biosynthesis;42;0.1911798315773783;0.9709203325957718;0.10861425530700777;0.9875028979204605
Tyrosine metabolism;15;0.03401886864306927;0.15320083195870268;0.03853753664608849;0.16178462707024144
Pyrimidine metabolism;47;0.01346209731608393;0.22644193760806436;0.01721539331045896;0.13017680455618957
Pentose phosphate pathway;25;0.2577416683223314;0.04267687684742448;0.29099213207041813;0.049191890955272696
Acylglycerides metabolism;13;0.8483722505160517;0.9999999338993741;0.8669409168666606;0.6772571096604882
Pool reactions;10;0.7346129753006131;0.9999999338993741;0.7774319156988769;0.9999999594680008
Acyl-CoA hydrolysis;62;0.005163702283819393;0.006195555992013305;0.0069996111288258556;0.003069435277670035
Fatty acid activation (cytosolic);60;0.001463419679803124;0.0045522150906815995;0.0006992517325775289;0.005621245905574408
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;31;0.6977066695839503;0.9999999338993741;0.7753554904026769;0.9999999594680008
Exchange/demand reactions;179;0.001463419679803124;0.00020680227328206957;0.0001097887937872577;0.0004088589912873086
Arachidonic acid metabolism;71;0.9999998044668436;0.9999999338993741;0.9999999001559265;0.9999999594680008
Leukotriene metabolism;83;0.9999998044668436;0.9999999338993741;0.9999999001559265;0.9999999594680008
Pyruvate metabolism;22;0.9989545411566981;0.3982778134838014;0.9970269275540535;0.435774417651522
Bile acid biosynthesis;32;0.9999998044668436;0.9999999338993741;0.9970269275540535;0.9999999594680008
Bile acid recycling;4;0.2833803927020431;0.04267687684742448;0.2938284889752751;0.049191890955272696
Fatty acid biosynthesis (even-chain);30;8.900029729652648e-05;1.5348258037839457e-06;0.0001097887937872577;2.283512123113507e-06
Fatty acid elongation (even-chain);21;0.01346209731608393;0.6644664717665986;0.01721539331045896;0.6922589145297724
Fatty acid desaturation (even-chain);11;0.9989545411566981;0.04267687684742448;0.9970269275540535;0.049191890955272696
Fatty acid biosynthesis (unsaturated);33;0.8873533553810978;0.9709203325957718;0.9156799872556286;0.9875028979204605
Omega-6 fatty acid metabolism;31;0.01346209731608393;0.9999999338993741;0.01721539331045896;0.9999999594680008
Omega-3 fatty acid metabolism;41;0.5874132009590631;0.9999999338993741;0.6621153265725095;0.9999999594680008
Carnitine shuttle (mitochondrial);79;0.9989545411566981;0.9999999338993741;0.9970269275540535;0.9999999594680008
Carnitine shuttle (cytosolic);56;0.8362754785530966;0.9999999338993741;0.8669409168666606;0.9999999594680008
Beta oxidation of even-chain fatty acids (mitochondrial);56;0.33001226857528;0.000643134388638463;0.4074554479894717;0.0009336470086104091
Valine, leucine, and isoleucine metabolism;16;0.9999998044668436;0.7625390283089561;0.9999999001559265;0.7504357229103163
Alanine, aspartate and glutamate metabolism;18;0.08148459330108246;0.8239091402867618;0.09094115664774893;0.8308798638522196
Arginine and proline metabolism;32;0.9989545411566981;0.9576917960869092;0.9970269275540535;0.959687795581641
Glycine, serine and threonine metabolism;18;0.9975804974611231;0.9999999338993741;0.9970269275540535;0.9999999594680008
Glutathione metabolism;17;0.4360545489510429;0.22644193760806436;0.488270296519357;0.24708490428040567
Cysteine and methionine metabolism;22;0.9999998044668436;0.3982778134838014;0.9999999001559265;0.435774417651522
Glycolysis / Gluconeogenesis;28;0.07382995758901136;0.009015582858043191;0.08700600030604314;0.011215535164640866
Folate metabolism;52;0.7830045861435895;0.7355695644026116;0.8095381575442945;0.7504357229103163
Galactose metabolism;10;0.9989545411566981;0.3982778134838014;0.9970269275540535;0.435774417651522
Miscellaneous;25;0.7346129753006131;0.2948661541102066;0.7774319156988769;0.3290992682430534
ROS detoxification;8;0.6282089416643264;0.27918308146633;0.6684737310515299;0.29923776864503593
Nucleotide metabolism;95;0.001463419679803124;0.00015021384182106745;0.0026298916161821007;0.00025352763560326785
Porphyrin metabolism;10;0.9989545411566981;0.9999999338993741;0.9970269275540535;0.9999999594680008
Nicotinate and nicotinamide metabolism;12;0.5389143268622694;0.8922293521005349;0.5894432015491177;0.8912651487129711
Purine metabolism;72;0.1324473048936739;0.0493872513391666;0.16370539816071483;0.06405618319014947
Biopterin metabolism;12;0.01346209731608393;0.2264600433949963;0.01721539331045896;0.24724590575453814
Sulfur metabolism;4;0.7830045861435895;0.04267687684742448;0.8095381575442945;0.049191890955272696
Fructose and mannose metabolism;14;0.27524450187786426;0.3217713611437199;0.2938284889752751;0.3496652602687911
Amino sugar and nucleotide sugar metabolism;14;0.882248475287118;0.9999999338993741;0.9099079014566908;0.9999999594680008
