subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;857;5.227250654159397e-05;0.00666347149027706;1.3439395543657362e-06;0.0021057325381814073
Starch and sucrose metabolism;10;0.740239082781642;2.0454461425956083e-05;0.7386942799835047;3.876341893782609e-05
Fatty acid oxidation;244;0.9999999999986782;0.19743617945601985;0.9999999999996091;0.0959777885163074
Oxidative phosphorylation;10;0.740239082781642;0.09819873731075594;0.7386942799835047;0.10961915814582518
Fatty acid biosynthesis;33;0.740239082781642;0.9282595978092495;0.7386942799835047;0.9608344169797766
Sphingolipid metabolism;28;0.00038393915345049653;0.9999999999522193;0.000622200642549231;0.9999999999834033
Acylglycerides metabolism;21;0.9999999999986782;0.00224800387610119;0.9999999999996091;0.002598759482601531
Pool reactions;12;0.9999999999986782;0.9999999999522193;0.9999999999996091;0.9999999999834033
Fatty acid activation (cytosolic);68;0.4102764773089793;2.2740751504102263e-09;0.4911763518789337;1.377467917507147e-09
Glycerolipid metabolism;74;0.9999999999986782;0.9999999999522193;0.9999999999996091;0.9999999999834033
Glycerophospholipid metabolism;65;0.0074438809310904295;0.9999999999522193;0.012149045767307104;0.9999999999834033
Inositol phosphate metabolism;56;0.18783189020040197;0.3385605521061432;0.1379518363643101;0.4238405247316503
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;34;0.9999999999986782;0.0020619072918575754;0.9999999999996091;0.002546971390955684
Glycosphingolipid biosynthesis-globo series;4;0.9732644848279011;0.00666347149027706;0.9999999999996091;0.00816756574879333
Arachidonic acid metabolism;71;0.9999999999986782;0.9999999999522193;0.9999999999996091;0.9999999999834033
Steroid metabolism;14;0.9670792166097161;0.9999999999522193;0.9999999999996091;0.9999999999834033
Leukotriene metabolism;71;0.9999999999986782;0.9999999999522193;0.9999999999996091;0.9999999999834033
Prostaglandin biosynthesis;24;0.9999999999986782;0.6863981961206466;0.9999999999996091;0.7809733554181036
Bile acid biosynthesis;84;0.049230559710233886;0.0031611904027406545;0.07673196605880317;0.002546971390955684
Fatty acid elongation (even-chain);21;2.5797529787374707e-06;0.5615324396725647;3.939091750165207e-06;0.6123568503349044
Fatty acid elongation (odd-chain);13;4.896262189341931e-09;0.9999999999522193;8.292376880396951e-09;0.9999999999834033
Fatty acid desaturation (even-chain);13;4.896262189341931e-09;0.9999999999522193;8.292376880396951e-09;0.9999999999834033
Fatty acid biosynthesis (unsaturated);33;0.0;0.9999999999522193;1.04460795569139e-10;0.9999999999834033
Omega-6 fatty acid metabolism;33;0.0008560883383143351;0.9999999999522193;0.0013191777298805923;0.9999999999834033
Omega-3 fatty acid metabolism;56;0.005497026112938563;0.6943594486849141;0.0033951475982736718;0.8238686227473381
Carnitine shuttle (mitochondrial);31;0.9999999999986782;0.00014242653432106067;0.9999999999996091;0.00024223194100878585
Carnitine shuttle (cytosolic);12;0.9999999999986782;0.19743617945601985;0.9999999999996091;0.21959181355005652
Beta oxidation of even-chain fatty acids (mitochondrial);19;0.9999999999986782;0.0034503813365862166;0.9999999999996091;0.004387839398948975
Alanine, aspartate and glutamate metabolism;17;0.9999999999986782;0.25898658061562635;0.9999999999996091;0.2926578158844682
Arginine and proline metabolism;28;0.9999999999986782;0.07522081060012167;0.9999999999996091;0.0959777885163074
Glycine, serine and threonine metabolism;19;0.9999999999986782;0.38914587441664145;0.9999999999996091;0.43631799405394356
Pyruvate metabolism;24;0.11807419755994329;0.00666347149027706;0.1324325084309882;0.008617391440984577
Glutathione metabolism;17;0.01089165872007794;0.7770961033793597;0.013701212679251416;0.8463637488952861
Galactose metabolism;9;0.6915652807234319;0.9282595978092495;0.7123990852613291;0.9608344169797766
Miscellaneous;24;0.012642878481998252;0.883038090341728;0.0013191777298805923;0.9411413161903385
ROS detoxification;8;0.5603334107834083;0.5697534045449585;0.5788459445187114;0.6123568503349044
Nucleotide metabolism;99;0.3552259823213646;1.4347934063074774e-06;0.4669395157003593;4.440039919728633e-06
Pyrimidine metabolism;46;0.7521315033523843;0.0009323200404400822;0.7386942799835047;0.00043315206709711634
Porphyrin metabolism;5;0.9999999999986782;0.19743617945601985;0.9999999999996091;0.21959181355005652
Purine metabolism;71;0.1405542556855736;2.0454461425956083e-05;0.1201133354495459;4.503128590416239e-05
Pentose phosphate pathway;23;0.4102764773089793;0.8137470344707586;0.4669395157003593;0.8956543004186118
Fatty acid biosynthesis (even-chain);2;0.740239082781642;0.7770961033793597;0.7386942799835047;0.8238686227473381
Nicotinate and nicotinamide metabolism;21;0.573123862043819;0.006873612314545513;0.6194266692907731;0.00948429538612859
Fructose and mannose metabolism;10;0.11840710091649205;0.9999999999522193;0.1324325084309882;0.9999999999834033
Amino sugar and nucleotide sugar metabolism;17;0.30830366752850796;0.5697534045449585;0.3487391815294313;0.6235806910251904
Glycolysis / Gluconeogenesis;33;0.0008560883383143351;0.6311141405068399;0.0013191777298805923;0.7090899294203035
Folate metabolism;28;0.9999999999986782;0.9999999999522193;0.9999999999996091;0.9999999999834033
Biopterin metabolism;22;0.16515445147121163;0.9999999999522193;0.18928060960382576;0.9999999999834033
Pentose and glucuronate interconversions;10;0.3552259823213646;0.9282595978092495;0.39909165432877625;0.9608344169797766
Protein degradation;8;0.5603334107834083;0.9999999999522193;0.5788459445187114;0.9999999999834033
Histidine metabolism;10;0.740239082781642;0.9282595978092495;0.7386942799835047;0.9608344169797766
