subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Propanoate metabolism;11;0.9589631165146769;0.8164896409612875;0.9825688238743087;0.8400777969105909
Starch and sucrose metabolism;10;0.09580800414145053;0.5690921087895608;0.10072197526349068;0.5866802675255269
Sphingolipid metabolism;31;0.890811708353651;0.9997053160861806;0.7600883134308494;0.8488501561637196
Transport reactions;796;5.14666067763514e-07;3.597602216132145e-10;2.982500209303129e-07;3.99127397798793e-11
Tyrosine metabolism;17;0.13186291027809222;0.019145648770698256;0.15027257827732188;0.023828856174060418
Fatty acid biosynthesis;49;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
Cholesterol metabolism;38;0.9986947990593814;0.8164896409612875;0.9990240250849385;0.8400777969105909
Fatty acid oxidation;317;0.8723608433450836;0.9997053160861806;0.7600883134308494;0.9997859580724913
Pentose phosphate pathway;22;0.9357785954054597;0.23805527449948585;0.9671152407192746;0.2798861749037045
Acylglycerides metabolism;12;0.7744382075490834;0.8164896409612875;0.7600883134308494;0.8400777969105909
Pool reactions;9;0.06889841789312279;0.9997053160861806;0.08586928077736475;0.9997859580724913
Acyl-CoA hydrolysis;61;0.00022715370320475214;2.0299745477236897e-05;0.0003922321258806871;6.026619381288566e-06
Fatty acid activation (cytosolic);60;0.06889841789312279;0.0;0.08586928077736475;0.0
Glycerolipid metabolism;67;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
Glycerophospholipid metabolism;48;0.8455518058682407;0.7381229025906879;0.8624784828126238;0.7672587843709051
Exchange/demand reactions;143;1.0313405564565947e-06;0.000651952183290283;2.982500209303129e-07;0.0001992090019374615
Steroid metabolism;15;0.681936878099468;0.9997053160861806;0.685349090071146;0.9997859580724913
Arachidonic acid metabolism;71;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
Leukotriene metabolism;78;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
Pyruvate metabolism;21;0.7744382075490834;0.0029902198569305982;0.7600883134308494;0.003971670123059712
Bile acid biosynthesis;24;0.9986947990593814;0.8965634352229095;0.9990240250849385;0.9147230401184698
Fatty acid biosynthesis (even-chain);30;0.13186291027809222;0.8164896409612875;0.15027257827732188;0.8400777969105909
Fatty acid elongation (even-chain);21;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
Fatty acid desaturation (even-chain);13;0.9986947990593814;0.7381229025906879;0.9990240250849385;0.7672587843709051
Valine, leucine, and isoleucine metabolism;8;0.890811708353651;0.40784341390280043;0.9004104858855244;0.4478616674629501
Alanine, aspartate and glutamate metabolism;12;0.9941997705097712;0.08400575071882024;0.9990240250849385;0.0983655484825388
Glycine, serine and threonine metabolism;13;0.5893440633737933;0.9997053160861806;0.6169917004486287;0.9997859580724913
Glutathione metabolism;14;0.7744382075490834;0.4543870070133196;0.7600883134308494;0.4746783417286269
Pantothenate and CoA biosynthesis;5;0.40097039361940484;0.5976558968754773;0.4557836914046479;0.6038941256705971
Glycolysis / Gluconeogenesis;33;0.18869298545368218;0.7381229025906879;0.21534327929657518;0.7672587843709051
Galactose metabolism;9;0.9067109002724617;0.4891282202573319;0.7475779506175503;0.5020308190626448
Miscellaneous;24;0.7744382075490834;0.9997053160861806;0.7600883134308494;0.9997859580724913
ROS detoxification;7;0.8723608433450836;0.9289908468114494;0.8718505094293909;0.9389338811330673
Nucleotide metabolism;86;6.688898071567362e-05;0.10919435678042466;0.0001325024412818454;0.14016188208941416
Pyrimidine metabolism;42;0.9986947990593814;0.7381229025906879;0.9990240250849385;0.7672587843709051
Oxidative phosphorylation;8;0.890811708353651;0.7381229025906879;0.9004104858855244;0.7811262449232405
Amino sugar and nucleotide sugar metabolism;14;0.7744382075490834;0.9997053160861806;0.7600883134308494;0.9997859580724913
Porphyrin metabolism;4;0.7744382075490834;0.8164896409612875;0.7600883134308494;0.8400777969105909
Purine metabolism;66;0.8943677745496973;0.7381229025906879;0.9316501534925958;0.4723609666282145
Vitamin B6 metabolism;7;0.16471250555175798;0.9289908468114494;0.17093294496733438;0.9389338811330673
Sulfur metabolism;3;0.7744382075490834;0.8120929560980588;0.7600883134308494;0.8400777969105909
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;37;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
Nicotinate and nicotinamide metabolism;13;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
Fructose and mannose metabolism;13;0.7744382075490834;0.9997053160861806;0.6169917004486287;0.9997859580724913
Arginine and proline metabolism;23;0.7744382075490834;0.9997053160861806;0.7600883134308494;0.9997859580724913
Folate metabolism;25;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
Biopterin metabolism;9;0.9067109002724617;0.12320465346071031;0.9316501534925958;0.14016188208941416
Histidine metabolism;6;0.8455518058682407;0.9022237578439187;0.8442568447022731;0.9147230401184698
Inositol phosphate metabolism;49;0.40097039361940484;0.529562386437215;0.4692508276204683;0.5866802675255269
Phenylalanine, tyrosine and tryptophan biosynthesis;47;0.9986947990593814;0.8164896409612875;0.9990240250849385;0.8400777969105909
Protein modification;3;0.0;0.8120929560980588;0.0;0.8400777969105909
C5-branched dibasic acid metabolism;5;0.7744382075490834;0.00040273798999884697;0.7600883134308494;0.0
Isolated;9;0.008179046075215326;0.8120929560980588;0.009912469435896314;0.8400777969105909
Xenobiotics metabolism;41;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
Eicosanoid metabolism;10;0.40097039361940484;0.8120929560980588;0.41670525557480176;0.8400777969105909
Drug metabolism;14;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
N-glycan metabolism;52;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
Glycosphingolipid metabolism;10;0.9425802479919907;0.9997053160861806;0.9671152407192746;0.9997859580724913
Glycosphingolipid biosynthesis-globo series;3;0.7744382075490834;0.8120929560980588;0.7600883134308494;0.8400777969105909
Glycosphingolipid biosynthesis-ganglio series;5;0.7744382075490834;0.8164896409612875;0.7600883134308494;0.8400777969105909
Glycosphingolipid biosynthesis-lacto and neolacto series;7;0.8723608433450836;0.9289908468114494;0.8718505094293909;0.9389338811330673
Ether lipid metabolism;8;0.890811708353651;0.9827865023230543;0.9004104858855244;0.9921146971255638
Beta oxidation of poly-unsaturated fatty acids (mitochondrial);4;0.7744382075490834;0.8164896409612875;0.7600883134308494;0.8400777969105909
Prostaglandin biosynthesis;16;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
Butanoate metabolism;5;0.7744382075490834;0.8164896409612875;0.7600883134308494;0.8400777969105909
Cholesterol biosynthesis 1 (Bloch pathway) ;28;0.9986947990593814;0.9997053160861806;0.9990240250849385;0.9997859580724913
