subsystem;A549;293T;CALU;Lung;NHBE
Protein degradation;0;0;1;1;-1
Cholesterol metabolism;0;1;0;0;1
Heme degradation;-1;1;1;0;1
Metabolism of other amino acids;0;1;1;-1;0
Beta oxidation of odd-chain fatty acids (mitochondrial);-1;0;0;0;0
Omega-6 fatty acid metabolism;0;0;0;-1;0
Omega-3 fatty acid metabolism;1;0;0;0;0
Pentose and glucuronate interconversions;0;-1;-1;0;-1
Arachidonic acid metabolism;0;0;1;-1;0
Exchange/demand reactions;0;0;0;-1;0
Transport reactions;1;0;0;0;0
Propanoate metabolism;0;-1;0;0;0
Fatty acid desaturation (odd-chain);0;1;0;0;0
Steroid metabolism;0;0;0;0;-1
Fatty acid oxidation;0;0;0;0;-1
Beta oxidation of even-chain fatty acids (mitochondrial);0;0;0;1;1
Vitamin B6 metabolism;0;0;1;0;0
Fatty acid activation (endoplasmic reticular);-1;0;0;1;0
Isolated;0;0;0;1;0
Acylglycerides metabolism;0;-1;0;0;-1
Glycine, serine and threonine metabolism;0;0;-1;0;0
Nucleotide metabolism;0;0;0;-1;0
Arginine and proline metabolism;0;0;1;0;0
Phenylalanine metabolism;-1;0;0;-1;0
Keratan sulfate degradation;-1;0;0;0;0
Leukotriene metabolism;-1;0;1;-1;0
Carnitine shuttle (mitochondrial);0;0;0;-1;-1
Terpenoid backbone biosynthesis;0;0;0;1;0
Glycerophospholipid metabolism;0;-1;0;0;0
Dietary fiber binding;0;0;-1;0;1
Carnitine shuttle (endoplasmic reticular);0;0;0;-1;0
Fatty acid biosynthesis (odd-chain);1;0;-1;0;0
Glycosphingolipid biosynthesis-lacto and neolacto series;0;0;0;1;1
Formation and hydrolysis of cholesterol esters;-1;1;1;1;0
Aminoacyl-tRNA biosynthesis;-1;0;0;-1;0
Chondroitin sulfate degradation;1;0;0;0;0
Glycosphingolipid biosynthesis-globo series;0;-1;-1;0;1
Cholesterol biosynthesis 1 (Bloch pathway) ;0;1;0;1;0
Bile acid recycling;0;0;-1;1;0
Beta oxidation of even-chain fatty acids (peroxisomal);0;0;1;0;0
Thiamine metabolism;0;0;0;-1;0
Acyl-CoA hydrolysis;-1;1;-1;1;-1
Drug metabolism;0;0;0;-1;-1
Glycosphingolipid biosynthesis-ganglio series;0;0;0;-1;0
Xenobiotics metabolism;-1;0;0;0;0
Estrogen metabolism;-1;0;0;0;0
Serotonin and melatonin biosynthesis;0;0;-1;0;0
Vitamin C metabolism;0;0;1;-1;0
Glucocorticoid biosynthesis;0;0;0;1;1
Hippurate metabolism;0;0;-1;0;0
Bile acid biosynthesis;0;0;0;0;-1
Prostaglandin biosynthesis;0;0;0;-1;-1
Ascorbate and aldarate metabolism;0;0;0;1;0
Histidine metabolism;-1;0;0;0;0
Phenylalanine, tyrosine and tryptophan biosynthesis;-1;0;0;-1;0
Glycerolipid metabolism;0;0;0;-1;0
Fatty acid biosynthesis (even-chain);1;0;-1;1;0
Sulfur metabolism;0;0;1;0;0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);-1;0;-1;1;0
Glutathione metabolism;0;0;0;1;0
Oxidative phosphorylation;1;0;0;0;0
Carnitine shuttle (cytosolic);0;0;0;-1;0
Miscellaneous;0;1;0;0;0
Phosphatidylinositol phosphate metabolism;0;0;0;0;1
Ether lipid metabolism;1;0;-1;0;1
Ubiquinone synthesis;0;0;1;0;0
Lipoic acid metabolism;0;0;0;0;-1
Urea cycle;-1;0;0;0;0
