pair,MEM1,MEM2,infection1,infection2,dataset1,dataset2,Jaccard
"('Gimme_model_H_293T_alt', 'Gimme_model_H_A549_alt')",GIMME,GIMME,healthy,healthy,293T,A549,0.8222165863555668
"('Gimme_model_H_293T_alt', 'Gimme_model_H_CALU_alt')",GIMME,GIMME,healthy,healthy,293T,Calu-3,0.8389201637666326
"('Gimme_model_H_293T_alt', 'Gimme_model_H_Lung_alt')",GIMME,GIMME,healthy,healthy,293T,Lung,0.8448874598070739
"('Gimme_model_H_293T_alt', 'Gimme_model_H_NHBE_alt')",GIMME,GIMME,healthy,healthy,293T,HBE,0.8778955634079308
"('Gimme_model_H_293T_alt', 'Gimme_model_I_293T_alt')",GIMME,GIMME,healthy,infected,293T,293T,0.9385206532180596
"('Gimme_model_H_293T_alt', 'Gimme_model_I_A549_alt')",GIMME,GIMME,healthy,infected,293T,A549,0.8116957574213276
"('Gimme_model_H_293T_alt', 'Gimme_model_I_CALU_alt')",GIMME,GIMME,healthy,infected,293T,Calu-3,0.7922844935913547
"('Gimme_model_H_293T_alt', 'Gimme_model_I_Lung_alt')",GIMME,GIMME,healthy,infected,293T,Lung,0.7999493221842139
"('Gimme_model_H_293T_alt', 'Gimme_model_I_NHBE_alt')",GIMME,GIMME,healthy,infected,293T,HBE,0.8580392156862745
"('Gimme_model_H_293T_alt', 'IMAT_model_H_293T_alt')",GIMME,iMAT,healthy,healthy,293T,293T,0.3591138232953038
"('Gimme_model_H_293T_alt', 'IMAT_model_H_A549_alt')",GIMME,iMAT,healthy,healthy,293T,A549,0.29160848038593373
"('Gimme_model_H_293T_alt', 'IMAT_model_H_CALU_alt')",GIMME,iMAT,healthy,healthy,293T,Calu-3,0.2907020872865275
"('Gimme_model_H_293T_alt', 'IMAT_model_H_Lung_alt')",GIMME,iMAT,healthy,healthy,293T,Lung,0.3152033152033152
"('Gimme_model_H_293T_alt', 'IMAT_model_H_NHBE_alt')",GIMME,iMAT,healthy,healthy,293T,HBE,0.3235677083333333
"('Gimme_model_H_293T_alt', 'iMAT_model_I_293T_alt')",GIMME,iMAT,healthy,infected,293T,293T,0.30676672273256567
"('Gimme_model_H_293T_alt', 'iMAT_model_I_A549_alt')",GIMME,iMAT,healthy,infected,293T,A549,0.2907080208465743
"('Gimme_model_H_293T_alt', 'iMAT_model_I_CALU_alt')",GIMME,iMAT,healthy,infected,293T,Calu-3,0.2820022927015667
"('Gimme_model_H_293T_alt', 'iMAT_model_I_Lung_alt')",GIMME,iMAT,healthy,infected,293T,Lung,0.3109933106146662
"('Gimme_model_H_293T_alt', 'IMAT_model_I_NHBE_alt')",GIMME,iMAT,healthy,infected,293T,HBE,0.3135317821396074
"('Gimme_model_H_293T_alt', 'INIT_model_H_293T_alt')",GIMME,INIT,healthy,healthy,293T,293T,0.24686655197837307
"('Gimme_model_H_293T_alt', 'INIT_model_H_A549_alt')",GIMME,INIT,healthy,healthy,293T,A549,0.26579797047970477
"('Gimme_model_H_293T_alt', 'INIT_model_H_CALU_alt')",GIMME,INIT,healthy,healthy,293T,Calu-3,0.249941792782305
"('Gimme_model_H_293T_alt', 'INIT_model_H_Lung_alt')",GIMME,INIT,healthy,healthy,293T,Lung,0.24109382839939789
"('Gimme_model_H_293T_alt', 'INIT_model_H_NHBE')",GIMME,INIT,healthy,healthy,293T,HBE,0.24813567476545587
"('Gimme_model_H_293T_alt', 'INIT_model_I_293T_alt')",GIMME,INIT,healthy,infected,293T,293T,0.24520582971107133
