model,MEM,infection,dataset,size
Gimme_293T_sample_H,GIMME,healthy,293T,3021.0
Gimme_293T_sample_I,GIMME,infected,293T,2632.0
Gimme_A549_sample_H,GIMME,healthy,A549,3090.0
Gimme_A549_sample_I,GIMME,infected,A549,2564.0
Gimme_CALU_sample_H,GIMME,healthy,Calu-3,3069.0
Gimme_CALU_sample_I,GIMME,infected,Calu-3,2322.0
Gimme_Lung_sample_H,GIMME,healthy,Lung,3028.0
Gimme_Lung_sample_I,GIMME,infected,Lung,2304.0
Gimme_NHBE_sample_H,GIMME,healthy,HBE,2977.0
Gimme_NHBE_sample_I,GIMME,infected,HBE,2549.0
iMAT_293T_sample_H,iMAT,healthy,293T,2986.0
iMAT_293T_sample_I,iMAT,infected,293T,2838.0
iMAT_A549_sample_H,iMAT,healthy,A549,2895.0
iMAT_A549_sample_I,iMAT,infected,A549,2859.0
iMAT_CALU_sample_H,iMAT,healthy,Calu-3,2944.0
iMAT_CALU_sample_I,iMAT,infected,Calu-3,2800.0
iMAT_Lung_sample_H,iMAT,healthy,Lung,2881.0
iMAT_Lung_sample_I,iMAT,infected,Lung,3099.0
iMAT_NHBE_sample_H,iMAT,healthy,HBE,2911.0
iMAT_NHBE_sample_I,iMAT,infected,HBE,2850.0
init_293T_sample_H,INIT,healthy,293T,1411.0
init_293T_sample_I,INIT,infected,293T,1105.0
init_A549_sample_H,INIT,healthy,A549,1537.0
init_A549_sample_I,INIT,infected,A549,1374.0
init_CALU_sample_H,INIT,healthy,Calu-3,1441.0
init_CALU_sample_I,INIT,infected,Calu-3,1330.0
init_Lung_sample_H,INIT,healthy,Lung,1183.0
init_Lung_sample_I,INIT,infected,Lung,1222.0
init_NHBE_sample_H,INIT,healthy,HBE,1124.0
init_NHBE_sample_I,INIT,infected,HBE,1143.0
Tinit_293T_sample_H,tINIT,healthy,293T,2279.0
Tinit_293T_sample_I,tINIT,infected,293T,1700.0
Tinit_A549_sample_H,tINIT,healthy,A549,2523.0
Tinit_A549_sample_I,tINIT,infected,A549,2082.0
Tinit_CALU_sample_H,tINIT,healthy,Calu-3,2449.0
Tinit_CALU_sample_I,tINIT,infected,Calu-3,1801.0
Tinit_Lung_sample_H,tINIT,healthy,Lung,1881.0
Tinit_Lung_sample_I,tINIT,infected,Lung,1573.0
Tinit_NHBE_sample_H,tINIT,healthy,HBE,2221.0
Tinit_NHBE_sample_I,tINIT,infected,HBE,1759.0
