reaction,FC,p,q,enrichment
10FTHFtm,29.651115000656304,2.241395856444909e-79,5.587780712887615e-79,1
12HARACHDte,0.0,1.0,1.0,0
12HARACHDtr,0.0,1.0,1.0,0
12HPETATP,10.997694828100183,2.6733739150999497e-208,7.492022516875033e-208,1
12HPETUPKt,246.53725764048832,0.0,0.0,1
12HTACRitr,0.0,1.0,1.0,0
12HTACRtep,844.5447149800018,6e-323,1.83e-322,1
12HTACRtu,-955.1377487231216,0.0,0.0,-1
12PPDRte,97.04873057535352,3.195230307190976e-60,7.839710430698722e-60,1
1331TAALThr,99.73079119290013,1.466775696490559e-241,4.2142349798302436e-241,1
1331TACRhr,22.497858520571164,5.377440938225677e-182,1.4769227616399864e-181,1
1331TACRteb,47.25211083680745,3.8418978228628457e-147,1.0239444051286205e-146,1
1331TACRtev,428.3365276851195,0.0,0.0,1
13DMThr,252.09412989346265,5.448236910092651e-70,1.3467302897761225e-69,1
13DMTitr,-797.2574918930429,0.0,0.0,-1
13DMTtep,952.7531706102773,3.2561e-319,1.000567e-318,1
13DMTtu,-953.2277989383539,0.0,0.0,-1
13HTACRitr,-796.0963200126638,0.0,0.0,-1
13_CIS_RETNte,176.07661026273217,0.0,0.0,1
14HMDZitr,0.0,1.0,1.0,0
14MDZtev,0.0,1.0,1.0,0
1513DTACRhr,190.02616162177802,0.0,0.0,1
1513DTALThr,-222.7860388956802,8.139458256557726e-42,1.9659797816104321e-41,-1
1513TACRitr,231.11460844754112,0.0,0.0,1
1513TACRtep,477.7692804262256,0.0,0.0,1
1513TACRtu,-539.5552508725399,0.0,0.0,-1
1531TACRhr,-539.2675767491381,1.365877897648076e-276,4.020985720488402e-276,-1
1531TACRitr,-784.5886599852554,0.0,0.0,-1
1531TACRteb,13.636428669804534,7.36187635803724e-24,1.742382421382913e-23,1
1531TACRtev,818.0898768165927,0.0,0.0,1
1531TALThr,5.575274951233594,2.56781496791256e-238,7.363156408186546e-238,1
15DMThr,94.18722927658183,0.0,0.0,1
15DMTitr,55.73714519392272,9.607060029138016e-180,2.633634651596782e-179,1
15DMTtep,68.78720120154621,0.0,0.0,1
15DMTtu,42.67276122862703,0.0,0.0,1
15HPETATP,12.676792009030288,0.0,0.0,1
15HPETUPKt,12.676792008809931,0.0,0.0,1
15KPROSTGF2t,-42.673270237626994,0.0,0.0,-1
18HARACHDte,0.0,1.0,1.0,0
18HARACHDtr,0.0,1.0,1.0,0
1A25DHVITD3t2e,0.0,1.0,1.0,0
1A25HVITD2t,0.0,1.0,1.0,0
