reaction,FC,p,q,enrichment
10FTHFtm,0.7803824970054382,0.0,0.0,0
12DHCHOLabc,0.0,1.0,1.0,0
12HARACHDte,0.0,1.0,1.0,0
12HARACHDtr,0.0,1.0,1.0,0
12HPETATP,0.765128887077977,0.0,0.0,0
12HPETUPKt,-1.492586614688307,0.0,0.0,-1
12HTACRitr,0.0,1.0,1.0,0
12HTACRtep,1.5789070824491238,0.0,0.0,1
12HTACRtu,-0.27950234719918277,5.368503601575849e-87,1.3758324741850735e-86,0
12PPDRte,-0.36507423068255335,1.2110195357376333e-203,3.419956719916433e-203,0
1331TAALThr,0.06137911509039121,1.6022936229377296e-44,3.941361018475455e-44,0
1331TACRhr,0.7656469152233507,0.0,0.0,0
1331TACRteb,0.13657045815514787,1.475594015696813e-309,4.40802705960106e-309,0
1331TACRtev,-3.4905631586089796,0.0,0.0,-1
13DMThr,0.9225828389102922,0.0,0.0,1
13DMTitr,1.145622728506871,0.0,0.0,1
13DMTtep,-37.03660486815264,0.0,0.0,-1
13DMTtu,-1.0000168526705902,0.0,0.0,-1
13HTACRitr,0.15371424563036845,0.0,0.0,0
13_CIS_RETNte,1.6859743922099892,0.0,0.0,1
14HMDZitr,0.0,1.0,1.0,0
14MDZtev,0.0,1.0,1.0,0
1513DTACRhr,1.8494589035272195,0.0,0.0,1
1513DTALThr,-0.32616215035162915,0.0,0.0,0
1513TACRitr,2.6817852610691895,9.573740017762756e-254,2.785713648938476e-253,1
1513TACRtep,-2.023398093922138,0.0,0.0,-1
1513TACRtu,0.49421811901649415,0.0,0.0,0
1531TACRhr,0.3782771006353009,2.926523801584469e-154,7.938440959919748e-154,0
1531TACRitr,-3.343456582654164,0.0,0.0,-1
1531TACRteb,-0.5373348385792999,0.0,0.0,0
1531TACRtev,-0.7649980941534416,0.0,0.0,0
1531TALThr,-1.5300692958301627,0.0,0.0,-1
15DMThr,-0.7647158188533413,0.0,0.0,0
15DMTitr,-0.7974703158517772,0.0,0.0,0
15DMTtep,-1.3182019613267095,0.0,0.0,-1
15DMTtu,-0.447471521059801,6.118729944660977e-288,1.8085625304989808e-287,0
15HPETATP,0.5572147911976658,5.655555502136394e-102,1.4685095291719804e-101,0
15HPETUPKt,0.9314700573065273,5.991940870473123e-305,1.7884998435996384e-304,1
15KPROSTGF2c,1.579288551968115,0.0,0.0,1
15KPROSTGF2t,1.1083209373948955,0.0,0.0,1
18HARACHDte,0.0,1.0,1.0,0
18HARACHDtr,0.0,1.0,1.0,0
1A25DHVITD3t2e,-0.8785821587375398,0.0,0.0,-1
1A25DHVITD3te,-0.7345689667760744,0.0,0.0,0
1A25HVITD2t,0.0,1.0,1.0,0
1A25HVITD2tm,0.0,1.0,1.0,0
1HIBUPGLUC_Sthv,0.0,1.0,1.0,0
1HIBUPGLUitr,0.0,1.0,1.0,0
1HIBUP_Sitr,0.0,1.0,1.0,0
1HIBUP_Sthv,0.0,1.0,1.0,0
1HMDGLUCitr,0.0,1.0,1.0,0
1HMDZGLUChc,0.0,1.0,1.0,0
1OHMDZitr,0.0,1.0,1.0,0
1OHMDZtep,0.0,1.0,1.0,0
1a25DHVITD3TRn,0.0,1.0,1.0,0
21HPRGNLONEt1,0.9062343152004784,0.0,0.0,1
21HPRGNLONEt2,1.7215582264439357,8.532807144290288e-162,2.3284656499362935e-161,1
2H3MVc,0.8954163824103089,0.0,0.0,1
2H3MVte,1.5628652309956603,0.0,0.0,1
2HATVACIDGLUCitr,0.0,1.0,1.0,0
2HATVACIDGLUCteb,0.0,1.0,1.0,0
2HATVACIDitr,0.0,1.0,1.0,0
2HATVACIDteb,-0.5217184594133312,1.0452719011909596e-307,3.1212504393759556e-307,0
2HATVACIDtep,0.5230247036368484,1.8635951388433798e-291,5.524065981128098e-291,0
2HATVLACGLUCitr,0.0,1.0,1.0,0
2HATVLACGLUCteb,0.0,1.0,1.0,0
2HATVLAChc,0.6289970124779642,0.0,0.0,0
2HATVLACteb,1.4331700791280906,0.0,0.0,1
2HATVLACtep,-1.3549200638452783,0.0,0.0,-1
2HIBUPGLUC_Sitr,0.0,1.0,1.0,0
2HIBUPGLUC_Sthv,0.0,1.0,1.0,0
2HIBUP_Ritr,0.0,1.0,1.0,0
2HIBUP_Rthv,0.0,1.0,1.0,0
2HIBUP_Sitr,0.0,1.0,1.0,0
2HIBUP_Sthv,0.0,1.0,1.0,0
2HIVc,0.6017358105058827,1.2110195357376333e-203,3.419956719916433e-203,0
2HIVte,0.041438537943399724,2.980114180184982e-14,7.072674891474846e-14,0
2HXIC_Lt1e,-1.2764260656722735,0.0,0.0,-1
2HXIC_Lt2e,-0.822809842050024,0.0,0.0,-1
2HYDOGte,0.0,1.0,1.0,0
2M3HBUc,0.0,1.0,1.0,0
2M3HBUte,0.0,1.0,1.0,0
2M3HBUtm,0.0,1.0,1.0,0
2M3HVACc,0.0,1.0,1.0,0
2M3HVACte,0.0,1.0,1.0,0
2M3OVACm,0.0,1.0,1.0,0
2M3OVACtm,0.0,1.0,1.0,0
2MB2COAc,0.0,1.0,1.0,0
2OXOADPt,-0.13324312913705866,1.6300754154993291e-28,3.9418285686452416e-28,0
2PGtr,-0.7187072668043794,0.0,0.0,0
31DMThr,-0.4749953303391501,6.926908895158878e-246,2.008334986475431e-245,0
31DMTitr,-1.1285927030027474,0.0,0.0,-1
31DMTtep,0.9559660624031705,0.0,0.0,1
31DMTtu,-1.0558658522495037,0.0,0.0,-1
34DHPEAR,0.0,1.0,1.0,0
34DHPEt,0.0,1.0,1.0,0
34DHPHELAT1tc,0.9767050963296039,0.0,0.0,1
34HPLFM,-4.143876595851013,0.0,0.0,-1
34HPLte,-0.6617766147764922,0.0,0.0,0
34HPLtm,0.13750264599308532,5.795101457747716e-58,1.4479804259653586e-57,0
34HPPte,-0.5187287953317826,0.0,0.0,0
35DHPVSitr,0.0,1.0,1.0,0
35DHPVStep,0.0,1.0,1.0,0
35DIODTYRte,0.0,1.0,1.0,0
35DSMVitr,0.0,1.0,1.0,0
35DSMVteb,0.0,1.0,1.0,0
3AIBSYMPt,0.7245324069461726,8.2e-322,2.465e-321,0
3AIB_Dtm,0.0,1.0,1.0,0
3AIBt1,-0.366229886949857,1.0444692753699931e-64,2.624139013912334e-64,0
3ANTHRNtr,1.068415477766158,0.0,0.0,1
3BCRNtr,-1.1107514956085098,0.0,0.0,-1
3DDCRNtr,-0.9272133514675552,0.0,0.0,-1
3DECCRNtr,-0.3993371354247373,9.005752037838126e-104,2.3417526533793214e-103,0
3DHCDCHOLabc,0.0,1.0,1.0,0
3DHCHOLabc,0.0,1.0,1.0,0
3DHDCAabc,0.0,1.0,1.0,0
3DHLCAabc,0.0,1.0,1.0,0
3DPHBH1,0.0,1.0,1.0,0
3H3MGLTc,1.0299823099659455,0.0,0.0,1
3H3MGLTte,-46.04065411426926,0.0,0.0,-1
3HADPACte,0.0,1.0,1.0,0
3HADPACtxc,0.0,1.0,1.0,0
3HADPACx,0.0,1.0,1.0,0
3HBCOAHLm,0.0,1.0,1.0,0
3HBCOARc,0.0,1.0,1.0,0
3HCINNMsec,1.3401853170345293,0.0,0.0,1
3HCINNMup,1.5171089841701701,9.185171040635447e-122,2.423873821154287e-121,1
3HDECECRNtr,-0.9492816943985506,0.0,0.0,-1
3HEXDCRNtr,-1.5091700935681556,0.0,0.0,-1
3HGLUTCOAm,0.0,1.0,1.0,0
3HIBUPGLUC_Sitr,0.0,1.0,1.0,0
3HIBUPGLUC_Sthv,0.0,1.0,1.0,0
3HIBUP_Ritr,0.0,1.0,1.0,0
3HIBUP_Rthv,0.0,1.0,1.0,0
3HIBUP_Sitr,0.0,1.0,1.0,0
3HIBUP_Sthv,0.0,1.0,1.0,0
3HIVAcm,0.0,1.0,1.0,0
3HIVActe,0.0,1.0,1.0,0
3HIVActm,0.0,1.0,1.0,0
3HLVSTACtbc,0.0,1.0,1.0,0
3HLVSTitr,0.0,1.0,1.0,0
3HMPtd,0.0,1.0,1.0,0
3HMPtm,0.0,1.0,1.0,0
3HPPAsec,-0.0551955137096802,6.3151556458138154e-52,1.5634462805096656e-51,0
3HPPAup,0.9238240231438589,0.0,0.0,1
3HPPD,0.0,1.0,1.0,0
3HPPNOHGLUCte,0.11032046412738376,1.2967034492352598e-148,3.501772176103819e-148,0
3HPPPNOHGLUCc,-0.03490932341465857,1.1405545071561369e-35,2.7830141122369773e-35,0
3HPPPNOHc,-0.950955616679342,0.0,0.0,-1
3HPPt,0.0,1.0,1.0,0
3HPPtm,0.0,1.0,1.0,0
3HPVSCOAhc,-0.974863058435733,0.0,0.0,-1
3HPVSCOAitm,1.2637879866498234,0.0,0.0,1
3HPVSCOAitx,-0.8003116425284764,0.0,0.0,0
3HPVSTETCOAhcm,-0.7714820447667105,0.0,0.0,0
3HPVSTETCOAhcx,-3.9283133942225774,0.0,0.0,-1
3HPVSTETCOAitm,-0.9263713192931239,0.0,0.0,-1
3HPVSTETCOAitx,0.9526109321821773,0.0,0.0,1
3HPVSTEThc,0.4416984631722968,4.6103971535538226e-175,1.2748141806752618e-174,0
3HPVSTETteb,-7.520793175039226,0.0,0.0,-1
3HPVSTETtev,-1.030247641728989,0.0,0.0,-1
3HPVSitr,0.0,1.0,1.0,0
3HPVSteb,-0.9974568498963663,2.5872247709377997e-181,7.197602016438643e-181,-1
3HPVStep,1.1163836591339868,0.0,0.0,1
3HSMVACIDteb,0.0,1.0,1.0,0
3HSMVitr,0.0,1.0,1.0,0
3ISPVShc,-5.445844877797881,0.0,0.0,-1
3ISPVSitr,0.0,1.0,1.0,0
