reaction,FC,p,q,enrichment
10FTHFtm,743.5748460167034,0.0,0.0,1
12HARACHDte,0.0,1.0,1.0,0
12HARACHDtr,0.0,1.0,1.0,0
12HPETATP,-122.67777826939397,0.0,0.0,-1
12HPETUPKt,93.92485288368306,0.0,0.0,1
12HTACRitr,0.0,1.0,1.0,0
12HTACRtep,237.59006235256254,0.0,0.0,1
12HTACRtu,153.13197608021528,0.0,0.0,1
12PPDRte,100.37501862946195,2.7826642622337995e-175,7.709214705235187e-175,1
1331TAALThr,252.4458008588506,0.0,0.0,1
1331TACRhr,330.66422715444503,0.0,0.0,1
1331TACRteb,444.8037071707016,0.0,0.0,1
1331TACRtev,-259.9858438369975,0.0,0.0,-1
13DMThr,986.7090243750467,0.0,0.0,1
13DMTitr,-986.4853141251338,0.0,0.0,-1
13DMTtep,-680.6393470520989,0.0,0.0,-1
13DMTtu,-92.4538733288564,0.0,0.0,-1
13HTACRitr,443.6490100039109,0.0,0.0,1
13_CIS_RETNte,92.45387143796029,0.0,0.0,1
14HMDZitr,0.0,1.0,1.0,0
14MDZtev,0.0,1.0,1.0,0
1513DTACRhr,-90.48951102673023,0.0,0.0,-1
1513DTALThr,317.15254815829053,0.0,0.0,1
1513TACRitr,-119.89533740503812,0.0,0.0,-1
1513TACRtep,-120.60828151236294,1.4645343889057256e-220,4.240918860936281e-220,-1
1513TACRtu,83.20232450918034,2.3546247671507948e-117,6.140555787305576e-117,1
1531TACRhr,516.7960796645732,9.364276095384838e-134,2.499897735004965e-133,1
1531TACRitr,134.6509969930378,0.0,0.0,1
1531TACRteb,7.582339304099944,0.0,0.0,1
1531TACRtev,409.20496324511697,5.361897950605834e-295,1.675315922945702e-294,1
1531TALThr,7.5823393040999445,0.0,0.0,1
15DMThr,368.6299969070395,0.0,0.0,1
15DMTitr,24.972601734267684,1.5469645577064662e-111,4.020404965074769e-111,1
15DMTtep,111.0496767561952,0.0,0.0,1
15DMTtu,47.128997907849836,9.910410262381047e-107,2.569428604402499e-106,1
15HPETATP,400.51417286435935,0.0,0.0,1
15HPETUPKt,271.3396853856721,0.0,0.0,1
15KPROSTGF2t,338.38053480855217,0.0,0.0,1
18HARACHDte,0.0,1.0,1.0,0
18HARACHDtr,0.0,1.0,1.0,0
1A25DHVITD3t2e,0.0,1.0,1.0,0
1A25HVITD2t,0.0,1.0,1.0,0
1A25HVITD2tm,0.0,1.0,1.0,0
1HIBUPGLUC_Sthv,0.0,1.0,1.0,0
1HIBUPGLUitr,0.0,1.0,1.0,0
1HIBUP_Sitr,0.0,1.0,1.0,0
1HIBUP_Sthv,0.0,1.0,1.0,0
1HMDGLUCitr,0.0,1.0,1.0,0
1HMDZGLUChc,0.0,1.0,1.0,0
1OHMDZitr,0.0,1.0,1.0,0
1OHMDZtep,0.0,1.0,1.0,0
1a25DHVITD3TRn,0.0,1.0,1.0,0
21HPRGNLONEt1,98.82613143727968,0.0,0.0,1
21HPRGNLONEt2,97.51856774814388,0.0,0.0,1
