reaction,FC,p,q,enrichment
10FTHFtm,0.0,1.0,1.0,0
12HARACHDte,0.0,1.0,1.0,0
12HARACHDtr,0.0,1.0,1.0,0
12HPETATP,15.839061028877046,1.3002452158249991e-58,3.2960967305441935e-58,1
12HPETUPKt,651.4187630634955,0.0,0.0,1
12HTACRitr,0.0,1.0,1.0,0
12HTACRtep,-512.852452610242,3.708149411924744e-77,9.563191277283254e-77,-1
12HTACRtu,151.81429300167613,0.0,0.0,1
12PPDRte,423.831727411812,0.0,0.0,1
1331TAALThr,122.22931280623214,0.0,0.0,1
1331TACRhr,364.1244580621304,0.0,0.0,1
1331TACRteb,14.038934234505279,0.0,0.0,1
1331TACRtev,638.7368246599846,0.0,0.0,1
13DMThr,329.92386040451987,2.9847408767749204e-124,7.99774385781889e-124,1
13DMTitr,-515.7139173850067,1.6378734813143955e-62,4.165025336736292e-62,-1
13DMTtep,878.6161773173203,3.500175811299885e-62,8.897654601639463e-62,1
13DMTtu,-879.1033390422726,0.0,0.0,-1
13HTACRitr,-368.0864984760983,0.0,0.0,-1
13_CIS_RETNte,-468.926713783857,1.071410415978459e-52,2.6990944515985262e-52,-1
14HMDZitr,0.0,1.0,1.0,0
14MDZtev,0.0,1.0,1.0,0
1513DTACRhr,-56.445035056258334,1.7109283215335344e-203,4.892301125138881e-203,-1
1513DTALThr,42.80013720787039,0.0,0.0,1
1513TACRitr,-1.9158742417444143,0.0,0.0,-1
1513TACRtep,369.9642203818864,0.0,0.0,1
1513TACRtu,-369.6665361436946,9.448277099779782e-90,2.4637236705225977e-89,-1
1531TACRhr,11.157910137912697,7.565730808399024e-288,2.3054902710280373e-287,1
1531TACRitr,11.36315566521672,0.0,0.0,1
1531TACRteb,72.62535090968805,0.0,0.0,1
1531TACRtev,-355.2754216449133,0.0,0.0,-1
1531TALThr,-355.3224474504874,0.0,0.0,-1
15DMThr,-146.6924267206608,1.621451048371346e-243,4.786796913371915e-243,-1
15DMTitr,33.433936636057496,4.6300573317739555e-85,1.2017358356133186e-84,1
15DMTtep,2.3018158204826955,0.0,0.0,1
15DMTtu,2.29462173908069,0.0,0.0,1
15HPETATP,30.170458658215303,6.943716231798878e-193,1.9662163808783527e-192,1
15HPETUPKt,41.31021419321785,1.4298785797270848e-30,3.527711956691178e-30,1
15KPROSTGF2t,401.63345690636476,0.0,0.0,1
18HARACHDte,0.0,1.0,1.0,0
18HARACHDtr,0.0,1.0,1.0,0
1A25DHVITD3t2e,0.0,1.0,1.0,0
1A25HVITD2t,0.0,1.0,1.0,0
1A25HVITD2tm,0.0,1.0,1.0,0
1HIBUPGLUC_Sthv,0.0,1.0,1.0,0
1HIBUPGLUitr,0.0,1.0,1.0,0
1HIBUP_Sitr,0.0,1.0,1.0,0
1HIBUP_Sthv,0.0,1.0,1.0,0
1HMDGLUCitr,0.0,1.0,1.0,0
1HMDZGLUChc,0.0,1.0,1.0,0
1OHMDZitr,0.0,1.0,1.0,0
1OHMDZtep,0.0,1.0,1.0,0
1a25DHVITD3TRn,0.0,1.0,1.0,0
21HPRGNLONEt1,60.697035227277425,0.0,0.0,1
21HPRGNLONEt2,97.66620765998934,0.0,0.0,1
2H3MVc,155.05157255539723,3.701864347410011e-262,1.1058522576778963e-261,1
2H3MVte,14.754949006543928,2.0029812201731606e-76,5.16379193859155e-76,1
2HATVACIDGLUCitr,0.0,1.0,1.0,0
