reaction,FC,p,q,enrichment
10FTHFtm,0.9246836503386819,0.0,0.0,1
12DHCHOLabc,0.0,1.0,1.0,0
12HARACHDte,0.0,1.0,1.0,0
12HARACHDtr,0.0,1.0,1.0,0
12HPETATP,-2.1754269602747804,4.465252880590441e-224,1.2344084517497268e-223,-1
12HPETUPKt,0.38195098578489833,4.6103971535538226e-175,1.234621839262073e-174,0
12HTACRhr,1.0,0.0,0.0,1
12HTACRitr,-1.0,0.0,0.0,-1
12HTACRtep,-0.08192884093530589,2.4343375575880706e-30,5.903401331614323e-30,0
12HTACRtu,0.6321198794757101,2.5141262540358835e-204,6.862480010139335e-204,0
12PPDRte,-0.15477288512175846,2.8513106707793296e-126,7.330326937563509e-126,0
1331TAALThr,0.8992374354258683,0.0,0.0,1
1331TACRhr,4.305430348919529,0.0,0.0,1
1331TACRteb,1.0372469796157116,0.0,0.0,1
1331TACRtev,-3.2743990800850624,0.0,0.0,-1
13DAMPPOX,0.0,1.0,1.0,0
13DMThr,0.9999778795019544,0.0,0.0,1
13DMTitr,1.0426659121391029,0.0,0.0,1
13DMTtep,1.0431012101666781,0.0,0.0,1
13DMTtu,-1.1208931441153769,0.0,0.0,-1
13HTACRitr,-0.7603204453158462,0.0,0.0,0
13_CIS_RETNte,1.4946242764211795,0.0,0.0,1
14HMDZALThr,-1.0,0.0,0.0,-1
14HMDZhr,-1.0,2.523013547195052e-285,7.277276287721236e-285,-1
14HMDZitr,-1.0,8.875311720971046e-127,2.284739524068696e-126,-1
14MDZtev,1.0,8.875311720971046e-127,2.284739524068696e-126,1
1513DTACRhr,0.9150173615136621,0.0,0.0,1
1513DTALThr,0.8246436924716624,0.0,0.0,1
1513TACRitr,-0.28947511989363656,6.694200298676395e-222,1.848625504765781e-221,0
1513TACRtep,-1.649133234531382,1.531798402842041e-254,4.3221374803904146e-254,-1
1513TACRtu,0.6063791445574646,3.276878503397688e-229,9.107381611943145e-229,0
1531TACRhr,0.571789708105745,0.0,0.0,0
1531TACRitr,-0.2384319640351116,9.134976413736297e-126,2.3469259310563177e-125,0
1531TACRteb,-0.26763232183286706,5.304985902204728e-189,1.4334513989915693e-188,0
1531TACRtev,0.2894847788978752,8.945526004050748e-86,2.2405562717580598e-85,0
1531TALThr,18.34826878604957,0.0,0.0,1
15DMThr,2.5184024858515683,0.0,0.0,1
15DMTitr,1.0495288765436277,0.0,0.0,1
15DMTtep,3.3393179751845645,0.0,0.0,1
15DMTtu,-0.9228133087496658,0.0,0.0,-1
15HPETATP,-0.1548736256624996,9.803857095159588e-13,2.3540146841879642e-12,0
15HPETUPKt,0.852626206037804,0.0,0.0,1
15KPROSTGF2t,-13.020785742559426,1.354199288211322e-23,3.2727884661057477e-23,-1
18HARACHDte,0.0,1.0,1.0,0
18HARACHDtr,0.0,1.0,1.0,0
1A25DHVITD3t2e,0.0,1.0,1.0,0
1A25HVITD2t,0.0,1.0,1.0,0
1A25HVITD2tm,0.0,1.0,1.0,0
1HIBUPGLUC_Sthv,0.0,1.0,1.0,0
1HIBUPGLUitr,0.0,1.0,1.0,0
1HIBUP_Sitr,0.0,1.0,1.0,0
1HIBUP_Sthv,0.0,1.0,1.0,0
1HMDGLUCitr,0.0,1.0,1.0,0
1HMDZGLUChc,0.0,1.0,1.0,0
1OHMDZhr,-1.0,0.0,0.0,-1
1OHMDZitr,-1.0,0.0,0.0,-1
1OHMDZtep,-1.0,0.0,0.0,-1
1a25DHVITD3TRn,0.0,1.0,1.0,0
21HPRGNLONEt1,3.6817408382312142,0.0,0.0,1
21HPRGNLONEt2,-1.5413058956753685,0.0,0.0,-1
2H3MVc,-0.16778694709640207,5.274648198989292e-42,1.2855406290176847e-41,0
2H3MVte,0.9863251438733627,0.0,0.0,1
2HATVACIDGLUCitr,0.0,1.0,1.0,0
2HATVACIDOXDhc,-1.0,0.0,0.0,-1
2HATVACIDitr,1.0,0.0,0.0,1
2HATVACIDtep,0.8135382180429559,0.0,0.0,0
2HATVLACGLUCitr,0.0,1.0,1.0,0
2HATVLACOXDhc,0.0,1.0,1.0,0
2HATVLAChc,0.2502794198713268,7.2395025979917e-117,1.8459308393699676e-116,0
2HATVLACtep,0.5207378475420448,0.0,0.0,0
