reaction,FC,p,q,enrichment
12DHCHOLabc,-0.30541401979076865,3.4361829016674145e-49,1.1268151622357524e-48,0
12DHCHOLt,-0.272936614004332,3.433746373578779e-33,1.0637561830312773e-32,0
15KPROSTGF2c,0.0,1.0,1.0,0
1A25DHVITD3te,0.0,1.0,1.0,0
2H3MVc,0.0,1.0,1.0,0
2HATVACIDhc,1.0,0.0,0.0,1
2HATVACIDteb,-0.14016565078051207,4.2475154084352807e-10,1.15205777537228e-09,0
2HATVACIDtep,-1.0,0.0,0.0,-1
2HATVLACteb,-0.5593310242808105,1.5360187987153305e-210,6.830233252337332e-210,0
2HATVLACtep,0.33116641971251104,3.5808201117274716e-149,1.4257844140299636e-148,0
2HIVc,0.0,1.0,1.0,0
2M3OVCOAm,0.0,1.0,1.0,0
2MB2COAc,0.0,1.0,1.0,0
34DHPEAR,0.0,1.0,1.0,0
34DHPHELAT1tc,0.0,1.0,1.0,0
3DHCDCHOLabc,-0.3092609698927235,5.921566070217685e-46,1.9273346163812247e-45,0
3DHCDCHOLt,0.0883907938068576,3.4392828740186846e-23,1.0180277307095306e-22,0
3DHCHOLabc,-0.08907026447178103,3.1690847643253713e-32,9.786732634396933e-32,0
3DHCHOLt,0.10137538990154417,6.33938261831875e-34,1.973258621352868e-33,0
3DHDCAabc,-0.34134512534025174,1.4539281678631267e-82,5.114176030815411e-82,0
3DHDCAt,0.03494391334007835,1.910529617359579e-174,8.022587964972451e-174,0
3DHLCAabc,-0.03494391334007896,1.910529617359579e-174,8.022587964972451e-174,0
3DHLCAt,-0.01468713633239645,5.1075882678968885e-56,1.6976238293806437e-55,0
3HBCOARc,0.0,1.0,1.0,0
3HPVSCOAhc,0.0,1.0,1.0,0
3HPVSCOAitm,0.0,1.0,1.0,0
3HPVSCOAitx,0.0,1.0,1.0,0
3HPVSTETCOAhcm,0.0,1.0,1.0,0
3HPVSTETCOAhcx,0.0,1.0,1.0,0
3HPVSTETteb,0.014687136332360707,5.1075882678968885e-56,1.6976238293806437e-55,0
3HPVSTETtev,-0.026182902645469713,1.425495606226295e-30,4.360993578486372e-30,0
3HPVSteb,37.34517192198247,2.807532301000516e-60,9.419282878121491e-60,1
3HPVStep,-0.018507823697601476,1.3639763952989482e-80,4.789181219662019e-80,0
3ISPVSteb,-0.1350382045171626,1.5679195140192733e-26,4.7302925646027616e-26,0
3ISPVStep,0.450230027360492,6.7025e-320,3.41394e-319,0
4HATVACIDhc,-1.0,0.0,0.0,-1
4HATVACIDteb,2.2566910910755333,0.0,0.0,1
4HATVACIDtep,-1.0,0.0,0.0,-1
4HATVLACteb,0.10230780540163341,2.4846719977672545e-13,6.906366814488428e-13,0
4HATVLACtep,-0.8703552695767584,2.0224359298863315e-115,7.504251387903682e-115,-1
56DHPVSteb,0.5242734214120293,2.402643103670128e-108,8.790267026673734e-108,0
56DHPVStev,-0.8600377302384843,0.0,0.0,-1
56EPPVSteb,-0.9291735276117065,0.0,0.0,-1
56EPPVStev,-0.0949745195602558,0.0014488954599620356,0.0037116707994585916,0
5EIPENCm,0.0,1.0,1.0,0
5HPETtd,0.0,1.0,1.0,0
6EPSteb,-0.0949745194276227,0.0014488954599620356,0.0037116707994585916,0
6EPVStep,-0.09497451948167117,0.0014488954599620356,0.0037116707994585916,0
7DHCDCHOLabc,0.24897468671867273,2.968800778577628e-96,1.0682235462001337e-95,0
7DHCDCHOLt,0.9252772645174895,0.0,0.0,1
7DHCHOLabc,0.866083930112337,0.0,0.0,1
7DHCHOLt,-117.65489079477403,0.0,0.0,-1
7DHCHSTEROLtd,0.0,1.0,1.0,0
7DHCHSTEROLtr,0.0,1.0,1.0,0
7HPVSteb,-3.9993302607946193,0.0,0.0,-1
7HPVStev,-0.9681643525473761,0.0,0.0,-1
7KILTCHOLATP,-0.2774533656740308,1.0722014669988582e-205,4.740895325332043e-205,0
7KLITCHOLc,0.9315244950814635,0.0,0.0,1
ACCOAL,-0.03920913152543409,7.224279835989447e-12,1.985537877838165e-11,0
ACMPGLUTtep,1.0769377430233193,0.0,0.0,1
ACMPGLUTthc,0.9377073010069169,0.0,0.0,1
ACMPGLUtep,1.5032530785488882,0.0,0.0,1
ACMPGLUthc,-0.6652957213664417,3.7741254417171835e-280,1.8296810855889734e-279,0
ACMPShc,0.0,1.0,1.0,0
ACMPthc,0.0,1.0,1.0,0
ACNAMt2,0.0,1.0,1.0,0
ALAALACNc,0.0,1.0,1.0,0
ALDD21,0.0,1.0,1.0,0
AMY2e,-0.5931890062946904,8.528265387360626e-128,3.2505205878744777e-127,0
ANDRSTANDRtr,0.0,1.0,1.0,0
BGAL1e,-0.9683957813404527,0.0,0.0,-1
BGAL1l,0.0,1.0,1.0,0
BGAL2l,0.0,1.0,1.0,0
BGAL3l,0.0,1.0,1.0,0
BGLYte,0.0,1.0,1.0,0
BILDGLCURtr,0.0,1.0,1.0,0
BILGLCURtr,0.0,1.0,1.0,0
BTNt3i,0.0,1.0,1.0,0
C03990ATP,0.5455163154145037,0.0,0.0,0
C03990t,-0.22173362986398132,3.178500719236986e-104,1.155336406009959e-103,0
C04483t1,0.9844873995946902,0.0,0.0,1
C04483t2,-0.287022981983637,3.1690847643253713e-32,9.786732634396933e-32,0
C04717td,0.0,1.0,1.0,0
C05463t1,-0.9680114242452978,0.0,0.0,-1
C05463t2,-0.9881173271884524,0.0,0.0,-1
C05769te,-0.24191050710977074,7.369090300875429e-16,2.0928003012334128e-15,0
C05769te3,0.41330223918599224,4.5084989476454025e-207,1.9957486312263282e-206,0
C05770te,0.9877498845460777,0.0,0.0,1
C05770te4,0.9888096879817387,0.0,0.0,1
C141ACBP,0.0,1.0,1.0,0
C142ACBP,0.0,1.0,1.0,0
C14STRr,0.0,1.0,1.0,0
C162ACBP,0.0,1.0,1.0,0
C16DCc,0.0,1.0,1.0,0
C16DCtr,0.0,1.0,1.0,0
C181CPT1,0.0,1.0,1.0,0
C226CRNt,0.0,1.0,1.0,0
C3DCtr,0.0,1.0,1.0,0
C3STDH1Pr,0.0,1.0,1.0,0
C3STDH1r,0.0,1.0,1.0,0
C3STKR2r,0.0,1.0,1.0,0
C4STMO1r,0.0,1.0,1.0,0
C4STMO2Pr,0.0,1.0,1.0,0
C4STMO2r,0.0,1.0,1.0,0
CA24GSc,0.0,1.0,1.0,0
CA24Gte,0.0,1.0,1.0,0
CA3Sabc,0.948573995519352,0.0,0.0,1
CA3St,-0.8514809182464135,0.0,0.0,-1
CAATPS,0.0,1.0,1.0,0
CDCA24GSc,-0.9740546368808507,0.0,0.0,-1
CDCA24Gte,-0.03617446624777117,1.1405545071561369e-35,3.5728872021296876e-35,0
CDCA3GSc,-1.3734456453036945,0.0,0.0,-1
CDCA3Gte,-0.006194991225196087,1.425495606226295e-30,4.360993578486372e-30,0
CDS,-0.5065423564888102,5.817471443266706e-107,2.1224300465573974e-106,0
CDSm,0.0,1.0,1.0,0
CE1273t1,3.6040862177724593,0.0,0.0,1
CE1273t2,0.9853958338636091,0.0,0.0,1
CE1918te,0.0,1.0,1.0,0
CE2510ABCt,0.0,1.0,1.0,0
CE2537ABCt,0.0,1.0,1.0,0
CE2705t,0.0,1.0,1.0,0
CE7081tr,0.0,1.0,1.0,0
CITtam,-0.988564647895695,0.0,0.0,-1
COPROSTabc,0.8931718369331965,3.4501915758212364e-144,1.3613331348461658e-143,1
COPROSTt,-0.3245782463180175,0.0,0.0,0
CYOOm3i,-1.0,0.0,0.0,-1
Coqe,0.0,1.0,1.0,0
DACT,5.15330246899681,0.0,0.0,1
DCA24GSc,-0.3917021252525748,4.699807624055577e-89,1.6756950455950886e-88,0
DCA24Gte,-0.9676301127515163,0.0,0.0,-1
DCA3GSc,1.0889388415869856,5.649185707078914e-163,2.305526154335432e-162,1
DCA3Gte,-1.05649287812023,0.0,0.0,-1
DCA3Sabc,-1.0069175461059345,0.0,0.0,-1
DCA3St,1.1528705414348575,0.0,0.0,1
DCMPtr,1.0758270672463246,0.0,0.0,1
DEOXFVShc,0.0,1.0,1.0,0
