reaction,FC,p,q,enrichment
1A25DHVITD3te,0.0,1.0,1.0,0
2H3MVc,0.0,1.0,1.0,0
2HIVc,0.0,1.0,1.0,0
2M3OVCOAm,0.0,1.0,1.0,0
2MB2COAc,0.0,1.0,1.0,0
34DHPEAR,0.0,1.0,1.0,0
34DHPHELAT1tc,0.0,1.0,1.0,0
3HBCOARc,0.0,1.0,1.0,0
3HPVSCOAhc,0.0,1.0,1.0,0
3HPVSCOAitm,0.0,1.0,1.0,0
3HPVSCOAitx,0.0,1.0,1.0,0
3HPVSTETCOAhcm,0.0,1.0,1.0,0
3HPVSTETCOAhcx,0.0,1.0,1.0,0
3HPVStep,0.0,1.0,1.0,0
5EIPENCm,0.0,1.0,1.0,0
5HPETtd,0.0,1.0,1.0,0
ACCOAL,-1.0,0.0,0.0,-1
ACCOAtr,0.0,1.0,1.0,0
ALAALACNc,0.0,1.0,1.0,0
AMACR2p,0.0,1.0,1.0,0
AMETt,-1.0,0.0,0.0,-1
AMY2e,0.7624779011664375,1.5075361928992265e-258,7.413153569337998e-258,0
ANDRSTANDRtr,0.0,1.0,1.0,0
B3GNT312g,0.0,1.0,1.0,0
BGAL1e,0.9163294928363418,0.0,0.0,1
BGAL1l,0.0,1.0,1.0,0
BGAL2l,0.0,1.0,1.0,0
BGAL3l,0.0,1.0,1.0,0
BGLYte,0.0,1.0,1.0,0
C04717td,0.0,1.0,1.0,0
C05957td,0.0,1.0,1.0,0
C100CPT1,0.0,1.0,1.0,0
C10DCc,0.0,1.0,1.0,0
C10OHc,0.0,1.0,1.0,0
C120CPT1,0.0,1.0,1.0,0
C12OHc,0.0,1.0,1.0,0
C13856te,0.0,1.0,1.0,0
C140CPT1,1.0,0.0,0.0,1
C141ACBP,0.0,1.0,1.0,0
C141OHc,0.0,1.0,1.0,0
C142ACBP,0.0,1.0,1.0,0
C142CPT1,0.0,1.0,1.0,0
C142OHc,0.0,1.0,1.0,0
C14770UPKt,0.0,1.0,1.0,0
C14771UPKt,0.0,1.0,1.0,0
C14OHc,0.0,1.0,1.0,0
C14STRr,-1.0,0.0,0.0,-1
C161CPT12,0.0,1.0,1.0,0
C161OHc,0.0,1.0,1.0,0
C162ACBP,0.0,1.0,1.0,0
C162OHc,0.0,1.0,1.0,0
C16DCc,0.0,1.0,1.0,0
C16DCtr,0.0,1.0,1.0,0
C16OHc,0.0,1.0,1.0,0
C181CPT1,1.0,0.0,0.0,1
C181CPT2rbc,-1.0,0.0,0.0,-1
C182OHc,0.0,1.0,1.0,0
C18OHc,0.0,1.0,1.0,0
C3STDH1Pr,0.0,1.0,1.0,0
C3STDH1r,0.0,1.0,1.0,0
C3STKR2r,0.0,1.0,1.0,0
C4OHc,0.0,1.0,1.0,0
C4STMO1r,0.0,1.0,1.0,0
C4STMO2Pr,0.0,1.0,1.0,0
C4STMO2r,0.0,1.0,1.0,0
C50CPT1,0.0,1.0,1.0,0
C51CPT1,0.0,1.0,1.0,0
C60CPT1,0.0,1.0,1.0,0
C6DCc,0.0,1.0,1.0,0
C8DCc,0.0,1.0,1.0,0
CAATPS,0.0,1.0,1.0,0
CARNtr,0.0,1.0,1.0,0
CE2705t,0.0,1.0,1.0,0
CE5025t,-1.0,0.0,0.0,-1
CITtam,0.4550074073880809,6.694200298676395e-222,3.101593511025891e-221,0
CRMPte,0.0,1.0,1.0,0
CRVSM1hr,0.0,1.0,1.0,0
CRVSM23hr,0.0,1.0,1.0,0
CVM1GLUChc,0.0,1.0,1.0,0
CVM23GLUChc,0.0,1.0,1.0,0
CYOOm3i,-0.13141326679056642,3.3580249316788982e-80,1.190765339040288e-79,0
Coqe,0.0,1.0,1.0,0
DCMPtr,0.10544986794499331,4.64927301850743e-55,1.544124572249847e-54,0
DEOXFVShc,0.0,1.0,1.0,0
DESAT16_2,0.0,1.0,1.0,0
DESAT18_3,-0.04907405961876192,1.4811534595157654e-17,4.3331734493205077e-17,0
DESAT18_4,0.0,1.0,1.0,0
DESAT18_5,-0.02700343106633648,2.402643103670128e-108,8.973369538326934e-108,0
DGTPtm,-1.0,0.0,0.0,-1
DHCR243r,0.0,1.0,1.0,0
DHCR71r,0.0,1.0,1.0,0
DHCR72r,0.0,1.0,1.0,0
DMATTx,0.0,1.0,1.0,0
DOPAc,1.0,0.0,0.0,1
DPMVDx,0.0,1.0,1.0,0
DSREDUCr,0.0,1.0,1.0,0
DTMPKm,-0.012153399911026841,1.2040448267583641e-78,4.250397236598035e-78,0
EBP1r,1.0333602803651205,0.0,0.0,1
EBP2r,1.0425590204912332,0.0,0.0,1
EIC21114TRc,0.0,1.0,1.0,0
ELAIDCPT1,-1.0,0.0,0.0,-1
ELAIDCPT2,1.0,0.0,0.0,1
ESTRr,0.0,1.0,1.0,0
ETF,-3.9056270452529684,0.0,0.0,-1
ETFQO,-1.2339746211180884,0.0,0.0,-1
EX_12HPET[e],0.9736301862848382,0.0,0.0,1
EX_1a25dhvitd3[e],0.0,1.0,1.0,0
EX_23cump[e],-0.8108268581736148,0.0,0.0,0
EX_3hpvs[e],0.0,1.0,1.0,0
EX_3ump[e],1.122821165823211,0.0,0.0,1
EX_5HPET[e],0.0,1.0,1.0,0
EX_C04717[e],0.0,1.0,1.0,0
EX_C04849[e],0.6090045067812394,3.9313929323154294e-185,1.720093856466294e-184,0
EX_C05957[e],0.0,1.0,1.0,0
EX_C13856[e],0.0,1.0,1.0,0
EX_C14770[e],0.0,1.0,1.0,0
EX_C14771[e],0.0,1.0,1.0,0
EX_CE0074[e],-1.0058083021009778,0.0,0.0,-1
EX_CE2510[e],0.9901797921948041,0.0,0.0,1
EX_CE2705[e],0.0,1.0,1.0,0
EX_CE5025[e],-1.0,0.0,0.0,-1
EX_HC00003[e],-1.0,0.0,0.0,-1
EX_HC00004[e],0.0,1.0,1.0,0
EX_HC00822[e],0.0,1.0,1.0,0
EX_HC00955[e],0.10174668256919145,4.265582629717994e-14,1.2197579441165937e-13,0
EX_HC01577[e],-0.862994158800686,0.0,0.0,-1
EX_HC01609[e],-1.0,0.0,0.0,-1
EX_HC01610[e],-1.0,0.0,0.0,-1
EX_HC01700[e],1.0035282777265158,0.0,0.0,1
EX_HC01939[e],1.0,0.0,0.0,1
EX_HC02160[e],1.0035282777265158,0.0,0.0,1
EX_HC02161[e],-0.023426425805216738,0.06153429181321559,0.1610714407289301,0
EX_HC02187[e],0.0,1.0,1.0,0
EX_HC02201[e],0.0,1.0,1.0,0
EX_M00003[e],0.18753855846381226,2.5116988010361783e-63,8.514637264254654e-63,0
EX_M00008[e],0.4837268510813844,2.762261538882274e-61,9.339867113828274e-61,0
EX_M00010[e],-4.718436019737763,1.445156540140849e-197,6.444971675611119e-197,-1
EX_M00017[e],0.2775378042091502,1.374604391933745e-86,4.941281478415082e-86,0
EX_M00019[e],-0.5617486608628373,2.7065803535976155e-150,1.1123592269126602e-149,0
EX_M00021[e],0.9020492220587862,0.0,0.0,1
EX_M00115[e],-1.3052827054344713,6.694200298676395e-222,3.101593511025891e-221,-1
EX_M00117[e],-0.5736814038683148,0.0,0.0,0
EX_M00234[e],-0.3657246455307337,3.655328303322282e-67,1.2488508611959344e-66,0
EX_M00260[e],0.9479178376296615,0.0,0.0,1
EX_M00265[e],0.9459347161440591,0.0,0.0,1
EX_M00315[e],-0.6192714838811552,6.360994696792759e-141,2.5606914102150363e-140,0
EX_M00341[e],-0.9515742590743693,0.0,0.0,-1
EX_M00503[e],0.349488525049527,1.95944553657125e-33,6.1052034204507856e-33,0
EX_M01197[e],0.9555541246941497,0.0,0.0,1
EX_M01207[e],0.9638974430950568,0.0,0.0,1
EX_M01235[e],-0.3072624216521901,1.7223838690805776e-71,5.9466135515093045e-71,0
EX_M01238[e],-0.9589354462698234,0.0,0.0,-1
EX_M01582[e],-0.9370330982558365,0.0,0.0,-1
