reaction,FC,p,q,enrichment
1A25DHVITD3t2e,1.0,0.0,0.0,1
1A25DHVITD3te,1.0,0.0,0.0,1
2H3MVc,0.0,1.0,1.0,0
2HIVc,0.0,1.0,1.0,0
2HYOXPLCte,0.0,1.0,1.0,0
2M3OVCOAm,0.0,1.0,1.0,0
2MB2COAc,0.0,1.0,1.0,0
34DHPEAR,0.0,1.0,1.0,0
3HBCOARc,0.0,1.0,1.0,0
3HPPt,0.0,1.0,1.0,0
3HPPtm,0.0,1.0,1.0,0
3HPVSCOAhc,0.0,1.0,1.0,0
3HPVSCOAitm,0.0,1.0,1.0,0
3HPVSCOAitx,0.0,1.0,1.0,0
3HPVSTETCOAhcm,0.0,1.0,1.0,0
3HPVSTETCOAhcx,0.0,1.0,1.0,0
3HPVStep,0.0,1.0,1.0,0
5EIPENCm,0.0,1.0,1.0,0
5HPETtd,0.0,1.0,1.0,0
ACCOAL,-0.5710176119784509,2.0205566596677228e-79,8.376840003385505e-79,0
ACNAMt2,0.0,1.0,1.0,0
AK2LGCHOLABCt,1.0,0.0,0.0,1
ALAALACNc,0.0,1.0,1.0,0
AMACR2p,0.0,1.0,1.0,0
AMY2e,-0.4444061095627804,5.368503601575849e-87,2.2613992948860245e-86,0
ANDRSTANDRtr,0.0,1.0,1.0,0
ARACHCOAtx,0.0,1.0,1.0,0
ASNATB0tc,1.0,0.0,0.0,1
ATPtg,0.0,1.0,1.0,0
ATVACIDMCTtu,0.0,1.0,1.0,0
BGAL1e,0.6498557761665392,1.39882300461979e-182,7.376791486495709e-182,0
BGAL1l,0.0,1.0,1.0,0
BGAL2l,0.0,1.0,1.0,0
BGLYte,0.0,1.0,1.0,0
BTNTe,1.0,0.0,0.0,1
BUTt2m,0.0,1.0,1.0,0
BUTt2r,0.9613423499545765,0.0,0.0,1
C05957td,0.0,1.0,1.0,0
C141ACBP,0.0,1.0,1.0,0
C142ACBP,0.0,1.0,1.0,0
C161CPT22,0.0,1.0,1.0,0
C162ACBP,0.0,1.0,1.0,0
C181CPT2,0.0,1.0,1.0,0
C226CRNt,0.0,1.0,1.0,0
C3STDH1Pr,0.0,1.0,1.0,0
C3STDH1r,0.0,1.0,1.0,0
C3STKR2r,0.0,1.0,1.0,0
C4STMO1r,0.0,1.0,1.0,0
C4STMO2Pr,0.0,1.0,1.0,0
C4STMO2r,0.0,1.0,1.0,0
CAATPS,0.0,1.0,1.0,0
CAPROICc,0.0,1.0,1.0,0
CARNtr,0.0,1.0,1.0,0
CE5025t,1.0,0.0,0.0,1
CITtam,0.9201094736211702,0.0,0.0,1
COKEte,0.0,1.0,1.0,0
COKEtr,0.0,1.0,1.0,0
CRNATBtc,0.0,1.0,1.0,0
CYSSNAT5tc,0.3920142270572819,0.0,0.0,0
Coqe,0.0,1.0,1.0,0
DACGST,0.0,1.0,1.0,0
DACT,-1.090757236077705,0.0,0.0,-1
DAGKn_hs,0.0,1.0,1.0,0
DEOXFVShc,0.0,1.0,1.0,0
DESAT14_9,0.0,1.0,1.0,0
DESAT16_2,0.0,1.0,1.0,0
DESAT18_10,0.0,1.0,1.0,0
DESAT18_3,0.0,1.0,1.0,0
DESAT18_4,0.0,1.0,1.0,0
DESAT18_5,0.29707688655983344,0.0,0.0,0
DESAT18_6,0.0,1.0,1.0,0
DESAT18_7,0.0,1.0,1.0,0
DESAT18_8,0.0,1.0,1.0,0
DESAT18_9,0.0,1.0,1.0,0
DESAT20_1,0.0,1.0,1.0,0
DESAT20_2,0.0,1.0,1.0,0
DGTPtm,0.0,1.0,1.0,0
DHCHOLESTANATEt,0.0,1.0,1.0,0
DHCR243r,0.0,1.0,1.0,0
DHCR71r,0.0,1.0,1.0,0
DHCR72r,0.0,1.0,1.0,0
DHFtm,0.0,1.0,1.0,0
DMATTx,0.0,1.0,1.0,0
DOLGLCP_Lter,0.0,1.0,1.0,0
DOPAc,1.0,0.0,0.0,1
DPMVDx,0.0,1.0,1.0,0
DSREDUCr,0.0,1.0,1.0,0
EBP1r,-0.9347795255709483,0.0,0.0,-1
EBP2r,-1.8206081877343092,0.0,0.0,-1
EIC21114TRc,0.0,1.0,1.0,0
ELAIDCPT2,0.0,1.0,1.0,0
ETF,-1.0,0.0,0.0,-1
ETFQO,-1.0,0.0,0.0,-1
EX_12HPET[e],0.08236088192140105,0.0,0.0,0
EX_1a25dhvitd3[e],0.0,1.0,1.0,0
EX_23cump[e],-2.2790242501277773,0.0,0.0,-1
EX_2hyoxplac[e],0.0,1.0,1.0,0
