reaction,FC,p,q,enrichment
12DHCHOLabc,1.0,0.0,0.0,1
12DHCHOLt,1.0,0.0,0.0,1
12HTACRhr,0.0,1.0,1.0,0
13DAMPPOX,0.0,1.0,1.0,0
14HMDZALThr,0.0,1.0,1.0,0
14HMDZhr,0.0,1.0,1.0,0
15KPROSTGF2c,0.0,1.0,1.0,0
1A25DHVITD3te,0.0,1.0,1.0,0
1OHMDZhr,0.0,1.0,1.0,0
2H3MVc,0.0,1.0,1.0,0
2HATVACIDOXDhc,0.0,1.0,1.0,0
2HATVLACOXDhc,0.0,1.0,1.0,0
2HIVc,0.0,1.0,1.0,0
2M3OVCOAm,0.0,1.0,1.0,0
2MB2COAc,0.0,1.0,1.0,0
34DHPEAR,0.0,1.0,1.0,0
34DHPHELAT1tc,0.0,1.0,1.0,0
35DSMVhep,0.0,1.0,1.0,0
3DHCDCHOLabc,1.0,0.0,0.0,1
3DHCDCHOLt,1.0,0.0,0.0,1
3DHCHOLabc,1.0,0.0,0.0,1
3DHCHOLt,1.0,0.0,0.0,1
3DHDCAabc,1.0,0.0,0.0,1
3DHDCAt,1.0,0.0,0.0,1
3DHLCAabc,1.0,0.0,0.0,1
3DHLCAt,1.0,0.0,0.0,1
3HBCOARc,0.0,1.0,1.0,0
3HPVSCOAhc,0.0,1.0,1.0,0
3HPVSCOAitm,0.0,1.0,1.0,0
3HPVSCOAitx,0.0,1.0,1.0,0
3HPVSTETCOAhcm,0.0,1.0,1.0,0
3HPVSTETCOAhcx,0.0,1.0,1.0,0
3HPVStep,0.0,1.0,1.0,0
3HSMVhep,0.0,1.0,1.0,0
4HATVACIDOXDhc,0.0,1.0,1.0,0
4HATVLACOXDhc,0.0,1.0,1.0,0
4OHMDZhr,0.0,1.0,1.0,0
5FTHFt2,1.0,0.0,0.0,1
5HPETtd,-1.0,0.0,0.0,-1
6CSMVhep,0.0,1.0,1.0,0
6HMSMVhep,0.0,1.0,1.0,0
6HSMVhep,0.0,1.0,1.0,0
6MSMVhep,0.0,1.0,1.0,0
7DHCDCHOLabc,1.0,0.0,0.0,1
7DHCDCHOLt,1.0,0.0,0.0,1
7DHCHOLabc,1.0,0.0,0.0,1
7DHCHOLt,1.0,0.0,0.0,1
7KILTCHOLATP,-1.0,0.0,0.0,-1
7KLITCHOLc,-1.0,0.0,0.0,-1
AACTte,-1.0,0.0,0.0,-1
ACCOAL,1.0,0.0,0.0,1
ACMPGLUTtep,-1.0,0.0,0.0,-1
ACMPGLUTthc,1.0,0.0,0.0,1
ACMPGLUtep,1.0,0.0,0.0,1
ACMPGLUthc,-1.0,0.0,0.0,-1
ACMPthc,0.0,1.0,1.0,0
ACNAMt2,0.0,1.0,1.0,0
ALAALACNc,0.0,1.0,1.0,0
ALAyLATthc,-1.0,0.0,0.0,-1
ALDD21,0.0,1.0,1.0,0
AM19CSALThr,0.0,1.0,1.0,0
AM1CSAhr,0.0,1.0,1.0,0
AM9CSAhr,0.0,1.0,1.0,0
AMY2e,-1.5594576141915137,0.0,0.0,-1
ANDRSTANDRtr,0.0,1.0,1.0,0
ARACHCRNt,0.0,1.0,1.0,0
ASNATB0tc,-0.6975107634469455,1.918531618192692e-247,5.822520376142938e-247,0
ASPDTDe,1.0,0.0,0.0,1
ATPtg,0.0,1.0,1.0,0
ATVACIDitr,0.0,1.0,1.0,0
ATVACIDtdu,0.0,1.0,1.0,0
ATVLAChc,0.0,1.0,1.0,0
ATVLACitr,0.0,1.0,1.0,0
BGAL1l,0.0,1.0,1.0,0
BGAL2l,0.0,1.0,1.0,0
BGLYte,0.0,1.0,1.0,0
BILDGLCURtr,0.0,1.0,1.0,0
C03990ATP,1.0,0.0,0.0,1
C04483t1,-1.0,0.0,0.0,-1
C04483t2,1.0,0.0,0.0,1
C04717td,0.0,1.0,1.0,0
C05463t1,1.0,0.0,0.0,1
C05463t2,1.0,0.0,0.0,1
C13856te,0.0,1.0,1.0,0
C141ACBP,0.0,1.0,1.0,0
C142ACBP,0.0,1.0,1.0,0
C161CRN2t,0.0,1.0,1.0,0
C162ACBP,0.0,1.0,1.0,0
C181CPT2rbc,-1.0,0.0,0.0,-1
C226CRNt,0.0,1.0,1.0,0
C3STDH1r,0.0,1.0,1.0,0
C3STKR2r,0.0,1.0,1.0,0
C4STMO1r,0.0,1.0,1.0,0
C4STMO2r,0.0,1.0,1.0,0
CA24GSc,0.0,1.0,1.0,0
CA24Gte,0.0,1.0,1.0,0
CA3Sabc,1.0,0.0,0.0,1
CA3St,1.0,0.0,0.0,1
CAATPS,0.0,1.0,1.0,0
CARNtr,0.0,1.0,1.0,0
