reaction,FC,p,q,enrichment
10FTHFtm,-0.5214209354032817,0.0,0.0,0
12PPDRte,0.22792940830268454,4.5084989476454025e-207,5.574993185845518e-207,0
13_CIS_RETNte,0.03365482960687263,2.9285344156832935e-78,3.293377657989629e-78,0
15KPROSTGF2c,-1.0,0.0,0.0,-1
15KPROSTGF2t,7.490305312738466,0.0,0.0,1
2H3MVc,-1.3381328794949754,0.0,0.0,-1
2H3MVte,0.09950463365228979,8.329499266785476e-31,8.982365030994479e-31,0
2HIVc,0.04644412543648475,2.0469594201199992e-24,2.1794582318366274e-24,0
2HIVte,0.6962662326007405,1e-323,1.5e-323,0
2HYOXPLCte,-0.5209426941787482,0.0,0.0,0
2M3HVACc,-0.17449224871826516,1.3639763952989482e-80,1.537641376485351e-80,0
2M3HVACte,2.6906241677523415,0.0,0.0,1
2M3OVACm,-5.3182217520041615,0.0,0.0,-1
2M3OVACtm,0.9849342071132398,0.0,0.0,1
2M3OVCOAm,0.009035329726136732,1.0145595651922142e-37,1.1043779266989368e-37,0
2OXOADPt,-0.032132302751596474,3.623402135617007e-82,4.097223129825403e-82,0
34HPLte,1.0,0.0,0.0,1
34HPPte,1.580883911029094,0.0,0.0,1
3AIBSYMPt,-0.8647388658774535,0.0,0.0,-1
3AIB_Dtm,-1.0,0.0,0.0,-1
3AIBt1,-0.40357676957629934,3.930662208456009e-157,4.6987664190877555e-157,0
3DDCRNtr,-1.053514653986121,0.0,0.0,-1
3DECCRNtr,0.2234585450183912,0.0,0.0,0
3HDECECRNtr,1.1183253020774537,0.0,0.0,1
3HEXDCRNtr,-13.943633904688662,0.0,0.0,-1
3HPPNOHGLUCte,1.0,0.0,0.0,1
3HPPPNOHGLUCc,-1.0,0.0,0.0,-1
3HPPPNOHc,1.0,0.0,0.0,1
3HPVSCOAhc,1.6387401195001556,0.0,0.0,1
3HPVSCOAitm,0.9870505345596371,0.0,0.0,1
3HPVSCOAitx,-1.1882291219683123,1.2731334052701707e-160,1.52833822020918e-160,-1
3HPVSTETCOAhcm,-1.120492344747745,0.0,0.0,-1
3HPVSTETCOAhcx,-0.6882162817380951,0.0,0.0,0
3HPVSTETCOAitm,-0.8885777211359569,0.0,0.0,-1
3HPVSTETCOAitx,0.9212721185593076,0.0,0.0,1
3HPVSTEThc,0.9529237429443947,0.0,0.0,1
3HPVSTETtev,-0.5856621592211427,1.6854754603285594e-147,1.999982263121513e-147,0
3HPVStep,0.9112994909826205,0.0,0.0,1
3MHISc,-1.6742337495389676,0.0,0.0,-1
3MHISt1,1.6778703869381428,0.0,0.0,1
3MHISt2,-1.1331172410490764,0.0,0.0,-1
3MHISt3,0.224590933909757,8.66144540069212e-23,9.206206039046966e-23,0
3MOBte,0.45513184914372,9.435017633532794e-100,1.080749002219278e-99,0
3MOPte,21.561061038053456,0.0,0.0,1
3MTPte,-1.0,0.0,0.0,-1
3OCTDEC2CRNtr,-1.1002458418666334,0.0,0.0,-1
3OCTDECCRNtr,-0.7380653848784984,0.0,0.0,0
3PGtr,-0.47156011651050994,0.0,0.0,0
3TDCRNtr,0.6545449681679838,0.0,0.0,0
3TETD7ECOACRNtr,0.9833443452230858,0.0,0.0,1
3THEXDDCOACRNtr,-0.8519701542760162,0.0,0.0,-1
3TTETDDCOACRNtr,0.6353445329603893,0.0,0.0,0
3UIBtd,-1.0,0.0,0.0,-1
4AABUTNt,-0.3557990017431118,0.0,0.0,0
4GLU56DIHDINDt,1.0,0.0,0.0,1
4HPRO_LTte,1.0765347701074348,0.0,0.0,1
4OHBUTm,1.0,0.0,0.0,1
4OHBUTtce,1.0,0.0,0.0,1
4OHBUTtmc,1.0,0.0,0.0,1
4TMEABUTNt1,-0.29473946502550463,3.5958244973296406e-178,4.370491449792118e-178,0
