reaction,FC,p,q,enrichment
10FTHFtm,64.69838695580081,2.661071416000809e-103,3.2983147038552726e-103,1
12PPDRte,10.682881829661353,1.0036099693413032e-43,1.1611017215262994e-43,1
13DMTitr,-1.0,0.0,0.0,-1
13DMTtep,1.0,0.0,0.0,1
13_CIS_RETNte,103.99585981728931,1.1924416985568977e-147,1.560927690375482e-147,1
1513DTACRhr,-1.0,0.0,0.0,-1
1513DTALThr,-1.0,0.0,0.0,-1
1513TACRitr,-1.0,0.0,0.0,-1
1513TACRtep,-1.0,0.0,0.0,-1
15DMThr,17.73475962543764,0.0,0.0,1
15DMTitr,30.595260020860238,0.0,0.0,1
15DMTtep,61.93801173365201,0.0,0.0,1
15KPROSTGF2c,39.39669107782142,0.0,0.0,1
15KPROSTGF2t,21.811736825376606,0.0,0.0,1
1A25DHVITD3t2e,704.6536349267699,0.0,0.0,1
1A25DHVITD3te,291.50149382222395,0.0,0.0,1
2H3MVc,-291.5613831552444,0.0,0.0,-1
2H3MVte,981.6336367962872,0.0,0.0,1
2HATVACIDteb,-981.7150602370342,0.0,0.0,-1
2HATVACIDtep,-723.1440280269869,0.0,0.0,-1
2HATVLACteb,-417.32865559901916,0.0,0.0,-1
2HATVLACtep,228.49734744140093,0.0,0.0,1
2HIVc,472.57319795703404,0.0,0.0,1
2HIVte,-472.5262370277625,0.0,0.0,-1
2OXOADPt,15.723048774853504,0.0,0.0,1
2PGtr,1.0,0.0,0.0,1
34DHPEAR,1.0,0.0,0.0,1
34DHPEt,-1.0,0.0,0.0,-1
34DHPHELAT1tc,48.20248258599907,1.6896325289316771e-31,1.9140963716582925e-31,1
34HPPte,-36.55110541467957,0.0,0.0,-1
3AIBSYMPt,63.85264481809814,1.3476652766803696e-50,1.5742041465086148e-50,1
3AIB_Dtm,-314.5414833457017,0.0,0.0,-1
3AIBt1,-314.55353204780914,0.0,0.0,-1
3ANTHRNtr,-513.8743498412335,1.2694098169309316e-145,1.6504348973313784e-145,-1
3DDCRNtr,4.517125706109564,1.5077108787392942e-08,1.6171375139450032e-08,1
3H3MGLTc,-283.1936574296181,0.0,0.0,-1
3H3MGLTte,6.8790841738515915,0.0,0.0,1
3HDECECRNtr,-32.9923284434051,0.0,0.0,-1
3HEXDCRNtr,6.902876979195365,0.0,0.0,1
3HPVSCOAhc,12.206043671980833,0.0,0.0,1
3HPVSCOAitm,666.7035551112934,0.0,0.0,1
3HPVSCOAitx,-666.7632615041483,0.0,0.0,-1
3HPVSTETCOAhcm,22.841511460379113,3.2267965488408708e-195,4.413198295022732e-195,1
3HPVSTETCOAhcx,5.6188396324573215,1.6956722082046263e-80,2.0526558309845474e-80,1
3HPVSTETCOAitm,48.733414310202576,5.361897950605834e-295,8.003637434496643e-295,1
3HPVSTETCOAitx,208.3782098683765,0.0,0.0,1
3HPVSTEThc,22.50719441839108,0.0,0.0,1
3HPVSTETteb,68.60775765197486,0.0,0.0,1
3HPVSTETtev,68.51991953221483,0.0,0.0,1
3HPVSteb,81.17207275962018,0.0,0.0,1
3HPVStep,5.420612627267089,5.468336342810638e-190,7.441494373174811e-190,1
3ISPVSteb,18.76875203803833,3.974644549032851e-183,5.370785724923993e-183,1
3ISPVStep,22.827031970648857,6.039746711609588e-69,7.212362983589365e-69,1
3MHISc,25.741924875636276,5.79945125159847e-303,8.696514135776219e-303,1
3MHISt1,22.147085651551702,2.1690984895865576e-87,2.6424004725810135e-87,1
3MHISt2,205.76429188222778,4.6300573317739555e-85,5.623565357223406e-85,1
3MHISt3,108.0655818569521,0.0,0.0,1
3MOBte,48.83654842275115,3.881265517447761e-287,5.746243508605797e-287,1
3MOPte,11.28603107594974,1.3083182993061614e-143,1.696968850490041e-143,1
3MOX4HOXMte,-25.8982078849054,1.5469645577064662e-111,1.9350387765106544e-111,-1
3PGtr,25.860311677299517,5.219160459076596e-105,6.481284433210708e-105,1
3TDCRNtr,-47.334586401705415,0.0,0.0,-1
