reaction,FC,p,q,enrichment
10FTHFtm,24.441331587657057,0.0,0.0,1
12PPDRte,-366.58477714766326,0.0,0.0,-1
13DMThr,-1.0,0.0,0.0,-1
13DMTitr,-1.0,0.0,0.0,-1
13DMTtep,1.0,0.0,0.0,1
13_CIS_RETNte,40.215322213621725,1.5440767632095066e-127,1.7103336901226064e-127,1
15KPROSTGF2t,11.852346979438051,0.0,0.0,1
2H3MVc,34.479563445139505,1.5726158581962343e-73,1.6891899209468638e-73,1
2H3MVte,46.53678255647112,1.355144361029409e-126,1.500611834812227e-126,1
2HIVc,30.666452466071046,9.734507093401108e-236,1.1435742717926097e-235,1
2HIVte,414.75392383534006,0.0,0.0,1
2OXOADPt,-115.37555032115223,1.6633548817072527e-274,2.0001077105191504e-274,-1
2PGtr,-631.6820440088306,0.0,0.0,-1
34DHPEAR,1.0,0.0,0.0,1
34DHPEt,-1.0,0.0,0.0,-1
34DHPHELAT1tc,981.860144990537,0.0,0.0,1
34HPLFM,1.0,0.0,0.0,1
34HPLte,1.0,0.0,0.0,1
34HPLtm,-1.0,0.0,0.0,-1
34HPPte,-948.7199405363416,0.0,0.0,-1
3AIBSYMPt,-884.6642292725984,0.0,0.0,-1
3AIBt1,-949.2739394924914,0.0,0.0,-1
3ANTHRNtr,70.64593464031056,0.0,0.0,1
3DDCRNtr,949.5235483276025,0.0,0.0,1
3HDECECRNtr,-949.534043332379,0.0,0.0,-1
3HPPt,1.0,0.0,0.0,1
3HPPtm,-1.0,0.0,0.0,-1
3HPVSCOAhc,96.46530021639823,2.69323783086675e-268,3.2249574540668093e-268,1
3HPVSCOAitm,-98.8260065445565,0.0,0.0,-1
3HPVSCOAitx,31.135707020948487,1.2694098169309316e-145,1.4179010672617844e-145,1
3HPVSTETCOAhcm,-493.0178037357324,0.0,0.0,-1
3HPVSTETCOAhcx,-493.01780373558984,0.0,0.0,-1
3HPVSTETCOAitm,-562.4027902184264,2.497121852183699e-299,3.039974428745373e-299,-1
3HPVSTETCOAitx,12.069900549892175,6.029599546932299e-157,6.785804990261675e-157,1
3HPVSTEThc,84.85581716608796,0.0,0.0,1
3HPVSTETtev,84.24100443325325,7.645407109228087e-293,9.280148655399413e-293,1
3HPVStep,-451.38604114861835,0.0,0.0,-1
3MHISc,57.73811127764869,5.8063e-320,7.181e-320,1
3MHISt1,330.8985597270013,0.0,0.0,1
3MHISt2,57.028471279217,0.0,0.0,1
3MHISt3,18.493079821515195,0.0,0.0,1
3MOBte,169.66368955798634,1.3378606644311968e-283,1.6154971187878654e-283,1
3MOPte,-170.25869711758006,0.0,0.0,-1
3MOX4HOXMte,19.386808180411055,0.0,0.0,1
3MOXTYRt,-1.0,0.0,0.0,-1
3OCTDECE1CRNtr,9.921835516907507,0.0,0.0,1
3PGtr,55.7230574230581,0.0,0.0,1
3TDCRNtr,52.83238558848908,0.0,0.0,1
3TETD7ECOACRNtr,8.599306050101044,0.0,0.0,1
3TTETDDCOACRNtr,131.97858180043082,0.0,0.0,1
4AABUTNt,6.465787027311853,0.0,0.0,1
4HPRO_LTte,6.471551837491094,0.0,0.0,1
4MOPte,56.47127245804829,0.0,0.0,1
4OHPROIMINOtc,-1.0,0.0,0.0,-1
4TMEABUTNt1,25.339075943663598,4.300130681700573e-28,4.507088842851937e-28,1
4TMEABUTNt2,47.29665006498681,3.6925942050153146e-297,4.489461579980462e-297,1
56DTHMt,17.569281263122964,2.6343897049984874e-284,3.186251140439872e-284,1
56DTHMtd,7.591904366984129,0.0,0.0,1
56DURAt,91.15292394716076,0.0,0.0,1
56DURAtd,-23.384553393666682,0.0,0.0,-1
5AOPt,67.30438139473246,1.7179565482562423e-51,1.826861846289619e-51,1
5CYSDOPAt,-1.4014532459206763,0.0,0.0,-1
5EIPENCm,-1.0,0.0,0.0,-1
5EIPENCte,-1.0,0.0,0.0,-1
5EIPENCtm,-1.0,0.0,0.0,-1
5HOXINDOAtr,-1.0,0.0,0.0,-1
5HPETtd,27.471475507441568,0.0,0.0,1
5MTAte,10.88953873122258,5.79945125159847e-303,7.092662220345715e-303,1
5OHHEXAc,9.177562105279057,0.0,0.0,1
5OHHEXAte,-52.62548190095644,0.0,0.0,-1
5OXPROt,25.768937141400478,0.0,0.0,1
7BHGLZGLChr,56.774597729101835,0.0,0.0,1
7BHGLZGLCitr,440.4456472991394,0.0,0.0,1
7BHGLZGLCtev,-409.0307300328155,0.0,0.0,-1
7BHGLZitr,637.4989938613196,0.0,0.0,1
7BHGLZtev,480.8098342675251,0.0,0.0,1
7DHCHSTEROLtd,6.117127535764718,0.0,0.0,1
7DHCHSTEROLtr,-1.0,0.0,0.0,-1
7OHOCTAc,-1.0,0.0,0.0,-1
7OHOCTAte,-1.0,0.0,0.0,-1
ABTD1,82.04342498484515,3.4946943473231185e-221,4.075866504676258e-221,1
ABT_Dt2,36.213036770908374,3.1980501107557167e-86,3.4540425210134246e-86,1
ACGALtr,6.383603429394617,1.2936556229237495e-16,1.346443135765244e-16,1
ACLEUm,-3.2923311197124057,0.0,0.0,-1
ACLEUte,503.8510574471152,0.0,0.0,1
ACLEUtm,90.7288340581789,0.0,0.0,1
ACLYSHYc,13.596098149390984,0.0,0.0,1
ACLYSt,394.4601585634201,0.0,0.0,1
ACNAMt2,-39.92742316646772,0.0,0.0,-1
ACNAMtr,67.81626955241215,0.0,0.0,1
ACOX22x,53.64785151140344,0.0,0.0,1
ACRNtr,21.207390122358692,0.0,0.0,1
ACTHRtc,-1.0,0.0,0.0,-1
ACTHRte,-1.0,2.926029338908267e-240,3.441735078362093e-240,-1
ACt2m,-402.5943556761049,0.0,0.0,-1
ADNK3,1.0,8.54222456081789e-247,1.009560274975748e-246,1
ADPOHc,260.23345714616255,0.0,0.0,1
ADPOHt,22.40751134319713,5.9784459651486875e-40,6.3195381136006184e-40,1
AHCYSte,22.398996992320694,6.249851255161757e-122,6.896132170139965e-122,1
AICARte,66.54175325770278,0.0,0.0,1
ALAALACNc,96.11723249236009,0.0,0.0,1
AM4N9CShc,-1.0,0.0,0.0,-1
AM4N9CStev,-1.0,0.0,0.0,-1
AM4NCShr,-1.0,0.0,0.0,-1
AM4NCStep,-1.0,0.0,0.0,-1
AM9CSAtep,1.0,7.246722675952085e-113,7.93262646832615e-113,1
AMETAMte,106.52849785961465,1.3071950068082352e-34,1.3732000579277484e-34,1
AMETt,129.4865501339008,2.0143404317303341e-112,2.2030554384038304e-112,1
AMY2e,157.94940000465562,0.0,0.0,1
ANDRSTANDRtr,506.7276086466864,0.0,0.0,1
ANTHte,10.453694970922937,0.0,0.0,1
ARACHDCOAtx,73.79532412331396,4.109440377922466e-30,4.309646850854199e-30,1
ARACHDFATPtc,-492.03091040453165,0.0,0.0,-1
ARACHDtr,129.69904319303797,0.0,0.0,1
ARACHFATPc,129.79887382305446,0.0,0.0,1
ARGALAALAr,-585.232717492745,0.0,0.0,-1
ARGALAALAt,420.20753727979735,0.0,0.0,1
ARGGLYGLYr,-1.0,0.0,0.0,-1
ARGGLYGLYt,-1.0,0.0,0.0,-1
BALABETAtc2,1.0,0.0,0.0,1
