reaction,FC,p,q,enrichment
12PPDRte,-0.3233470607697231,3.866163455650273e-91,4.499625755466121e-91,0
13_CIS_RETNte,-7.818513875600856,0.0,0.0,-1
15KPROSTGF2t,-0.5123960194467335,2.954780090542833e-124,3.5322615414632563e-124,0
2H3MVc,0.228120034861347,2.3238432018190207e-83,2.6903799844403175e-83,0
2H3MVte,0.4773029918473994,2.7065803535976155e-150,3.2988320693479427e-150,0
2HIVc,0.07262582026237459,1.2696120775805016e-24,1.36419280814847e-24,0
2HIVte,-0.41219789019943043,0.0,0.0,0
2OXOADPt,0.7821100711216228,0.0,0.0,0
31DMThr,-1.0,0.0,0.0,-1
31DMTitr,-1.0,0.0,0.0,-1
31DMTtep,1.0,0.0,0.0,1
34HPLte,-1.0,0.0,0.0,-1
34HPPte,1.4823883078641198,0.0,0.0,1
3AIBSYMPt,3.464262465302933,0.0,0.0,1
3AIB_Dtm,-1.0,0.0,0.0,-1
3AIBt1,2.2524443220258124,0.0,0.0,1
3ANTHRNtr,-1.0,0.0,0.0,-1
3DDCRNtr,1.0,0.0,0.0,1
3DECCRNtr,-1.1725861230538392,0.0,0.0,-1
3HDECECRNtr,-0.8955791590423772,0.0,0.0,-1
3HEXDCRNtr,-1.0,0.0,0.0,-1
3HPPt,-0.09678430775335671,1.040133254136763e-73,1.1883639358055096e-73,0
3HPPtm,-0.5143459314747707,1.1090105986229903e-175,1.3781271660089303e-175,0
3HPVSCOAhc,-2.6695174867367277,0.0,0.0,-1
3HPVSCOAitm,1.1152840611061852,0.0,0.0,1
3HPVSCOAitx,-1.0475186931870162,0.0,0.0,-1
3HPVSTETCOAhcm,1.3942428367725517,0.0,0.0,1
3HPVSTETCOAhcx,3.398847183629992,0.0,0.0,1
3HPVSTETCOAitm,0.7427539628539888,0.0,0.0,0
3HPVSTETCOAitx,0.6345541525199331,1.6854754603285594e-147,2.0482433574191434e-147,0
3HPVSTEThc,1.0636871060558977,0.0,0.0,1
3HPVSTETtev,0.19773169175352023,5.313103337559263e-134,6.390815849948378e-134,0
3HPVStep,-1.235134665998718,0.0,0.0,-1
3ISPVShc,-1.0,0.0,0.0,-1
3ISPVStep,1.0,0.0,0.0,1
3MHISc,-0.5654080664366956,6.049929117922466e-147,7.343960263321539e-147,0
3MHISt1,0.18169879890543048,3.4392828740186846e-23,3.685902444154353e-23,0
3MHISt2,0.4671948327528068,0.0,0.0,0
3MHISt3,-0.6196592186979177,0.0,0.0,0
3MOBt2im,1.0,0.0,0.0,1
3MOBte,-0.2509592894198711,8.342554314270397e-225,1.0734498208038615e-224,0
3MOPte,-0.7152223331559956,0.0,0.0,0
3MOX4HOXMte,-0.6228878136858923,6.815761696355057e-276,9.12544016338093e-276,0
3MTPte,-0.9602614112296767,0.0,0.0,-1
3OCTDEC2CRNtr,-1.0,0.0,0.0,-1
3PGtr,-0.46759240904467164,3.476699126770538e-269,4.6323264282868436e-269,0
3TDCRNtr,-1.0,0.0,0.0,-1
3TETD7ECOACRNtr,-1.0,0.0,0.0,-1
3THEXDDCOACRNtr,-1.0,0.0,0.0,-1
3TTETDDCOACRNtr,-1.0,0.0,0.0,-1
3UIBtd,1.0,0.0,0.0,1
4AABUTNt,0.5558330172979873,0.0,0.0,0
4GLU56DIHDINDt,0.6825037231619647,3.7741254417171835e-280,5.067453794305632e-280,0
4HPRO_LTte,-0.20255370761943406,2.6270185242115367e-139,3.1725931208302397e-139,0
4TMEABUTNt1,-0.849659190222657,0.0,0.0,-1
4TMEABUTNt2,-0.8910878385623778,0.0,0.0,-1
56DTHMt,-0.876748589695202,0.0,0.0,-1
56DTHMtd,-0.4963675543967346,0.0,0.0,0
56DURAt,1.5683975015179454,0.0,0.0,1
56DURAtd,-0.7982790249179132,0.0,0.0,0
5AOPt,0.846759670336268,0.0,0.0,1
5AOPt2,-1.0,0.0,0.0,-1
5EIPENCm,-1.0,0.0,0.0,-1
5EIPENCte,-1.0,0.0,0.0,-1
5EIPENCtm,-1.0,0.0,0.0,-1
5HPETtd,0.6784087299618669,0.0,0.0,0
5MTAte,2.679392990344281,0.0,0.0,1
5OHHEXAc,1.0,0.0,0.0,1
5OHHEXAte,-1.0,0.0,0.0,-1
5OXPROt,-1.0,0.0,0.0,-1
7DHCHSTEROLtd,-0.45744434239347936,0.0,0.0,0
7OHOCTAc,-0.9742741399906777,0.0,0.0,-1
7OHOCTAte,1.2447226821655382,0.0,0.0,1
ABTD1,0.12973786768419393,0.0,0.0,0
ABT_Dt2,3.249985192720729,0.0,0.0,1
ACGALtr,0.10454091490211045,2.0545862271954644e-21,2.1912490501861863e-21,0
ACGLYtc,1.0,0.0,0.0,1
ACGLYte,-1.0,0.0,0.0,-1
ACILEm,-0.9092438398244219,0.0,0.0,-1
ACILEte,0.5362752758102882,0.0,0.0,0
ACILEtm,0.6539093291101147,0.0,0.0,0
ACLYSHYc,1.033230870577569,0.0,0.0,1
ACLYSt,-0.9987659242781228,0.0,0.0,-1
ACNAMtr,0.9834116260410775,0.0,0.0,1
ACOX22x,-1.0,0.0,0.0,-1
ACTYRm,1.0,0.0,0.0,1
ACTYRtc,-1.0,0.0,0.0,-1
ACTYRte,-1.0,0.0,0.0,-1
ACt2m,0.9713873677067971,0.0,0.0,1
ADPOHc,-0.7873094037983477,0.0,0.0,0
ADPOHt,0.8815364073858032,0.0,0.0,1
ADRNCOAtx,-1.0,0.0,0.0,-1
AHCYSte,0.224554796998025,1.0354287586439385e-19,1.100392918211367e-19,0
AICARte,2.544869027369588,0.0,0.0,1
ALAALACNc,-8.845325193901518,0.0,0.0,-1
ALDD21,-1.0244940081228773,0.0,0.0,-1
AM1ALCShr,-1.0,0.0,0.0,-1
AM1ALCStep,-1.0,0.0,0.0,-1
AM1CSAtep,-1.0,0.0,0.0,-1
AM4N9CShc,-1.0,0.0,0.0,-1
AM4N9CStev,-1.0,0.0,0.0,-1
AM4NCShr,-1.0,0.0,0.0,-1
AM4NCStep,-1.0,0.0,0.0,-1
AM9CSAtep,-1.0,0.0,0.0,-1
AMETAMte,1.0,0.0,0.0,1
AMETt,1.2348391686538054,0.0,0.0,1
AMY2e,-1.03145505717746,0.0,0.0,-1
ANDRSTANDRtr,-0.7324926105713323,6.7025e-320,9.2865e-320,0
ANTHte,1.0,0.0,0.0,1
ARACHDCOAtx,1.1196821607905203,0.0,0.0,1
ARACHDtr,0.07367596147327633,4.312386962685144e-45,4.765411220391111e-45,0
ARACHFATPc,1.0,0.0,0.0,1
ARGALAALAr,-0.0627086255883423,2.980114180184982e-14,3.148853850656109e-14,0
ARGALAALAt,-0.7345851821954916,0.0,0.0,0
ARGGLYGLYr,-2.296631104585888,0.0,0.0,-1
ARGGLYGLYt,-0.6380291098191403,0.0,0.0,0
ARGN1ASPMDte,1.0,0.0,0.0,1
ARGSUCte,0.5907433884968468,3.1175017620540427e-196,3.933196455334035e-196,0
ATVACIDMCTtu,1.0737337385433896,0.0,0.0,1
ATVACIDtdu,0.946679513826024,0.0,0.0,1
BALAPAT1tc2,0.9513924692589651,0.0,0.0,1
BALAVECSEC,1.0,0.0,0.0,1
BETBGTtc,1.229864577525049,0.0,0.0,1
BGAL1e,0.8441650242592962,0.0,0.0,1
BGAL1l,0.9641326477074587,0.0,0.0,1
BGAL2l,1.0103187388799988,0.0,0.0,1
