reaction,FC,p,q,enrichment
10FTHFtm,-0.31211092779741334,1.0148679071081967e-90,1.1117214344824635e-90,0
12HTACRhr,-1.0,0.0,0.0,-1
12HTACRitr,-1.0,0.0,0.0,-1
12HTACRtep,1.0,0.0,0.0,1
12PPDRte,-1.0951322212842431,0.0,0.0,-1
13DAMPPOX,-0.7041675096515561,0.0,0.0,0
13_CIS_RETNte,0.42784539682189443,4.27987202778611e-143,4.806085801694239e-143,0
14HMDZALThr,-1.0,0.0,0.0,-1
14HMDZhr,-1.0,0.0,0.0,-1
14HMDZitr,-1.0,3.1175017620540427e-196,3.6017491793915994e-196,-1
14MDZtev,1.0,0.0,0.0,1
15HPETATP,1.0,0.0,0.0,1
15KPROSTGF2t,1.0,0.0,0.0,1
1OHMDZhr,-1.0,0.0,0.0,-1
2H3MVc,2.353209196382992,0.0,0.0,1
2H3MVte,4.315190849737617,0.0,0.0,1
2HATVACIDOXDhc,-1.0,0.0,0.0,-1
2HATVACIDitr,1.0,0.0,0.0,1
2HATVACIDtep,-1.0,0.0,0.0,-1
2HIVc,-0.286038599946865,2.3238432018190207e-83,2.538416172357351e-83,0
2HIVte,-0.6288717634558227,0.0,0.0,0
2M3HVACc,1.0,0.0,0.0,1
2M3HVACte,1.0,0.0,0.0,1
2M3OVACm,1.0,0.0,0.0,1
2M3OVACtm,-1.0,0.0,0.0,-1
2M3OVCOAm,-1.0,0.0,0.0,-1
2OXOADPt,-0.4647624518553058,3.9286795575290805e-105,4.331542596268433e-105,0
2PGtr,2.7952596191352326,0.0,0.0,1
31DMThr,1.0,0.0,0.0,1
31DMTitr,-1.0,0.0,0.0,-1
31DMTtep,1.0,0.0,0.0,1
34DHPEAR,-1.0,0.0,0.0,-1
34DHPEt,-1.0,0.0,0.0,-1
35DSMVhep,1.0,0.0,0.0,1
35DSMVitr,-1.0,0.0,0.0,-1
35DSMVteb,-1.0,0.0,0.0,-1
3AIBSYMPt,-0.18003479832015915,1.3529081395435592e-72,1.4729046061629058e-72,0
3AIB_Dtm,-1.0,0.0,0.0,-1
3AIBt1,1.0098973325864198,0.0,0.0,1
3ANTHRNtr,1.0,0.0,0.0,1
3DDCRNtr,-1.0,0.0,0.0,-1
3DECCRNtr,1.0,0.0,0.0,1
3DHCDCHOLabc,1.0,0.0,0.0,1
3DHCDCHOLt,1.0,0.0,0.0,1
3HDECECRNtr,-1.0,0.0,0.0,-1
3HEXDCRNtr,1.0,0.0,0.0,1
3HPVSCOAhc,-0.830256016869906,0.0,0.0,-1
3HPVSCOAitm,0.6656510300371756,0.0,0.0,0
3HPVSCOAitx,0.9337027671405506,0.0,0.0,1
3HPVSTETCOAhcm,-1.923872025024999,0.0,0.0,-1
3HPVSTETCOAhcx,1.0305144908339037,0.0,0.0,1
3HPVSTETCOAitm,-4.771725804023045,0.0,0.0,-1
3HPVSTETCOAitx,-0.20956778345415045,0.0,0.0,0
3HPVSTEThc,-1.2188894967507145,0.0,0.0,-1
3HPVSTETtev,1.097365493640769,0.0,0.0,1
3HPVStep,-1.2695670595980126,0.0,0.0,-1
3HSMVACIDhep,-1.0,0.0,0.0,-1
3HSMVACIDteb,-1.0,0.0,0.0,-1
3HSMVhep,-1.0,0.0,0.0,-1
3HSMVitr,-1.0,0.0,0.0,-1
3MHISc,-0.41488516171730333,5.9614800888747065e-230,6.9901728154199e-230,0
3MHISt1,-1.7673662905609098,0.0,0.0,-1
3MHISt2,-0.384654292552873,5.891282272920167e-191,6.797140943518595e-191,0
3MHISt3,-0.4283775745095142,1.1072502845543827e-180,1.2682017148064895e-180,0
3MOBte,0.09371335272011737,9.907298369738481e-18,1.0373840280147765e-17,0
3MOPte,-1.0719502874274367,0.0,0.0,-1
3MOX4HOXMte,-0.8874476653359519,0.0,0.0,-1
3MOXTYRt,-1.0,0.0,0.0,-1
3MTPte,-1.0,0.0,0.0,-1
3OCTDEC2CRNtr,-1.0,0.0,0.0,-1
3OCTDECCRNtr,-1.0,0.0,0.0,-1
3PGtr,2.955116912383232,0.0,0.0,1
3TDCRNtr,-1.0,0.0,0.0,-1
3TETD7ECOACRNtr,-1.0,0.0,0.0,-1
3THEXDDCOACRNtr,-1.0,0.0,0.0,-1
3TTETDDCOACRNtr,-1.0,0.0,0.0,-1
3UIBtd,1.0,0.0,0.0,1
4AABUTNt,-0.798187255994504,0.0,0.0,0
4GLU56DIHDINDt,0.6898273284326808,3.183898771e-314,3.865642676e-314,0
4HATVACIDOXDhc,-1.0,0.0,0.0,-1
4HATVACIDitr,-1.0,0.0,0.0,-1
4HATVACIDtep,1.0,0.0,0.0,1
4HATVLACOXDhc,-1.0,0.0,0.0,-1
4HATVLACitr,-1.0,0.0,0.0,-1
