reaction,FC,p,q,enrichment
10FTHFtm,-1.0,0.0,0.0,-1
12DHCHOLabc,0.10738909181368989,4.101461018780163e-43,7.194006492833656e-43,0
12DHCHOLt,0.8093151392621784,0.0,0.0,0
15KPROSTGF2c,0.0,1.0,1.0,0
15KPROSTGF2t,0.0,1.0,1.0,0
1A25DHVITD3te,-1.0,0.0,0.0,-1
2H3MVc,0.0,1.0,1.0,0
2HATVACIDhc,1.0,0.0,0.0,1
2HATVACIDteb,0.09350679559956399,1.1412985810949231e-07,1.887702540647305e-07,0
2HATVACIDtep,-1.0,0.0,0.0,-1
2HATVLACteb,-0.8211945349285402,0.0,0.0,-1
2HATVLACtep,0.05635483070191173,3.2883325105696894e-75,5.966574393646449e-75,0
2HIVc,0.0,1.0,1.0,0
2M3OVCOAm,0.0,1.0,1.0,0
2MB2COAc,0.0,1.0,1.0,0
34DHPEAR,0.0,1.0,1.0,0
34DHPHELAT1tc,0.0,1.0,1.0,0
3DHCDCHOLabc,0.1691544925345164,1.3591194647620518e-48,2.3977184103208062e-48,0
3DHCDCHOLt,0.8045214255222335,0.0,0.0,0
3DHCHOLabc,0.603278096365936,0.0,0.0,0
3DHCHOLt,-0.5965445135317919,0.0,0.0,0
3DHDCAabc,1.3857236255558025,0.0,0.0,1
3DHDCAt,-0.0250331182420502,0.0,0.0,0
3DHLCAabc,-1.0000011974472836,0.0,0.0,-1
3DHLCAt,1083.6943455850485,0.0,0.0,1
3HBCOARc,0.0,1.0,1.0,0
3HPVSCOAhc,0.0,1.0,1.0,0
3HPVSCOAitm,0.0,1.0,1.0,0
3HPVSCOAitx,0.0,1.0,1.0,0
3HPVSTETCOAhcm,0.0,1.0,1.0,0
3HPVSTETCOAhcx,0.0,1.0,1.0,0
3HPVSTETteb,-0.33516102216413846,0.0,0.0,0
3HPVSTETtev,-0.0474376202371068,1.2169340874898888e-143,2.341609634050941e-143,0
3HPVSteb,-3.3194843291537413,0.0,0.0,-1
3HPVStep,0.9646711508304036,0.0,0.0,1
3ISPVSteb,-0.4525004342155016,0.0,0.0,0
3ISPVStep,0.8950404357914329,0.0,0.0,1
4HATVACIDhc,-1.0,0.0,0.0,-1
4HATVACIDteb,3.4009492199663103,0.0,0.0,1
4HATVACIDtep,-1.0,0.0,0.0,-1
4HATVLACteb,0.539781037676291,2.4605561027288845e-244,5.199113588719506e-244,0
4HATVLACtep,-0.5369098171344429,0.0,0.0,0
56DHPVSteb,0.6276312010805462,0.0,0.0,0
56DHPVStev,-0.3132174137974424,0.0,0.0,0
56EPPVSteb,-0.9672125766440623,0.0,0.0,-1
56EPPVStev,-0.5957920804004894,1.522399152854421e-166,2.9887246720862115e-166,0
5EIPENCm,0.0,1.0,1.0,0
5HPETtd,0.0,1.0,1.0,0
6EPSteb,-0.5957920804044861,1.522399152854421e-166,2.9887246720862115e-166,0
6EPVStep,0.13217196413173748,1.844783660088942e-37,3.2132996432268172e-37,0
7DHCDCHOLabc,-0.5760444851873057,2.1989006468629906e-162,4.30096897166229e-162,0
7DHCDCHOLt,0.9096309037834736,0.0,0.0,1
7DHCHOLabc,0.9933274113883259,0.0,0.0,1
7DHCHOLt,0.4190202132710661,6.35561979903014e-177,1.2598959936338688e-176,0
7DHCHSTEROLtd,-1.0,0.0,0.0,-1
