reaction,FC,p,q,enrichment
10FTHFtm,-1.0,0.0,0.0,-1
1A25DHVITD3te,-1.0,0.0,0.0,-1
2H3MVc,0.0,1.0,1.0,0
2HIVc,0.0,1.0,1.0,0
2M3OVCOAm,0.0,1.0,1.0,0
2MB2COAc,0.0,1.0,1.0,0
34DHPEAR,0.0,1.0,1.0,0
34DHPHELAT1tc,0.0,1.0,1.0,0
34HPLFM,-1.0,0.0,0.0,-1
3DPHBH1,-1.0,0.0,0.0,-1
3HBCOARc,0.0,1.0,1.0,0
3HPVSCOAhc,0.0,1.0,1.0,0
3HPVSCOAitm,0.0,1.0,1.0,0
3HPVSCOAitx,0.0,1.0,1.0,0
3HPVSTETCOAhcm,0.0,1.0,1.0,0
3HPVSTETCOAhcx,0.0,1.0,1.0,0
3HPVStep,0.0,1.0,1.0,0
4HBZCOAFm,-1.0,0.0,0.0,-1
4HBZFm,-1.0,0.0,0.0,-1
5EIPENCm,0.0,1.0,1.0,0
5HPETtd,0.0,1.0,1.0,0
ACCOAL,-1.0,0.0,0.0,-1
ACCOAtr,0.0,1.0,1.0,0
ALAALACNc,0.0,1.0,1.0,0
AM4N9CShc,0.0,1.0,1.0,0
AM9CSAtep,0.0,1.0,1.0,0
AMACR2p,0.0,1.0,1.0,0
AMY2e,49.06941024981895,6.809642124156986e-78,1.2524823933334978e-77,1
ANDRSTANDRtr,-1.0,0.0,0.0,-1
ARACHCOAtx,96.50983688529195,0.0,0.0,1
B3GNT312g,0.0,1.0,1.0,0
BGAL1e,188.69866382139665,0.0,0.0,1
BGAL1l,0.0,1.0,1.0,0
BGAL2l,0.0,1.0,1.0,0
BGAL3l,0.0,1.0,1.0,0
BGLYte,0.0,1.0,1.0,0
BTNt4i,-1.0,0.0,0.0,-1
C04717td,0.0,1.0,1.0,0
C100CPT1,0.0,1.0,1.0,0
C10DCc,0.0,1.0,1.0,0
C10OHc,0.0,1.0,1.0,0
C120CPT1,0.0,1.0,1.0,0
C12OHc,0.0,1.0,1.0,0
C13856te,0.0,1.0,1.0,0
C140CPT1,656.8012535382533,0.0,0.0,1
C141ACBP,0.0,1.0,1.0,0
C141OHc,0.0,1.0,1.0,0
C142ACBP,0.0,1.0,1.0,0
C142CPT1,0.0,1.0,1.0,0
C142OHc,0.0,1.0,1.0,0
C14770UPKt,0.0,1.0,1.0,0
C14771UPKt,0.0,1.0,1.0,0
C14OHc,0.0,1.0,1.0,0
C14STRr,-1.0,0.0,0.0,-1
C161CPT12,32.253220160397056,0.0,0.0,1
C161CPT22,252.00628460915544,0.0,0.0,1
C161OHc,0.0,1.0,1.0,0
C162ACBP,0.0,1.0,1.0,0
C162OHc,0.0,1.0,1.0,0
C16DCc,0.0,1.0,1.0,0
C16DCtr,0.0,1.0,1.0,0
C16OHc,0.0,1.0,1.0,0
C181CPT1,555.5211268884889,0.0,0.0,1
C181CPT2rbc,-1.0,0.0,0.0,-1
C182OHc,0.0,1.0,1.0,0
C18OHc,0.0,1.0,1.0,0
C226CRNt,-1.0,0.0,0.0,-1
C3STDH1Pr,0.0,1.0,1.0,0
C3STDH1r,0.0,1.0,1.0,0
C3STKR2r,0.0,1.0,1.0,0
