reaction,FC,p,q,enrichment
10FTHFtm,-1.0,0.0,0.0,-1
13DAMPPOX,0.0,1.0,1.0,0
1A25DHVITD3t2e,1.0,0.0,0.0,1
1A25DHVITD3te,1.0,0.0,0.0,1
2H3MVc,0.0,1.0,1.0,0
2HIVc,0.0,1.0,1.0,0
2HYOXPLCte,0.0,1.0,1.0,0
2M3OVCOAm,0.0,1.0,1.0,0
2MB2COAc,0.0,1.0,1.0,0
34DHPEAR,0.0,1.0,1.0,0
34DHPHELAT1tc,0.0,1.0,1.0,0
34HPLFM,-1.0,0.0,0.0,-1
3DPHBH1,-1.0,0.0,0.0,-1
3HBCOARc,0.0,1.0,1.0,0
3HPPt,-1.0,0.0,0.0,-1
3HPPtm,-1.0,0.0,0.0,-1
3HPVSCOAhc,0.0,1.0,1.0,0
3HPVSCOAitm,0.0,1.0,1.0,0
3HPVSCOAitx,0.0,1.0,1.0,0
3HPVSTETCOAhcm,0.0,1.0,1.0,0
3HPVSTETCOAhcx,0.0,1.0,1.0,0
3HPVStep,0.0,1.0,1.0,0
4HBZCOAFm,-1.0,0.0,0.0,-1
4HBZFm,1.0,0.0,0.0,1
5EIPENCm,0.0,1.0,1.0,0
5HPETtd,0.0,1.0,1.0,0
ACCOAL,-0.7110767760105199,1.4405310108367696e-195,3.0079112025947736e-195,0
ACNAMt2,0.0,1.0,1.0,0
AK2LGCHOLABCt,1.0,0.0,0.0,1
ALAALACNc,0.0,1.0,1.0,0
AMACR2p,0.0,1.0,1.0,0
AMY2e,-0.7819109718818197,2.0352396094835964e-263,4.566350726422688e-263,0
ANDRSTANDRtr,-1.0,0.0,0.0,-1
ARACHCOAtx,-1.0,0.0,0.0,-1
ASNATB0tc,1.0,0.0,0.0,1
ATPtg,0.0,1.0,1.0,0
ATVACIDMCTtu,0.0,1.0,1.0,0
BGAL1e,-2.0017992359850103,0.0,0.0,-1
BGAL1l,0.0,1.0,1.0,0
BGAL2l,0.0,1.0,1.0,0
BGLYte,0.0,1.0,1.0,0
BTNTe,1.0,0.0,0.0,1
BUTt2m,0.0,1.0,1.0,0
BUTt2r,-0.2967937699041942,0.0,0.0,0
C05957t,0.0,1.0,1.0,0
C05957td,0.0,1.0,1.0,0
C141ACBP,0.0,1.0,1.0,0
C142ACBP,0.0,1.0,1.0,0
C14STRr,0.0,1.0,1.0,0
C161CPT22,1.744573414888871,0.0,0.0,1
C161CRN2t,1.0,0.0,0.0,1
C162ACBP,0.0,1.0,1.0,0
C181CPT2,-0.37069880756529655,0.0,0.0,0
C181CPT2rbc,0.9999948145725615,0.0,0.0,1
C226CRNt,0.0024190947430623513,1.4776675436423948e-07,2.4502931208825375e-07,0
C3STDH1Pr,0.0,1.0,1.0,0
C3STDH1r,0.0,1.0,1.0,0
C3STKR2r,0.0,1.0,1.0,0
C4STMO1r,0.0,1.0,1.0,0
C4STMO2Pr,0.0,1.0,1.0,0
C4STMO2r,0.0,1.0,1.0,0
CAATPS,0.0,1.0,1.0,0
CARNtr,0.0,1.0,1.0,0
CE5025t,9.27231365065787,0.0,0.0,1
CITtam,1.1791576208260912,0.0,0.0,1
CLS_hs,-1.0,0.0,0.0,-1
COKEte,0.0,1.0,1.0,0
COKEtr,0.0,1.0,1.0,0
COUCOAFm,-1.0,0.0,0.0,-1
CRNATBtc,0.0,1.0,1.0,0
CYOOm3i,0.15399496567225568,1.4539281678631267e-82,2.7186808619382464e-82,0
CYSSNAT5tc,-1.0000000295252718,0.0,0.0,-1
Coqe,-1.0,0.0,0.0,-1
Cov2VBOF,0.0,1.0,1.0,0
DACGST,0.0,1.0,1.0,0
DACT,-1.0330493743825306,0.0,0.0,-1
DAGKn_hs,0.0,1.0,1.0,0
DEOXFVShc,0.0,1.0,1.0,0
DESAT14_9,0.0,1.0,1.0,0
DESAT16_2,-0.7212128732966724,0.0,0.0,0
DESAT18_10,0.8650429058305438,0.0,0.0,1
DESAT18_3,0.6197928209829816,1.3253186706370208e-201,2.7857390783362087e-201,0
DESAT18_4,-0.9640951396818962,0.0,0.0,-1
DESAT18_5,1.12940679662982,0.0,0.0,1
DESAT18_6,0.17006791039948094,4.9820358842452125e-21,8.449639760762778e-21,0
DESAT18_7,-1.0411437999151263,0.0,0.0,-1
DESAT18_8,0.9261078866239082,0.0,0.0,1
DESAT18_9,0.8977703486484672,0.0,0.0,1
DESAT20_1,0.9953361197188321,0.0,0.0,1
DESAT20_2,-1.005301981278888,0.0,0.0,-1
DGTPtm,0.0,1.0,1.0,0
DHCHOLESTANATEt,0.0,1.0,1.0,0
DHCR243r,0.0,1.0,1.0,0
DHCR71r,0.0,1.0,1.0,0
DHCR72r,0.0,1.0,1.0,0
DHFtm,0.0,1.0,1.0,0
DMATTx,0.0,1.0,1.0,0
DOLGLCP_Lter,0.0,1.0,1.0,0
DOPAc,0.6174650082068454,3.249629335590343e-173,6.671587499583204e-173,0
DPMVDx,0.0,1.0,1.0,0
DSREDUCr,0.0,1.0,1.0,0
EBP1r,-0.9184486310786962,0.0,0.0,-1
EBP2r,-0.9935161912336079,0.0,0.0,-1
EIC21114TRc,0.0,1.0,1.0,0
ELAIDCPT2,1.0033436569151821,0.0,0.0,1
ETF,1.0,0.0,0.0,1
ETFQO,-1.0,0.0,0.0,-1
EX_12HPET[e],-0.9631208981892845,0.0,0.0,-1
EX_1a25dhvitd3[e],0.0,1.0,1.0,0
EX_23cump[e],1.0026962294716086,0.0,0.0,1
EX_2hyoxplac[e],0.0,1.0,1.0,0
EX_3hpp[e],-1.0,0.0,0.0,-1
EX_3hpvs[e],0.0,1.0,1.0,0
EX_3ump[e],1.091882200109122,0.0,0.0,1
EX_5HPET[e],0.0,1.0,1.0,0
EX_C04849[e],0.39793745073558434,2.6286953341851004e-218,5.599814765804756e-218,0
EX_C05957[e],0.0,1.0,1.0,0
EX_CE0074[e],-0.017618623809415514,4.361853008614382e-112,8.42610504820925e-112,0
EX_CE2510[e],-0.6789854052825345,1.4685196501948222e-112,2.842634465734263e-112,0
EX_CE5025[e],0.15417472690346534,3.1690847643253713e-32,5.507790928012121e-32,0
EX_HC00003[e],1.0,0.0,0.0,1
EX_HC00004[e],0.0,1.0,1.0,0
EX_HC00822[e],-1.0,0.0,0.0,-1
EX_HC01609[e],-1.3846098050025657,0.0,0.0,-1
