reaction,FC,p,q,enrichment
10FTHFtm,35.85859825587895,3.5581852277886497e-10,6.380357941822085e-10,1
12DHCHOLabc,5.784900755269055,0.0,0.0,1
12DHCHOLt,6.859899205283218,0.0,0.0,1
12HTACRhr,0.0,1.0,1.0,0
13DAMPPOX,0.0,1.0,1.0,0
14HMDZALThr,0.0,1.0,1.0,0
14HMDZhr,0.0,1.0,1.0,0
15KPROSTGF2c,0.0,1.0,1.0,0
1A25DHVITD3t2e,6.859899205283218,0.0,0.0,1
1A25DHVITD3te,-555.8196849637841,0.0,0.0,-1
1OHMDZhr,0.0,1.0,1.0,0
2H3MVc,0.0,1.0,1.0,0
2HATVACIDOXDhc,0.0,1.0,1.0,0
2HATVLACOXDhc,0.0,1.0,1.0,0
2HIVc,0.0,1.0,1.0,0
2M3OVCOAm,0.0,1.0,1.0,0
2MB2COAc,0.0,1.0,1.0,0
34DHPEAR,0.0,1.0,1.0,0
34DHPHELAT1tc,0.0,1.0,1.0,0
34HPLFM,-1.0,0.0,0.0,-1
35DSMVhep,0.0,1.0,1.0,0
3DHCDCHOLabc,16.403576310509127,0.0,0.0,1
3DHCDCHOLt,426.484808732628,0.0,0.0,1
3DHCHOLabc,248.29583310102632,0.0,0.0,1
3DHCHOLt,283.5774422002591,0.0,0.0,1
3DHDCAabc,108.63228597996579,0.0,0.0,1
3DHDCAt,926.8795552151036,0.0,0.0,1
3DHLCAabc,-926.8795552150987,0.0,0.0,-1
3DHLCAt,964.2569159559177,0.0,0.0,1
3DPHBH1,-1.0,0.0,0.0,-1
3HBCOARc,0.0,1.0,1.0,0
3HPVSCOAhc,0.0,1.0,1.0,0
3HPVSCOAitm,0.0,1.0,1.0,0
3HPVSCOAitx,0.0,1.0,1.0,0
3HPVSTETCOAhcm,0.0,1.0,1.0,0
3HPVSTETCOAhcx,0.0,1.0,1.0,0
3HPVStep,0.0,1.0,1.0,0
3HSMVhep,0.0,1.0,1.0,0
4HATVACIDOXDhc,0.0,1.0,1.0,0
4HATVLACOXDhc,0.0,1.0,1.0,0
4HBZCOAFm,-1.0,0.0,0.0,-1
4HBZFm,-1.0,0.0,0.0,-1
4OHMDZhr,0.0,1.0,1.0,0
5AOPt2,0.0,1.0,1.0,0
5FTHFt2,6.964450591400932,0.0,0.0,1
6CSMVhep,0.0,1.0,1.0,0
6HMSMVhep,0.0,1.0,1.0,0
6HSMVhep,0.0,1.0,1.0,0
6MSMVhep,0.0,1.0,1.0,0
7DHCDCHOLabc,12.678224943427638,0.0,0.0,1
7DHCDCHOLt,12.678224943427638,0.0,0.0,1
7DHCHOLabc,-983.8995914907748,0.0,0.0,-1
7DHCHOLt,-670.667438708044,0.0,0.0,-1
7DHCHSTEROLtd,-1.0,0.0,0.0,-1
7KILTCHOLATP,4.1132031256516814,0.0,0.0,1
7KLITCHOLc,-16.333671138225466,6.678764735579154e-117,1.3100778904681052e-116,-1
AACTte,-1.0,0.0,0.0,-1
ACCOAL,377.1761051796967,0.0,0.0,1
ACMPGLUTtep,17.206238739739934,0.0,0.0,1
ACMPGLUTthc,-71.1001980123596,0.0,0.0,-1
ACMPGLUtep,-81.50749387308659,0.0,0.0,-1
ACMPGLUthc,28.813554425422016,0.0,0.0,1
ACMPthc,0.0,1.0,1.0,0
ACNAMt2,52.69393944766461,0.0,0.0,1
ACt2m,-1.0,0.0,0.0,-1
ALAALACNc,0.0,1.0,1.0,0
ALAyLATthc,-1.0,0.0,0.0,-1
ALDD21,387.1360692269916,0.0,0.0,1
AM19CSALThr,0.0,1.0,1.0,0
AM1CSAhr,0.0,1.0,1.0,0
AM9CSAhr,0.0,1.0,1.0,0
AMY2e,-307.1098402834214,0.0,0.0,-1
ANDRSTANDRtr,1.0,0.0,0.0,1
ARACHCOAtx,45.6063752381029,0.0,0.0,1
ARACHCRNt,0.7332954236131666,0.0,0.0,0
ASNATB0tc,-0.20388242265995238,0.0,0.0,0
