subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.1681610308392264,0.9363467670751527,1.0,1.0,0
Starch and sucrose metabolism,0.00541999812929761,0.9689958148057956,0.19240993359006514,1.0,0
Galactose metabolism,0.9014642182196688,0.4366104512561888,1.0,1.0,0
Fructose and mannose metabolism,0.3839272250694816,0.8624420422385093,1.0,1.0,0
Pentose and glucuronate interconversions,0.5899641666677218,0.24737536906763602,1.0,1.0,0
Pyruvate metabolism,0.28379615595003327,0.9462375938049283,1.0,1.0,0
Propanoate metabolism,0.8549590127996106,0.6471339344386525,1.0,1.0,0
Butanoate metabolism,0.2417550393675787,1.0,1.0,1.0,0
Pentose phosphate pathway,0.0985713467806173,0.4415261156881931,0.9980251181013327,1.0,0
Purine metabolism,0.3539259407190183,0.20667132103042996,1.0,1.0,0
Pyrimidine metabolism,0.10542518853183092,0.9557317926736493,0.9980251181013327,1.0,0
Nucleotide metabolism,0.23711705140850847,0.19348702830613018,1.0,1.0,0
"Alanine, aspartate and glutamate metabolism",0.2563213114571281,0.4418399467259668,1.0,1.0,0
Arginine and proline metabolism,0.3174166698999177,0.24737536906763602,1.0,1.0,0
Histidine metabolism,1.0,1.0,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.12475231170885082,0.9543629004094439,1.0,1.0,0
Lysine metabolism,0.7118399446103278,0.8293313459065819,1.0,1.0,0
Tryptophan metabolism,1.0,1.0,1.0,1.0,0
Tyrosine metabolism,0.5128492578441761,0.6471339344386525,1.0,1.0,0
"Valine, leucine, and isoleucine metabolism",0.9014642182196688,0.03674593622901157,1.0,0.6548733847097266,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.48177713163696567,0.8613971071687456,1.0,1.0,0
Cysteine and methionine metabolism,0.6584390652274605,0.7231983730688384,1.0,1.0,0
Glutathione metabolism,0.4991150010766172,0.38456024250485377,1.0,1.0,0
Transport reactions,0.016374326476983225,0.8825222755756861,0.46377797138487803,1.0,0
Beta-alanine metabolism,1.0,0.39080824088603205,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.03793389665162361,0.8293313459065819,0.673326665566319,1.0,0
Aminoacyl-tRNA biosynthesis,0.4698181187105759,0.016742281184565777,1.0,0.594350982052085,0
O-glycan metabolism,1.0,1.0,1.0,1.0,0
N-glycan metabolism,0.08740654969284256,0.7523956760297572,0.9980251181013327,1.0,0
Protein assembly,0.23191656732804422,0.38456024250485377,1.0,1.0,0
Protein modification,1.0,1.0,1.0,1.0,0
Protein degradation,0.927285782413714,0.0038245317311161875,1.0,0.18102783527283287,0
Miscellaneous,0.10120295279805258,0.9712484428728725,0.9980251181013327,1.0,0
Sulfur metabolism,1.0,0.39080824088603205,1.0,1.0,0
C5-branched dibasic acid metabolism,0.23191656732804422,0.8839903756665948,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.7757797116813663,0.041506059594278444,1.0,0.6548733847097266,0
Oxidative phosphorylation,0.07482360680498534,0.8839903756665948,0.9980251181013327,1.0,0
ROS detoxification,0.9014642182196688,0.7523956760297572,1.0,1.0,0
Fatty acid activation (cytosolic),0.035963545123295915,0.7619832266699781,0.673326665566319,1.0,0
Fatty acid activation (endoplasmic reticular),1.0,0.7740580078867593,1.0,1.0,0
Fatty acid biosynthesis (even-chain),4.549051051960795e-05,0.8613568483622746,0.0032298262468921646,1.0,1
Fatty acid biosynthesis (odd-chain),8.722472577549212e-06,0.9316270258667485,0.001238591106011988,1.0,1
Fatty acid biosynthesis (unsaturated),0.4523670394853241,0.7652355387052154,1.0,1.0,0
Fatty acid elongation (even-chain),0.4698181187105759,0.8571748322353007,1.0,1.0,0
Fatty acid elongation (odd-chain),0.15190190566846484,0.7550390823959932,1.0,1.0,0
Fatty acid desaturation (even-chain),0.9354959737196549,0.5356889623881462,1.0,1.0,0
Fatty acid desaturation (odd-chain),1.0,0.15265559694671382,1.0,1.0,0
Fatty acid biosynthesis,0.3565172441116127,0.7143777681099296,1.0,1.0,0
Linoleate metabolism,0.9790417326011106,0.9930248135782501,1.0,1.0,0
Lipoic acid metabolism,1.0,0.39080824088603205,1.0,1.0,0
Omega-3 fatty acid metabolism,0.996618897207982,0.03239862748054345,1.0,0.6548733847097266,0
Omega-6 fatty acid metabolism,0.9711344907537086,0.03962738380203956,1.0,0.6548733847097266,0
Arachidonic acid metabolism,1.0,0.15265559694671382,1.0,1.0,0
Leukotriene metabolism,0.10311511874539847,0.9960168411514762,0.9980251181013327,1.0,0
Eicosanoid metabolism,0.969131690432239,0.9220226789106183,1.0,1.0,0
Acyl-CoA hydrolysis,0.3201267828832005,1.0,1.0,1.0,0
Carnitine shuttle (cytosolic),0.1905441759110038,0.6471339344386525,1.0,1.0,0
Carnitine shuttle (mitochondrial),0.5378414148705133,1.0,1.0,1.0,0
Carnitine shuttle (peroxisomal),1.0,1.0,1.0,1.0,0
Carnitine shuttle (endoplasmic reticular),1.0,1.0,1.0,1.0,0
Acylglycerides metabolism,0.6858846026223555,0.7740580078867593,1.0,1.0,0
Beta oxidation of even-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of phytanic acid (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of even-chain fatty acids (mitochondrial),0.5128492578441761,0.3015638604290667,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of branched-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Terpenoid backbone biosynthesis,1.0,1.0,1.0,1.0,0
Steroid metabolism,0.7865370618085366,0.5089059048341705,1.0,1.0,0
Androgen metabolism,1.0,1.0,1.0,1.0,0
Cholesterol biosynthesis 1 (Bloch pathway),0.5378414148705133,0.6289608848267598,1.0,1.0,0
Cholesterol biosynthesis 2,0.6858846026223555,0.7740580078867593,1.0,1.0,0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway),1.0,1.0,1.0,1.0,0
Cholesterol metabolism,0.34509302143906095,0.8926132479475024,1.0,1.0,0
Estrogen metabolism,1.0,0.15265559694671382,1.0,1.0,0
Formation and hydrolysis of cholesterol esters,1.0,1.0,1.0,1.0,0
Sphingolipid metabolism,0.7040253296266354,0.48561254630997364,1.0,1.0,0
Glycerolipid metabolism,0.0195962523120371,0.9993430509386776,0.46377797138487803,1.0,0
Glycerophospholipid metabolism,0.2475088198431712,0.5106322269535353,1.0,1.0,0
Glycosphingolipid biosynthesis-ganglio series,1.0,1.0,1.0,1.0,0
Glycosphingolipid biosynthesis-globo series,1.0,0.15265559694671382,1.0,1.0,0
Glycosphingolipid biosynthesis-lacto and neolacto series,1.0,1.0,1.0,1.0,0
Glycosphingolipid metabolism,1.0,0.05960007606671325,1.0,0.7693828001339347,0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1.0,1.0,1.0,1.0,0
Glucocorticoid biosynthesis,1.0,1.0,1.0,1.0,0
Prostaglandin biosynthesis,0.000453260834801128,0.9990483221946149,0.021454346180586725,1.0,1
Ether lipid metabolism,1.0,0.15265559694671382,1.0,1.0,0
Isolated,1.0,0.16862737258233707,1.0,1.0,0
Chondroitin / heparan sulfate biosynthesis,1.0,1.0,1.0,1.0,0
Chondroitin sulfate degradation,1.0,1.0,1.0,1.0,0
Heparan sulfate degradation,1.0,1.0,1.0,1.0,0
Keratan sulfate biosynthesis,1.0,1.0,1.0,1.0,0
Keratan sulfate degradation,0.3201267828832005,1.0,1.0,1.0,0
Bile acid biosynthesis,0.6909213615592119,0.7829399663236548,1.0,1.0,0
Bile acid recycling,1.0,1.0,1.0,1.0,0
Blood group biosynthesis,1.0,1.0,1.0,1.0,0
Nicotinate and nicotinamide metabolism,0.10284089453371059,0.6819223757267447,0.9980251181013327,1.0,0
Pantothenate and CoA biosynthesis,1.0,0.023257643898626723,1.0,0.6548733847097266,0
Inositol phosphate metabolism,0.48177713163696567,0.9904428416935402,1.0,1.0,0
Folate metabolism,0.1681610308392264,0.9363467670751527,1.0,1.0,0
Biotin metabolism,1.0,1.0,1.0,1.0,0
Biopterin metabolism,0.7118399446103278,0.2720157178127174,1.0,1.0,0
Ascorbate and aldarate metabolism,1.0,0.8624420422385093,1.0,1.0,0
Porphyrin metabolism,0.1905441759110038,0.6471339344386525,1.0,1.0,0
Retinol metabolism,0.8365081083404572,0.0007746898094285193,1.0,0.05500297646942487,0
Riboflavin metabolism,1.0,0.39080824088603205,1.0,1.0,0
Serotonin and melatonin biosynthesis,1.0,0.15265559694671382,1.0,1.0,0
Thiamine metabolism,0.3839272250694816,0.8624420422385093,1.0,1.0,0
Vitamin B12 metabolism,1.0,0.05960007606671325,1.0,0.7693828001339347,0
