subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.2293165129405026,0.6354188849129112,1.0,1.0,0
Starch and sucrose metabolism,0.2518849400950329,0.3955654653181173,1.0,1.0,0
Galactose metabolism,0.9596333157947232,0.1665922923920996,1.0,1.0,0
Fructose and mannose metabolism,0.5328444633979148,0.9194978552255029,1.0,1.0,0
Pentose and glucuronate interconversions,0.5328444633979148,0.30970312335564787,1.0,1.0,0
Pyruvate metabolism,0.827961546735115,0.9307418008679321,1.0,1.0,0
Propanoate metabolism,1.0,1.0,1.0,1.0,0
Butanoate metabolism,0.6995481065997993,0.7793222561022832,1.0,1.0,0
Pentose phosphate pathway,0.2293165129405026,0.2932696390642705,1.0,1.0,0
Purine metabolism,0.7699755749973664,0.24279358055933797,1.0,1.0,0
Pyrimidine metabolism,0.7680870965458881,0.542933906395549,1.0,1.0,0
Nucleotide metabolism,0.31456198588024753,0.6267333984411345,1.0,1.0,0
"Alanine, aspartate and glutamate metabolism",0.9098572772245473,0.03881321324701614,1.0,0.918579380179382,0
Arginine and proline metabolism,0.5513386155625355,0.6347443293098916,1.0,1.0,0
Histidine metabolism,0.33012512030738195,1.0,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.523997107663401,0.6755456702610934,1.0,1.0,0
Lysine metabolism,0.4219550448260564,0.8358064760357748,1.0,1.0,0
Tryptophan metabolism,0.5513386155625355,1.0,1.0,1.0,0
Tyrosine metabolism,0.890623509584439,0.2950695288255012,1.0,1.0,0
"Valine, leucine, and isoleucine metabolism",0.09678918915336032,0.9513934672134069,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.8393699264922128,0.6752866151181925,1.0,1.0,0
Cysteine and methionine metabolism,0.5767214405019231,0.9647968757806221,1.0,1.0,0
Glutathione metabolism,0.6151533709386474,0.7601521040161971,1.0,1.0,0
Transport reactions,0.0792136608174856,0.9998876401223973,1.0,1.0,0
Beta-alanine metabolism,1.0,1.0,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.8653268587249026,0.08351331915486715,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,0.003289497340905112,0.7376779346215361,0.23355431120426295,1.0,0
O-glycan metabolism,1.0,1.0,1.0,1.0,0
N-glycan metabolism,1.0,1.0,1.0,1.0,0
Protein assembly,0.6151533709386474,0.09418109148304232,1.0,1.0,0
Protein modification,0.10891162506168284,1.0,1.0,1.0,0
Protein degradation,0.9379547696197682,0.004306259941354029,1.0,0.17221545767152824,0
Miscellaneous,0.5582908289770729,0.6752866151181925,1.0,1.0,0
Sulfur metabolism,1.0,1.0,1.0,1.0,0
C5-branched dibasic acid metabolism,1.0,1.0,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.7422281325602105,0.6354188849129112,1.0,1.0,0
Oxidative phosphorylation,0.7999511704904692,0.1665922923920996,1.0,1.0,0
ROS detoxification,0.7309626547835733,0.2810788788556633,1.0,1.0,0
Fatty acid activation (cytosolic),0.07210452349884211,0.9981861220868059,1.0,1.0,0
Fatty acid activation (endoplasmic reticular),0.2549196334807382,1.0,1.0,1.0,0
Fatty acid biosynthesis (even-chain),0.0006525070419982626,0.7264416041961185,0.09265599996375329,1.0,0
Fatty acid biosynthesis (odd-chain),0.7923296334357631,0.00032467631757659987,1.0,0.02305201854793859,-1
Fatty acid biosynthesis (unsaturated),0.4420377287213699,0.05364565818009048,1.0,0.9522104326966061,0
Fatty acid elongation (even-chain),1.0,0.3955726660257548,1.0,1.0,0
Fatty acid elongation (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid desaturation (even-chain),0.3591534218195367,0.7655923161147768,1.0,1.0,0
Fatty acid desaturation (odd-chain),1.0,0.6347443293098916,1.0,1.0,0
Fatty acid biosynthesis,0.9704999458459694,1.8535435254318777e-05,1.0,0.0026320318061132664,-1
Linoleate metabolism,0.4379981016456893,0.21834201580907686,1.0,1.0,0
Lipoic acid metabolism,1.0,1.0,1.0,1.0,0
Omega-3 fatty acid metabolism,0.523997107663401,0.889226744627436,1.0,1.0,0
Omega-6 fatty acid metabolism,0.7999511704904692,0.04690785665523123,1.0,0.9515593778632622,0
Arachidonic acid metabolism,1.0,0.5171877106049346,1.0,1.0,0
Leukotriene metabolism,0.9596333157947232,0.6755456702610934,1.0,1.0,0
Eicosanoid metabolism,0.3591534218195367,0.9121595929144846,1.0,1.0,0
Acyl-CoA hydrolysis,1.0,0.3955726660257548,1.0,1.0,0
Carnitine shuttle (cytosolic),0.2807255086888426,0.2364570168837551,1.0,1.0,0
Carnitine shuttle (mitochondrial),1.0,0.15640100274657742,1.0,1.0,0
Carnitine shuttle (peroxisomal),1.0,1.0,1.0,1.0,0
Carnitine shuttle (endoplasmic reticular),1.0,1.0,1.0,1.0,0
Acylglycerides metabolism,0.7988303796595985,0.17398924083549006,1.0,1.0,0
Beta oxidation of even-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of phytanic acid (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of even-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of branched-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Terpenoid backbone biosynthesis,1.0,1.0,1.0,1.0,0
Steroid metabolism,0.4017012874188931,0.5171877106049346,1.0,1.0,0
Androgen metabolism,1.0,1.0,1.0,1.0,0
Cholesterol biosynthesis 1 (Bloch pathway),1.0,1.0,1.0,1.0,0
Cholesterol biosynthesis 2,1.0,1.0,1.0,1.0,0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway),1.0,1.0,1.0,1.0,0
Cholesterol metabolism,0.6426747662240255,0.7600197952848053,1.0,1.0,0
Estrogen metabolism,0.5513386155625355,0.6347443293098916,1.0,1.0,0
Formation and hydrolysis of cholesterol esters,1.0,1.0,1.0,1.0,0
Sphingolipid metabolism,0.8527505417906132,0.7601521040161971,1.0,1.0,0
Glycerolipid metabolism,0.07210452349884211,0.9993149080505885,1.0,1.0,0
Glycerophospholipid metabolism,0.04664907377353089,0.45815863915909394,1.0,1.0,0
Glycosphingolipid biosynthesis-ganglio series,1.0,1.0,1.0,1.0,0
Glycosphingolipid biosynthesis-globo series,1.0,0.15640100274657742,1.0,1.0,0
Glycosphingolipid biosynthesis-lacto and neolacto series,1.0,1.0,1.0,1.0,0
Glycosphingolipid metabolism,1.0,0.34558847572082996,1.0,1.0,0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1.0,1.0,1.0,1.0,0
Glucocorticoid biosynthesis,1.0,1.0,1.0,1.0,0
Prostaglandin biosynthesis,0.9992800016312989,0.9985534219358452,1.0,1.0,0
Ether lipid metabolism,1.0,1.0,1.0,1.0,0
Isolated,0.9396730476317308,0.5705530934080008,1.0,1.0,0
Chondroitin / heparan sulfate biosynthesis,1.0,1.0,1.0,1.0,0
Chondroitin sulfate degradation,1.0,1.0,1.0,1.0,0
Heparan sulfate degradation,1.0,1.0,1.0,1.0,0
Keratan sulfate biosynthesis,1.0,1.0,1.0,1.0,0
Keratan sulfate degradation,1.0,1.0,1.0,1.0,0
Bile acid biosynthesis,0.991214476989523,0.06695380896560454,1.0,1.0,0
Bile acid recycling,0.5328444633979148,0.9194978552255029,1.0,1.0,0
Blood group biosynthesis,1.0,1.0,1.0,1.0,0
Nicotinate and nicotinamide metabolism,0.7593956018015044,0.45499255142515604,1.0,1.0,0
Pantothenate and CoA biosynthesis,1.0,1.0,1.0,1.0,0
Inositol phosphate metabolism,1.0,1.0,1.0,1.0,0
Folate metabolism,0.6151533709386474,0.5063328027503065,1.0,1.0,0
Biotin metabolism,1.0,1.0,1.0,1.0,0
Biopterin metabolism,0.972993662545182,0.2571062935248979,1.0,1.0,0
Ascorbate and aldarate metabolism,0.4017012874188931,0.8667004379344787,1.0,1.0,0
Porphyrin metabolism,0.6995481065997993,0.7793222561022832,1.0,1.0,0
Retinol metabolism,0.33396468602903073,0.014096906331687475,1.0,0.4003521398199243,0
Riboflavin metabolism,0.10813797954030202,0.8667004379344787,1.0,1.0,0
Serotonin and melatonin biosynthesis,1.0,0.6347443293098916,1.0,1.0,0
Thiamine metabolism,1.0,0.6347443293098916,1.0,1.0,0
Vitamin B12 metabolism,0.6995481065997993,0.34558847572082996,1.0,1.0,0
Vitamin B6 metabolism,1.0,1.0,1.0,1.0,0
Vitamin D metabolism,0.034632539449472755,0.5684121532523161,1.0,1.0,0
Vitamin E metabolism,0.4470512700858642,0.21439442662596575,1.0,1.0,0
Xenobiotics metabolism,0.33012512030738195,1.0,1.0,1.0,0
Pool reactions,0.9596333157947232,0.1665922923920996,1.0,1.0,0
Exchange/demand reactions,0.6254614181900435,0.7599125373964826,1.0,1.0,0
Artificial reactions,0.9098572772245473,0.1729135309691161,1.0,1.0,0
Ubiquinone synthesis,0.20498652344947577,0.9194978552255029,1.0,1.0,0
Fatty acid oxidation,0.9744899296515913,0.004851139652719105,1.0,0.17221545767152824,0
Alkaloids biosynthesis,1.0,1.0,1.0,1.0,0
Heme synthesis,1.0,1.0,1.0,1.0,0
Vitamin C metabolism,1.0,0.3955726660257548,1.0,1.0,0
Phosphatidylinositol phosphate metabolism,1.0,1.0,1.0,1.0,0
Heme degradation,1.0,1.0,1.0,1.0,0
Vitamin A metabolism,0.20498652344947577,0.6555107687705986,1.0,1.0,0
Phenylalanine metabolism,1.0,0.7793222561022832,1.0,1.0,0
CoA synthesis,1.0,0.6347443293098916,1.0,1.0,0
Urea cycle,1.0,1.0,1.0,1.0,0
Dietary fiber binding,0.9919206112669887,0.3228580588682657,1.0,1.0,0
Vitamin B2 metabolism,1.0,1.0,1.0,1.0,0
CoA catabolism,1.0,1.0,1.0,1.0,0
Triacylglycerol synthesis,1.0,1.0,1.0,1.0,0
Hippurate metabolism,1.0,1.0,1.0,1.0,0
