subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.9825650416837272,0.37788452656608706,1.0,1.0,0
Starch and sucrose metabolism,0.5008823663732301,0.29096232937170474,1.0,1.0,0
Galactose metabolism,0.7076292745773811,0.17994806294617582,1.0,1.0,0
Fructose and mannose metabolism,0.5991803703256988,0.31853940271575887,1.0,1.0,0
Pentose and glucuronate interconversions,0.06562048976458867,0.9723577507392085,0.9981353571818942,1.0,0
Pyruvate metabolism,0.48310335048926023,0.9734861717329526,1.0,1.0,0
Propanoate metabolism,1.0,1.0,1.0,1.0,0
Butanoate metabolism,0.30162973856262965,0.784891371929515,1.0,1.0,0
Pentose phosphate pathway,0.9669132933654165,0.001596027001362077,1.0,0.03777263903223582,-1
Purine metabolism,0.9986001406436554,0.23290624946140026,1.0,1.0,0
Pyrimidine metabolism,0.29252540800518045,0.4561059515335517,1.0,1.0,0
Nucleotide metabolism,0.9228993445444191,0.8674823084440381,1.0,1.0,0
"Alanine, aspartate and glutamate metabolism",0.3249719131641292,0.6863320208243487,1.0,1.0,0
Arginine and proline metabolism,0.5991803703256988,0.6644123094251272,1.0,1.0,0
Histidine metabolism,1.0,0.4006990784891512,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.3249719131641292,0.6863320208243487,1.0,1.0,0
Lysine metabolism,0.7076292745773811,0.7680530928961165,1.0,1.0,0
Tryptophan metabolism,0.4626770324558813,0.8711674469922368,1.0,1.0,0
Tyrosine metabolism,0.40354991083134717,0.5164143408913124,1.0,1.0,0
"Valine, leucine, and isoleucine metabolism",1.0,0.45713074248045127,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.07282433876501748,0.9956150784678414,0.9981353571818942,1.0,0
Cysteine and methionine metabolism,0.9286852756644717,0.9060963754575364,1.0,1.0,0
Glutathione metabolism,0.25792202564813316,1.0,1.0,1.0,0
Transport reactions,0.3345746177167277,0.9370598891531862,1.0,1.0,0
Beta-alanine metabolism,1.0,1.0,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.5991803703256988,0.31853940271575887,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,0.28194706137630765,0.12814314466350074,1.0,1.0,0
O-glycan metabolism,1.0,1.0,1.0,1.0,0
N-glycan metabolism,1.0,0.4006990784891512,1.0,1.0,0
Protein assembly,0.2808180837026397,0.36849373223949666,1.0,1.0,0
Protein modification,0.5961804610744874,1.0,1.0,1.0,0
Protein degradation,0.9651828441565503,0.14299195811721765,1.0,1.0,0
Miscellaneous,0.12874568169921186,0.7886747527998661,0.9981353571818942,1.0,0
Sulfur metabolism,1.0,1.0,1.0,1.0,0
C5-branched dibasic acid metabolism,1.0,1.0,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.534183824563011,0.513874376839183,1.0,1.0,0
Oxidative phosphorylation,0.6064286383008242,0.40746543811654934,1.0,1.0,0
ROS detoxification,0.9735244230061607,0.6863320208243487,1.0,1.0,0
Fatty acid activation (cytosolic),9.360755869325388e-05,0.9999997034574559,0.01329227333444205,1.0,1
Fatty acid activation (endoplasmic reticular),0.7434558223286527,0.35296146747581136,1.0,1.0,0
Fatty acid biosynthesis (even-chain),1.0,1.1067813332488186e-11,1.0,1.5716294932133223e-09,-1
Fatty acid biosynthesis (odd-chain),0.6550524476234345,0.004790690507638473,1.0,0.0971825788692376,0
Fatty acid biosynthesis (unsaturated),0.14058244467350622,0.8711674469922368,0.9981353571818942,1.0,0
Fatty acid elongation (even-chain),0.3644741023202478,1.0,1.0,1.0,0
Fatty acid elongation (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid desaturation (even-chain),0.061679257646534924,0.7057446285753559,0.9981353571818942,1.0,0
Fatty acid desaturation (odd-chain),0.13276774356781385,1.0,0.9981353571818942,1.0,0
Fatty acid biosynthesis,0.9845712251090852,4.715179464442887e-05,1.0,0.002231851613169633,-1
Linoleate metabolism,0.11268540050814191,0.6197129877302382,0.9981353571818942,1.0,0
Lipoic acid metabolism,1.0,1.0,1.0,1.0,0
Omega-3 fatty acid metabolism,0.8965158477778782,0.08740671187296722,1.0,1.0,0
Omega-6 fatty acid metabolism,0.026753341288614174,0.9538168590808732,0.9981353571818942,1.0,0
Arachidonic acid metabolism,1.0,0.6409147371115804,1.0,1.0,0
Leukotriene metabolism,0.5991803703256988,0.9228562313835972,1.0,1.0,0
Eicosanoid metabolism,0.790328037857316,0.8425715091300244,1.0,1.0,0
Acyl-CoA hydrolysis,0.13276774356781385,1.0,0.9981353571818942,1.0,0
Carnitine shuttle (cytosolic),0.9342931624177258,0.04113603633207075,1.0,0.7301646448942557,0
Carnitine shuttle (mitochondrial),0.5961804610744874,1.0,1.0,1.0,0
Carnitine shuttle (peroxisomal),1.0,1.0,1.0,1.0,0
Carnitine shuttle (endoplasmic reticular),1.0,1.0,1.0,1.0,0
Acylglycerides metabolism,0.30162973856262965,0.784891371929515,1.0,1.0,0
Beta oxidation of even-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
