subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.1230765374054884,0.761462631091516,1.0,1.0,0
Starch and sucrose metabolism,0.804547978939974,0.15224246625227378,1.0,1.0,0
Galactose metabolism,0.08721477631937624,0.6546115504249657,1.0,1.0,0
Fructose and mannose metabolism,0.20906435489890773,0.9128123556342493,1.0,1.0,0
Pentose and glucuronate interconversions,0.5550436431663764,0.6229042188397436,1.0,1.0,0
Pyruvate metabolism,0.8567011684732688,0.48177750814234865,1.0,1.0,0
Propanoate metabolism,1.0,0.6229042188397436,1.0,1.0,0
Butanoate metabolism,0.7032647863898629,1.0,1.0,1.0,0
Pentose phosphate pathway,0.1444677603101533,0.9129495087682283,1.0,1.0,0
Purine metabolism,0.18380131257994492,0.9717906111713903,1.0,1.0,0
Pyrimidine metabolism,0.46557661140890294,0.06185380266391616,1.0,0.7984763616614632,0
Nucleotide metabolism,0.23929236907318885,0.9760700200085719,1.0,1.0,0
"Alanine, aspartate and glutamate metabolism",0.5383358958492002,0.6383327344828593,1.0,1.0,0
Arginine and proline metabolism,0.7361194864432168,0.2627092811087355,1.0,1.0,0
Histidine metabolism,0.25860135671582885,0.7685044003077393,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.804547978939974,0.15224246625227378,1.0,1.0,0
Lysine metabolism,0.3186407161390141,0.7443261829148239,1.0,1.0,0
Tryptophan metabolism,1.0,0.6229042188397436,1.0,1.0,0
Tyrosine metabolism,0.7179556055274002,0.8485644557271148,1.0,1.0,0
"Valine, leucine, and isoleucine metabolism",1.0,0.42634583762101586,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.5582125460509575,0.5671472729155417,1.0,1.0,0
Cysteine and methionine metabolism,0.9932848118701209,0.578206209141479,1.0,1.0,0
Glutathione metabolism,0.0040613098826673966,1.0,0.5767060033387703,1.0,0
Transport reactions,0.447068223075035,0.9580119837454983,1.0,1.0,0
Beta-alanine metabolism,1.0,1.0,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.1723703591770369,0.5490732550026112,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,0.8483701844268068,0.0010055393487211628,1.0,0.07139329375920256,0
O-glycan metabolism,1.0,1.0,1.0,1.0,0
N-glycan metabolism,1.0,1.0,1.0,1.0,0
Protein assembly,0.25752594203162726,0.6546115504249657,1.0,1.0,0
Protein modification,0.1107458305205784,1.0,1.0,1.0,0
Protein degradation,0.6600201815698856,0.11651550714794201,1.0,1.0,0
Miscellaneous,0.6546286871349501,0.9947081157173011,1.0,1.0,0
Sulfur metabolism,0.5550436431663764,0.6229042188397436,1.0,1.0,0
