subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.18770603184342627,0.8561941245776037,1.0,1.0,0
Starch and sucrose metabolism,0.9310381595212028,0.17923091362235277,1.0,1.0,0
Galactose metabolism,0.7808843552541114,0.4145503345606709,1.0,1.0,0
Fructose and mannose metabolism,0.874730482921315,0.2968906240934941,1.0,1.0,0
Pentose and glucuronate interconversions,0.874730482921315,0.2968906240934941,1.0,1.0,0
Pyruvate metabolism,0.800091986269752,0.29419715039400185,1.0,1.0,0
Propanoate metabolism,0.2907012523469632,0.9247899925322121,1.0,1.0,0
Butanoate metabolism,0.572348252604042,1.0,1.0,1.0,0
Pentose phosphate pathway,0.7105849649552625,0.494415778143803,1.0,1.0,0
Purine metabolism,0.5569493664242422,0.5714357620238342,1.0,1.0,0
Pyrimidine metabolism,0.4977574125796549,0.5273017404388085,1.0,1.0,0
Nucleotide metabolism,0.9999903235774815,3.5410590395468233e-06,1.0,0.0005028303836156489,-1
"Alanine, aspartate and glutamate metabolism",0.9631085018586447,0.10326916815513665,1.0,0.9165138673768377,0
Arginine and proline metabolism,0.9085439151572584,0.13423468099190572,1.0,1.0,0
Histidine metabolism,0.6077975938083894,0.7881461741591915,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.260073359573751,0.8977630787225775,1.0,1.0,0
Lysine metabolism,0.19250788972800392,0.9552018991442863,1.0,1.0,0
Tryptophan metabolism,0.4279612446515846,0.8737587819023341,1.0,1.0,0
Tyrosine metabolism,0.35705378268194543,0.7468785613747917,1.0,1.0,0
"Valine, leucine, and isoleucine metabolism",0.2907012523469632,1.0,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.771763189380393,0.606312813157528,1.0,1.0,0
Cysteine and methionine metabolism,0.456765285608396,0.7128620890446571,1.0,1.0,0
Glutathione metabolism,0.6338512330966134,0.669633939376558,1.0,1.0,0
Transport reactions,2.5473901951067468e-05,0.9999095971557722,0.0036172940770515805,1.0,1
Beta-alanine metabolism,1.0,0.40374003678346326,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.456765285608396,0.7128620890446571,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,0.9992448887764015,0.0017508203034052316,1.0,0.08050295259653845,0
O-glycan metabolism,1.0,1.0,1.0,1.0,0
N-glycan metabolism,0.572348252604042,1.0,1.0,1.0,0
Protein assembly,0.9901079619118967,0.03084772193892915,1.0,0.39821604684799455,0
Protein modification,0.8171890414383034,0.6445478784148574,1.0,1.0,0
Protein degradation,0.010455216678614043,0.9970330204167264,0.7423203841815971,1.0,0
Miscellaneous,0.37029685651827193,0.6731470992797659,1.0,1.0,0
Sulfur metabolism,1.0,1.0,1.0,1.0,0
C5-branched dibasic acid metabolism,1.0,1.0,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.9124371853298121,0.1565966820585395,1.0,1.0,0
Oxidative phosphorylation,0.9310381595212028,0.17923091362235277,1.0,1.0,0
ROS detoxification,0.36105908865021696,0.8464812010600827,1.0,1.0,0
Fatty acid activation (cytosolic),0.9993410973328642,0.00040428481252419157,1.0,0.0287042216892176,-1
Fatty acid activation (endoplasmic reticular),0.6077975938083894,0.7881461741591915,1.0,1.0,0
Fatty acid biosynthesis (even-chain),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis (unsaturated),0.9666350393470446,0.18339422292161667,1.0,1.0,0
Fatty acid elongation (even-chain),0.572348252604042,1.0,1.0,1.0,0
Fatty acid elongation (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid desaturation (even-chain),0.6077975938083894,0.7881461741591915,1.0,1.0,0
Fatty acid desaturation (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis,0.9890009048592392,0.02167167660203262,1.0,0.34314009958046254,0
Linoleate metabolism,0.9710715105429857,0.061423917150786544,1.0,0.6230140168151207,0
Lipoic acid metabolism,1.0,1.0,1.0,1.0,0
Omega-3 fatty acid metabolism,0.9124371853298121,0.3175912217802892,1.0,1.0,0
Omega-6 fatty acid metabolism,0.7808843552541114,0.4145503345606709,1.0,1.0,0
Arachidonic acid metabolism,0.8620167203307265,0.22152982462461035,1.0,1.0,0
Leukotriene metabolism,0.9985637191063451,0.0033191137057737574,1.0,0.09426282924397471,0
Eicosanoid metabolism,0.08407569316704955,0.9568754557532406,1.0,1.0,0
Acyl-CoA hydrolysis,0.8171890414383034,0.6445478784148574,1.0,1.0,0
Carnitine shuttle (cytosolic),0.9869935986449171,0.05195000746685108,1.0,0.5674539277148348,0
Carnitine shuttle (mitochondrial),0.8171890414383034,0.6445478784148574,1.0,1.0,0
Carnitine shuttle (peroxisomal),1.0,1.0,1.0,1.0,0
Carnitine shuttle (endoplasmic reticular),1.0,1.0,1.0,1.0,0
Acylglycerides metabolism,0.9950060304430234,0.01618390246568635,1.0,0.3283020214467803,0
Beta oxidation of even-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of phytanic acid (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of even-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of branched-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Terpenoid backbone biosynthesis,1.0,1.0,1.0,1.0,0
Steroid metabolism,0.529368637106959,0.6926355680717284,1.0,1.0,0
Androgen metabolism,0.32750746376945794,1.0,1.0,1.0,0
Cholesterol biosynthesis 1 (Bloch pathway),1.0,1.0,1.0,1.0,0
Cholesterol biosynthesis 2,0.9218847652524266,0.35735128692398344,1.0,1.0,0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway),1.0,1.0,1.0,1.0,0
Cholesterol metabolism,0.48708797759201905,0.772730459473089,1.0,1.0,0
Estrogen metabolism,0.9857548617960025,0.08977705935002989,1.0,0.8498894951802829,0
Formation and hydrolysis of cholesterol esters,1.0,1.0,1.0,1.0,0
Sphingolipid metabolism,0.9767920287138052,0.03762695405163785,1.0,0.4452522896110479,0
Glycerolipid metabolism,0.9965248682269099,0.0022676888055362943,1.0,0.08050295259653845,0
Glycerophospholipid metabolism,0.5637730133159432,0.494415778143803,1.0,1.0,0
Glycosphingolipid biosynthesis-ganglio series,1.0,1.0,1.0,1.0,0
