subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.15213478508551548,0.3088937455729065,1.0,1.0,0
Starch and sucrose metabolism,0.9532574789500208,0.9583251438171448,1.0,1.0,0
Galactose metabolism,0.8171540843617555,0.02934517459263386,1.0,0.6945024653590014,0
Fructose and mannose metabolism,0.023737350650350764,0.9153944630117105,0.6741407584699617,1.0,0
Pentose and glucuronate interconversions,0.49280717482910597,0.5055376415988493,1.0,1.0,0
Pyruvate metabolism,0.242273336747585,0.26799870374727575,1.0,1.0,0
Propanoate metabolism,0.8699343486696657,0.24934131642110136,1.0,1.0,0
Butanoate metabolism,1.0,1.0,1.0,1.0,0
Pentose phosphate pathway,0.9532574789500208,0.09421989092275673,1.0,1.0,0
Purine metabolism,0.43164016327511734,0.07572859930475462,1.0,1.0,0
Pyrimidine metabolism,0.5113585207624286,0.559920055600999,1.0,1.0,0
Nucleotide metabolism,0.9104332175677594,0.9983486318887999,1.0,1.0,0
"Alanine, aspartate and glutamate metabolism",0.6445207633847202,0.3453502508557822,1.0,1.0,0
Arginine and proline metabolism,0.2877328195250185,1.0,1.0,1.0,0
Histidine metabolism,1.0,1.0,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.32508276141203063,0.6641416561981166,1.0,1.0,0
Lysine metabolism,1.0,1.0,1.0,1.0,0
Tryptophan metabolism,1.0,1.0,1.0,1.0,0
Tyrosine metabolism,0.17188991315325708,0.9406123714559574,1.0,1.0,0
"Valine, leucine, and isoleucine metabolism",1.0,1.0,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.49280717482910597,1.0,1.0,1.0,0
Cysteine and methionine metabolism,1.0,1.0,1.0,1.0,0
Glutathione metabolism,0.30879191421931684,0.15778620786670405,1.0,1.0,0
Transport reactions,0.9370199247225043,0.9999797538353552,1.0,1.0,0
Beta-alanine metabolism,1.0,1.0,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.23298880609331352,0.8795012048956842,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,1.0,1.0,1.0,1.0,0
O-glycan metabolism,1.0,1.0,1.0,1.0,0
N-glycan metabolism,1.0,0.2967244701348609,1.0,1.0,0
Protein assembly,1.0,1.0,1.0,1.0,0
Protein modification,1.0,1.0,1.0,1.0,0
Protein degradation,1.0,0.2967244701348609,1.0,1.0,0
Miscellaneous,0.8077833431458041,0.9376116814728136,1.0,1.0,0
Sulfur metabolism,1.0,1.0,1.0,1.0,0
C5-branched dibasic acid metabolism,0.006788921605219933,1.0,0.48201343397061525,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.8423015238448184,0.00925574802073037,1.0,0.32857905473592813,0
Oxidative phosphorylation,0.8699343486696657,0.06752219882652222,1.0,1.0,0
ROS detoxification,1.0,0.0809798078035282,1.0,1.0,0
Fatty acid activation (cytosolic),0.9498800150206658,0.49345396199948177,1.0,1.0,0
Fatty acid activation (endoplasmic reticular),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis (even-chain),0.2877328195250185,1.0,1.0,1.0,0
Fatty acid biosynthesis (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis (unsaturated),1.0,1.0,1.0,1.0,0
Fatty acid elongation (even-chain),0.2877328195250185,1.0,1.0,1.0,0
Fatty acid elongation (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid desaturation (even-chain),1.0,0.00019611253545770424,1.0,0.013923990017497001,-1
Fatty acid desaturation (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis,0.9342378155253501,0.054990327204487044,1.0,1.0,0
Linoleate metabolism,1.0,1.0,1.0,1.0,0
Lipoic acid metabolism,1.0,1.0,1.0,1.0,0
Omega-3 fatty acid metabolism,1.0,1.0,1.0,1.0,0
Omega-6 fatty acid metabolism,1.0,1.0,1.0,1.0,0
Arachidonic acid metabolism,1.0,1.0,1.0,1.0,0
Leukotriene metabolism,1.0,1.0,1.0,1.0,0
Eicosanoid metabolism,1.0,0.08791129867160197,1.0,1.0,0
Acyl-CoA hydrolysis,0.7871915462830029,0.9856602407129618,1.0,1.0,0
Carnitine shuttle (cytosolic),0.08949205982632602,0.015176697242707315,1.0,0.43101820169288774,0
Carnitine shuttle (mitochondrial),0.01977013974815911,0.0006186926774767176,0.6741407584699617,0.029284786733897967,-1
Carnitine shuttle (peroxisomal),1.0,1.0,1.0,1.0,0
Carnitine shuttle (endoplasmic reticular),1.0,1.0,1.0,1.0,0
Acylglycerides metabolism,1.0,0.08791129867160197,1.0,1.0,0
Beta oxidation of even-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of phytanic acid (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of even-chain fatty acids (mitochondrial),1.0,2.2047919046030984e-12,1.0,3.1308045045363997e-10,-1
Beta oxidation of odd-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of branched-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Terpenoid backbone biosynthesis,1.0,1.0,1.0,1.0,0
Steroid metabolism,1.0,0.5055376415988493,1.0,1.0,0
Androgen metabolism,1.0,1.0,1.0,1.0,0
Cholesterol biosynthesis 1 (Bloch pathway),1.0,1.0,1.0,1.0,0
Cholesterol biosynthesis 2,1.0,1.0,1.0,1.0,0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway),1.0,1.0,1.0,1.0,0
Cholesterol metabolism,1.0,0.9406123714559574,1.0,1.0,0
Estrogen metabolism,1.0,1.0,1.0,1.0,0
Formation and hydrolysis of cholesterol esters,1.0,1.0,1.0,1.0,0
