subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.5515080385813187,0.4471262811382857,1.0,1.0,0
Starch and sucrose metabolism,0.41159893603474074,0.7508587116670911,1.0,1.0,0
Galactose metabolism,1.0,0.4776170461010658,1.0,1.0,0
Fructose and mannose metabolism,0.32034833373735605,0.35908631601771623,1.0,1.0,0
Pentose and glucuronate interconversions,1.0,0.5140102928492403,1.0,1.0,0
Pyruvate metabolism,0.765568223959689,0.9910026099575463,1.0,1.0,0
Propanoate metabolism,0.8676108238628063,0.01127018591484752,1.0,0.4262047335397337,0
Butanoate metabolism,1.0,1.0,1.0,1.0,0
Pentose phosphate pathway,0.18498366283638923,0.10820187473367682,1.0,1.0,0
Purine metabolism,0.9462156748180913,0.898640554547623,1.0,1.0,0
Pyrimidine metabolism,0.5198083504258803,0.9148280336791464,1.0,1.0,0
Nucleotide metabolism,0.2630679083628309,0.28979204938210956,1.0,1.0,0
"Alanine, aspartate and glutamate metabolism",0.16826399657477498,0.7508587116670911,1.0,1.0,0
Arginine and proline metabolism,0.44209842958780354,0.4776170461010658,1.0,1.0,0
Histidine metabolism,1.0,1.0,1.0,1.0,0
"Glycine, serine and threonine metabolism",1.0,0.8357021354671652,1.0,1.0,0
Lysine metabolism,1.0,1.0,1.0,1.0,0
Tryptophan metabolism,1.0,1.0,1.0,1.0,0
Tyrosine metabolism,0.3881614074150028,0.08064472046203097,1.0,1.0,0
"Valine, leucine, and isoleucine metabolism",1.0,0.30277044854754076,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.19796196340807026,0.6613479913841013,1.0,1.0,0
Cysteine and methionine metabolism,1.0,0.02762845847979889,1.0,0.6412582633810525,0
Glutathione metabolism,0.765568223959689,0.58864161739161,1.0,1.0,0
Transport reactions,0.9940300578268176,0.9873061583342216,1.0,1.0,0
Beta-alanine metabolism,1.0,1.0,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.635712975816985,1.0,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,0.8671824156681723,5.46722231065111e-06,1.0,0.0007763455681124576,-1
O-glycan metabolism,1.0,1.0,1.0,1.0,0
N-glycan metabolism,0.2856200527699614,1.0,1.0,1.0,0
Protein assembly,1.0,0.30277044854754076,1.0,1.0,0
Protein modification,0.4897959716810686,0.5140102928492403,1.0,1.0,0
Protein degradation,0.4897959716810686,0.5140102928492403,1.0,1.0,0
Miscellaneous,0.7143033185353473,0.762970112407943,1.0,1.0,0
Sulfur metabolism,1.0,0.30277044854754076,1.0,1.0,0
C5-branched dibasic acid metabolism,1.0,1.0,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.9666334156133696,0.9058231017761554,1.0,1.0,0
Oxidative phosphorylation,0.22919438241674772,1.0,1.0,1.0,0
ROS detoxification,0.8144340954144769,0.4776170461010658,1.0,1.0,0
Fatty acid activation (cytosolic),0.8377169529313236,0.3134102680745561,1.0,1.0,0
Fatty acid activation (endoplasmic reticular),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis (even-chain),0.29956585661469304,0.01200576714196433,1.0,0.4262047335397337,0
Fatty acid biosynthesis (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis (unsaturated),0.712173793341192,0.7548063815919328,1.0,1.0,0
Fatty acid elongation (even-chain),0.029177952864359424,0.7548063815919328,1.0,1.0,0
Fatty acid elongation (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid desaturation (even-chain),1.0,0.03161132284272794,1.0,0.6412582633810525,0
Fatty acid desaturation (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis,0.0806262035208748,0.8063974211757283,1.0,1.0,0
Linoleate metabolism,1.0,1.0,1.0,1.0,0
Lipoic acid metabolism,1.0,1.0,1.0,1.0,0
Omega-3 fatty acid metabolism,0.5279043325924289,0.9672951037690376,1.0,1.0,0
Omega-6 fatty acid metabolism,0.05627727282312067,1.0,1.0,1.0,0
Arachidonic acid metabolism,0.2856200527699614,1.0,1.0,1.0,0
Leukotriene metabolism,0.32034833373735605,0.35908631601771623,1.0,1.0,0
Eicosanoid metabolism,0.08144413385846372,1.0,1.0,1.0,0
Acyl-CoA hydrolysis,0.45035036126566796,0.9756596881219483,1.0,1.0,0
Carnitine shuttle (cytosolic),0.680997371379451,0.5724315858454241,1.0,1.0,0
Carnitine shuttle (mitochondrial),0.9845633644694927,0.9012614367873238,1.0,1.0,0
Carnitine shuttle (peroxisomal),1.0,1.0,1.0,1.0,0
Carnitine shuttle (endoplasmic reticular),1.0,1.0,1.0,1.0,0
Acylglycerides metabolism,0.4897959716810686,0.5140102928492403,1.0,1.0,0
Beta oxidation of even-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of phytanic acid (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of even-chain fatty acids (mitochondrial),0.7735181965048746,0.06275563592238687,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of branched-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Terpenoid backbone biosynthesis,1.0,1.0,1.0,1.0,0
Steroid metabolism,1.0,1.0,1.0,1.0,0
Androgen metabolism,1.0,1.0,1.0,1.0,0
Cholesterol biosynthesis 1 (Bloch pathway),1.0,1.0,1.0,1.0,0
Cholesterol biosynthesis 2,1.0,1.0,1.0,1.0,0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway),1.0,1.0,1.0,1.0,0
Cholesterol metabolism,0.12597401515657491,0.6252096297708025,1.0,1.0,0
Estrogen metabolism,1.0,1.0,1.0,1.0,0
Formation and hydrolysis of cholesterol esters,1.0,1.0,1.0,1.0,0
Sphingolipid metabolism,0.6398313009456507,0.1291410124798833,1.0,1.0,0
