subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.8040152156411027,0.9788880675908257,1.0,1.0,0
Starch and sucrose metabolism,0.926296951622283,0.7382036681836635,1.0,1.0,0
Galactose metabolism,1.0,0.08058766556126029,1.0,1.0,0
Fructose and mannose metabolism,0.8977803875542743,0.9151689997763198,1.0,1.0,0
Pentose and glucuronate interconversions,1.0,1.0,1.0,1.0,0
Pyruvate metabolism,0.9336087851470861,0.028483803271826424,1.0,1.0,0
Propanoate metabolism,1.0,0.8791982576318134,1.0,1.0,0
Butanoate metabolism,1.0,1.0,1.0,1.0,0
Pentose phosphate pathway,0.761671087142886,0.5276633068185249,1.0,1.0,0
Purine metabolism,0.9945360930371966,0.6763385902647228,1.0,1.0,0
Pyrimidine metabolism,0.9970679690361628,0.9652127661166684,1.0,1.0,0
Nucleotide metabolism,0.197391857659742,0.8286567266478434,1.0,1.0,0
"Alanine, aspartate and glutamate metabolism",1.0,0.08058766556126029,1.0,1.0,0
Arginine and proline metabolism,0.27736625514563207,1.0,1.0,1.0,0
Histidine metabolism,1.0,1.0,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.47796557311619114,1.0,1.0,1.0,0
Lysine metabolism,1.0,1.0,1.0,1.0,0
Tryptophan metabolism,1.0,1.0,1.0,1.0,0
Tyrosine metabolism,0.21809567425664622,0.49637302541147643,1.0,1.0,0
"Valine, leucine, and isoleucine metabolism",1.0,0.29629629629746523,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.5300210893058319,0.06708499152854697,1.0,1.0,0
Cysteine and methionine metabolism,1.0,1.0,1.0,1.0,0
Glutathione metabolism,0.926296951622283,0.4388842145121008,1.0,1.0,0
Transport reactions,0.7065890734899263,0.430908939837074,1.0,1.0,0
Beta-alanine metabolism,1.0,1.0,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.8977803875542743,1.0,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,8.080768276741424e-08,0.9851793487711044,1.1474690952972821e-05,1.0,1
O-glycan metabolism,1.0,1.0,1.0,1.0,0
N-glycan metabolism,1.0,1.0,1.0,1.0,0
Protein assembly,0.27736625514563207,1.0,1.0,1.0,0
Protein modification,0.07676693717557193,1.0,1.0,1.0,0
Protein degradation,1.0,0.29629629629746523,1.0,1.0,0
Miscellaneous,0.9493050816632111,0.995046742766878,1.0,1.0,0
Sulfur metabolism,1.0,1.0,1.0,1.0,0
C5-branched dibasic acid metabolism,0.7278252184073599,0.08058766556126029,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,1.0,1.0,1.0,1.0,0
Oxidative phosphorylation,1.0,0.5049728476427442,1.0,1.0,0
ROS detoxification,1.0,1.0,1.0,1.0,0
Fatty acid activation (cytosolic),0.5621536119067067,0.033962190987499974,1.0,1.0,0
Fatty acid activation (endoplasmic reticular),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis (even-chain),0.6008379661355165,0.9783939251643304,1.0,1.0,0
Fatty acid biosynthesis (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis (unsaturated),1.0,1.0,1.0,1.0,0
Fatty acid elongation (even-chain),1.0,1.0,1.0,1.0,0
Fatty acid elongation (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid desaturation (even-chain),1.0,0.29629629629746523,1.0,1.0,0
Fatty acid desaturation (odd-chain),1.0,1.0,1.0,1.0,0
