subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.0016165471497711081,0.9994772370679703,0.04539366339109004,1.0,1
Starch and sucrose metabolism,0.6163345495366204,1.0,1.0,1.0,0
Galactose metabolism,0.2634568372112227,0.9812435420030163,1.0,1.0,0
Fructose and mannose metabolism,0.6713992992726875,0.7339314923735822,1.0,1.0,0
Pentose and glucuronate interconversions,0.2634568372112227,0.8873052219383543,1.0,1.0,0
Pyruvate metabolism,0.007901217336699351,0.9974108394064827,0.12466365131236753,1.0,0
Propanoate metabolism,0.6318158858678637,0.5882922177363881,1.0,1.0,0
Butanoate metabolism,0.1441485924891438,1.0,0.7058310390847731,1.0,0
Pentose phosphate pathway,0.001826745851648215,1.0,0.04539366339109004,1.0,1
Purine metabolism,8.137781883910122e-07,0.9999999701758622,0.00011555650275152374,1.0,1
Pyrimidine metabolism,0.004301966482210595,0.9957925115376937,0.08726846292484351,1.0,0
Nucleotide metabolism,0.0019180421151164806,0.996476817597775,0.04539366339109004,1.0,1
"Alanine, aspartate and glutamate metabolism",0.20010248808279674,0.8964391876654028,0.8666365100749964,1.0,0
Arginine and proline metabolism,0.01933524625560412,0.9856061650947089,0.22633340272749125,1.0,0
Histidine metabolism,1.0,0.3567218635990149,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.31059350363580185,0.7830997086284592,1.0,1.0,0
Lysine metabolism,0.45458512629462633,0.9447573623670824,1.0,1.0,0
Tryptophan metabolism,0.7104925839826551,0.5845432749204093,1.0,1.0,0
Tyrosine metabolism,0.9250576568781368,0.24557054637792253,1.0,1.0,0
"Valine, leucine, and isoleucine metabolism",0.8428016817719999,0.3664689141488411,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.9998227832262556,0.0015918157733056937,1.0,0.03229111997277265,-1
Cysteine and methionine metabolism,0.0902488125416584,0.9479591692236861,0.5571883209093692,1.0,0
Glutathione metabolism,0.673638209874254,0.5044652341376973,1.0,1.0,0
Transport reactions,0.013161022188539206,0.985836171424695,0.18571184972347876,1.0,0
Beta-alanine metabolism,0.37980189113791596,1.0,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.5778211292764815,0.5931741531621164,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,0.9999976462766508,7.722180678682022e-06,1.0,0.0002741374140932118,-1
O-glycan metabolism,0.8528672079355406,0.5862576612860242,1.0,1.0,0
N-glycan metabolism,0.35022972997656066,0.970805950884763,1.0,1.0,0
Protein assembly,0.9250576568781368,0.24557054637792253,1.0,1.0,0
Protein modification,0.8528672079355406,0.5862576612860242,1.0,1.0,0
Protein degradation,0.978391007115842,0.1328658147200359,1.0,1.0,0
Miscellaneous,0.2790899670316458,0.7638230565512975,1.0,1.0,0
Sulfur metabolism,0.6713992992726875,0.7339314923735822,1.0,1.0,0
C5-branched dibasic acid metabolism,0.1441485924891438,1.0,0.7058310390847731,1.0,0
