subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.7639187790709341,0.26859996632161187,1.0,1.0,0
Starch and sucrose metabolism,0.8639041426497291,0.5513304620788813,1.0,1.0,0
Galactose metabolism,0.46248549856255994,0.6936504161958204,1.0,1.0,0
Fructose and mannose metabolism,0.8547803078508849,0.7988233103183097,1.0,1.0,0
Pentose and glucuronate interconversions,0.9348127062567414,0.20497713384595428,1.0,1.0,0
Pyruvate metabolism,0.9172566831368787,0.10147475052924904,1.0,1.0,0
Propanoate metabolism,1.0,0.10890740356380235,1.0,1.0,0
Butanoate metabolism,0.9498340776699092,0.6995400521211385,1.0,1.0,0
Pentose phosphate pathway,0.7357216444865541,0.7096686296814394,1.0,1.0,0
Purine metabolism,0.9132535809849348,0.13620652516268306,1.0,1.0,0
Pyrimidine metabolism,0.31343522284610814,0.6415959088182936,1.0,1.0,0
Nucleotide metabolism,0.07735779078570348,0.8974846991608466,0.732320419437993,1.0,0
"Alanine, aspartate and glutamate metabolism",0.20254873588508104,0.9396695289804553,1.0,1.0,0
Arginine and proline metabolism,0.9315678676879361,0.1396254312754064,1.0,1.0,0
Histidine metabolism,0.6920442726075475,0.6995400521211385,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.7086373309225098,0.43194401210907585,1.0,1.0,0
Lysine metabolism,0.3980694992699072,1.0,1.0,1.0,0
Tryptophan metabolism,0.6920442726075475,0.6995400521211385,1.0,1.0,0
Tyrosine metabolism,0.021422007501748608,0.9945976072980313,0.5915734945534558,1.0,0
"Valine, leucine, and isoleucine metabolism",0.4887987804035864,0.7309516482490979,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.8794368878693581,0.4983986620107065,1.0,1.0,0
Cysteine and methionine metabolism,0.9417310579139412,0.37112588012569847,1.0,1.0,0
Glutathione metabolism,0.46248549856255994,0.8925153678865623,1.0,1.0,0
Transport reactions,0.4239200757568842,0.35727113959026235,1.0,1.0,0
Beta-alanine metabolism,0.9498340776699092,0.25491128198844637,1.0,1.0,0
Metabolism of other amino acids,0.630986820959458,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.251082112595598,1.0,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,1.0,1.0,1.0,1.0,0
O-glycan metabolism,0.251082112595598,1.0,1.0,1.0,0
N-glycan metabolism,0.251082112595598,1.0,1.0,1.0,0
Protein assembly,1.0,1.0,1.0,1.0,0
Protein modification,0.3980694992699072,1.0,1.0,1.0,0
Protein degradation,1.0,1.0,1.0,1.0,0
Miscellaneous,0.05627622373379715,0.9511944836816931,0.6874486227673827,1.0,0
Sulfur metabolism,1.0,1.0,1.0,1.0,0
C5-branched dibasic acid metabolism,1.0,1.0,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.9853306907963071,0.01274236423225883,1.0,0.2584879601401077,0
Oxidative phosphorylation,0.9309288242411827,0.16814575944213872,1.0,1.0,0
ROS detoxification,0.06293543729560547,1.0,0.6874486227673827,1.0,0
Fatty acid activation (cytosolic),0.6841087757400561,0.705844931770107,1.0,1.0,0
Fatty acid activation (endoplasmic reticular),0.02499606315014602,1.0,0.5915734945534558,1.0,0
Fatty acid biosynthesis (even-chain),0.007822534509736134,0.9934905887798426,0.32632515365579,1.0,0
Fatty acid biosynthesis (odd-chain),0.626704580214788,0.34975920660964266,1.0,1.0,0
Fatty acid biosynthesis (unsaturated),0.9999429258968534,3.4746128218743344e-05,1.0,0.0016446500690205184,-1
Fatty acid elongation (even-chain),0.9702521697922738,0.0346269103268686,1.0,0.5463356962683712,0
Fatty acid elongation (odd-chain),0.9986588616656459,0.003518276002853593,1.0,0.09991903848104204,0
Fatty acid desaturation (even-chain),0.9917282963829334,0.0174518932199893,1.0,0.30977110465481006,0
Fatty acid desaturation (odd-chain),0.3980694992699072,1.0,1.0,1.0,0
Fatty acid biosynthesis,0.9781971896931605,0.7632509518564987,1.0,1.0,0
Linoleate metabolism,0.7678889207972758,0.4219407598940983,1.0,1.0,0
Lipoic acid metabolism,1.0,1.0,1.0,1.0,0
Omega-3 fatty acid metabolism,0.8001026865475864,0.1525571978450263,1.0,1.0,0
Omega-6 fatty acid metabolism,0.9999835346156263,1.3852873651631903e-05,1.0,0.000983554029265865,-1
Arachidonic acid metabolism,0.06820247731766926,0.9819335268015112,0.691767984222074,1.0,0
Leukotriene metabolism,0.29593716037939966,0.7398099819956181,1.0,1.0,0
Eicosanoid metabolism,0.5823912464238159,0.514294243150493,1.0,1.0,0
Acyl-CoA hydrolysis,0.630986820959458,1.0,1.0,1.0,0
Carnitine shuttle (cytosolic),0.20254873588508104,0.9396695289804553,1.0,1.0,0
Carnitine shuttle (mitochondrial),0.16521121633313185,0.9221003504882295,1.0,1.0,0
Carnitine shuttle (peroxisomal),1.0,1.0,1.0,1.0,0
Carnitine shuttle (endoplasmic reticular),0.0024767014307323088,1.0,0.17584580158199392,1.0,0
Acylglycerides metabolism,0.9998756189166556,0.007720306380399666,1.0,0.18271391766945877,0
Beta oxidation of even-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of phytanic acid (peroxisomal),0.3980694992699072,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),1.0,1.0,1.0,1.0,0
