subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.9286301323606211,0.18865157082021544,1.0,1.0,0
Starch and sucrose metabolism,1.0,1.0,1.0,1.0,0
Galactose metabolism,0.9408298585052414,0.43779910445286063,1.0,1.0,0
Fructose and mannose metabolism,0.6287733083527869,0.7094844431457239,1.0,1.0,0
Pentose and glucuronate interconversions,0.9651295382333895,0.027050552012086393,1.0,0.588659343829039,0
Pyruvate metabolism,0.953693309154367,0.7133308091594521,1.0,1.0,0
Propanoate metabolism,0.3241945964471925,0.8127493081561961,1.0,1.0,0
Butanoate metabolism,1.0,0.39239061218117155,1.0,1.0,0
Pentose phosphate pathway,0.999539626137233,0.0900394143490224,1.0,0.8577308830547375,0
Purine metabolism,0.6407879944429453,0.3594942294692304,1.0,1.0,0
Pyrimidine metabolism,0.36278983784989505,0.9509245450106714,1.0,1.0,0
Nucleotide metabolism,0.9889836776728852,0.5248513664785013,1.0,1.0,0
"Alanine, aspartate and glutamate metabolism",0.07897224190084018,0.9493737004597251,1.0,1.0,0
Arginine and proline metabolism,0.004126825414962676,0.9935534172753381,0.146502302231175,1.0,0
Histidine metabolism,1.0,1.0,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.9465117587478165,0.029018418357769526,1.0,0.588659343829039,0
Lysine metabolism,0.153225826307265,0.8076429745487678,1.0,1.0,0
Tryptophan metabolism,0.41538538924757384,0.8076429745487678,1.0,1.0,0
Tyrosine metabolism,0.9130890119324233,0.0900394143490224,1.0,0.8577308830547375,0
"Valine, leucine, and isoleucine metabolism",0.8529163526708473,0.8929178000774218,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.5417544266186651,0.09664573330194226,1.0,0.8577308830547375,0
Cysteine and methionine metabolism,0.7916028496636011,0.4272996650657652,1.0,1.0,0
Glutathione metabolism,0.3686864821276481,0.9925231704619447,1.0,1.0,0
Transport reactions,0.2841382050449218,0.6975517991819227,1.0,1.0,0
Beta-alanine metabolism,0.8529163526708473,0.5722438323950876,1.0,1.0,0
Metabolism of other amino acids,0.38055555555776177,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.15740296477213667,0.8929178000774218,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,0.9051983507064799,0.059206198649678465,1.0,0.8577308830547375,0
O-glycan metabolism,0.3241945964471925,0.8127493081561961,1.0,1.0,0
N-glycan metabolism,1.0,1.0,1.0,1.0,0
Protein assembly,0.14475703127555306,1.0,1.0,1.0,0
Protein modification,1.0,0.6726297428310594,1.0,1.0,0
Protein degradation,0.14475703127555306,1.0,1.0,1.0,0
Miscellaneous,0.9186481515322087,0.5939457911724789,1.0,1.0,0
Sulfur metabolism,0.38055555555776177,1.0,1.0,1.0,0
C5-branched dibasic acid metabolism,1.0,1.0,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.4237155592576092,0.7619391217661898,1.0,1.0,0
Oxidative phosphorylation,0.5372195600877453,0.8750265941036354,1.0,1.0,0
ROS detoxification,0.1447821900581211,0.7401374530954508,1.0,1.0,0
Fatty acid activation (cytosolic),0.5129675496972832,0.18865157082021544,1.0,1.0,0
Fatty acid activation (endoplasmic reticular),0.6163540798379388,0.6726297428310594,1.0,1.0,0
Fatty acid biosynthesis (even-chain),0.9943914444929925,2.186194197828506e-05,1.0,0.0007760989402291196,-1
Fatty acid biosynthesis (odd-chain),0.9960258691278495,1.1143842278404925e-05,1.0,0.0005274752011778331,-1
Fatty acid biosynthesis (unsaturated),0.9131957274321879,0.9963049784290294,1.0,1.0,0
Fatty acid elongation (even-chain),0.8349030057439091,0.3315976710900228,1.0,1.0,0
Fatty acid elongation (odd-chain),0.7313454223011651,0.9878204070308895,1.0,1.0,0
Fatty acid desaturation (even-chain),0.07709085502738589,0.9978706922321506,1.0,1.0,0
Fatty acid desaturation (odd-chain),0.6163540798379388,1.0,1.0,1.0,0
Fatty acid biosynthesis,0.9937649591329397,0.09404752268978689,1.0,0.8577308830547375,0
Linoleate metabolism,0.3686864821276481,0.2964549377985455,1.0,1.0,0
Lipoic acid metabolism,1.0,1.0,1.0,1.0,0
Omega-3 fatty acid metabolism,0.3111591006065917,0.9941649371346367,1.0,1.0,0
Omega-6 fatty acid metabolism,0.9667481626590084,0.9698648841126758,1.0,1.0,0
Arachidonic acid metabolism,0.006570226133226997,0.9720150218435845,0.18659442218364672,1.0,0
Leukotriene metabolism,0.0002312600507560214,0.9999906549219524,0.01641946360367752,1.0,1
Eicosanoid metabolism,0.4136452390072918,0.5435666012498269,1.0,1.0,0
Acyl-CoA hydrolysis,0.9999998473421519,1.315503261878348e-12,1.0,1.8680146318672541e-10,-1
