subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.086357189018891,0.5830547001399279,1.0,1.0,0
Starch and sucrose metabolism,0.5515577460874175,0.5773260080528649,1.0,1.0,0
Galactose metabolism,0.018618091227654787,0.8309315775066389,0.660942238581745,1.0,0
Fructose and mannose metabolism,0.06308632681144644,0.8488844386662924,1.0,1.0,0
Pentose and glucuronate interconversions,1.0,0.34981108312057063,1.0,1.0,0
Pyruvate metabolism,0.9796817213339769,0.11238696138967419,1.0,1.0,0
Propanoate metabolism,1.0,0.28142758016881075,1.0,1.0,0
Butanoate metabolism,0.6997669220022884,0.7252752219954233,1.0,1.0,0
Pentose phosphate pathway,0.44260361436353346,0.9551562970787928,1.0,1.0,0
Purine metabolism,0.1826589415621802,0.7760503195360149,1.0,1.0,0
Pyrimidine metabolism,0.2788813938547311,0.6437302550180302,1.0,1.0,0
Nucleotide metabolism,0.9967050682696879,0.9972465121028424,1.0,1.0,0
"Alanine, aspartate and glutamate metabolism",0.3135096192698814,0.680787271975003,1.0,1.0,0
Arginine and proline metabolism,0.8283005529103646,0.3109152985365524,1.0,1.0,0
Histidine metabolism,0.6429991260439654,0.9246415058754237,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.028729060616721314,0.9385210583570492,0.8159053215148853,1.0,0
Lysine metabolism,0.3716771613566322,0.4350476875290523,1.0,1.0,0
Tryptophan metabolism,0.40199399529230884,0.8214678562110513,1.0,1.0,0
Tyrosine metabolism,0.5773029114156455,0.2706446709010787,1.0,1.0,0
"Valine, leucine, and isoleucine metabolism",0.9099862340144519,0.35245369649111624,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.14280506272671234,0.7516699998545234,1.0,1.0,0
Cysteine and methionine metabolism,0.31589365569534467,0.3803665845291795,1.0,1.0,0
Glutathione metabolism,0.34209021007723783,0.6625800920323353,1.0,1.0,0
Transport reactions,0.06652327641358424,0.8541350694378009,1.0,1.0,0
Beta-alanine metabolism,0.5331692904512504,0.5713427468124193,1.0,1.0,0
Metabolism of other amino acids,1.0,0.7661747166526616,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.7841756220094929,0.2442001770261314,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,0.040326061763485854,0.6448726736461134,0.9543834617358319,1.0,0
O-glycan metabolism,0.25513939425790433,0.7252752219954233,1.0,1.0,0
N-glycan metabolism,1.0,0.7252752219954233,1.0,1.0,0
