subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.8868735224106123,0.3086964067777883,1.0,1.0,0
Starch and sucrose metabolism,0.3058248133046044,0.5467861504032017,1.0,1.0,0
Galactose metabolism,0.7219444264194267,0.7088926961142744,1.0,1.0,0
Fructose and mannose metabolism,0.5177504951185345,0.49965418673540507,1.0,1.0,0
Pentose and glucuronate interconversions,0.4487246363414692,0.433284640410343,1.0,1.0,0
Pyruvate metabolism,0.05067825701540862,0.9218946257626027,0.479754166412535,1.0,0
Propanoate metabolism,0.34950432320522407,0.6831749287895448,1.0,1.0,0
Butanoate metabolism,1.0,1.0,1.0,1.0,0
Pentose phosphate pathway,0.9630648658571574,0.09986288664846321,1.0,0.7090264952040888,0
Purine metabolism,0.9016567229681353,0.8226701671924925,1.0,1.0,0
Pyrimidine metabolism,0.8859309793733753,0.33265676043154435,1.0,1.0,0
Nucleotide metabolism,0.993803884153557,0.0028904477149098717,1.0,0.05094379349974107,0
"Alanine, aspartate and glutamate metabolism",0.11489516260163468,0.9757130384732046,0.8157556544716063,1.0,0
Arginine and proline metabolism,0.596004690124459,0.29752299033829077,1.0,1.0,0
Histidine metabolism,0.061960671181461646,0.9857302980626449,0.5499009567354721,1.0,0
"Glycine, serine and threonine metabolism",0.35925639802891285,0.34028895467196774,1.0,1.0,0
Lysine metabolism,0.34950432320522407,0.6831749287895448,1.0,1.0,0
Tryptophan metabolism,0.7219444264194267,0.433284640410343,1.0,1.0,0
Tyrosine metabolism,0.03211954748235957,0.9796987334718253,0.4560975742495058,1.0,0
"Valine, leucine, and isoleucine metabolism",0.20533522533617243,0.9586707958396177,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.9916667936709899,0.0035331876727210387,1.0,0.05094379349974107,0
Cysteine and methionine metabolism,0.4193735676609821,0.893572691104971,1.0,1.0,0
Glutathione metabolism,0.04314333108980828,0.9898899139903737,0.47125792421175194,1.0,0
Transport reactions,0.4393896564076585,0.9966432874751893,1.0,1.0,0
Beta-alanine metabolism,0.9335321365710186,0.6831749287895448,1.0,1.0,0
Metabolism of other amino acids,1.0,0.4117503656760828,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.8682935914701885,0.07030547297687362,1.0,0.5872574801597679,0
Aminoacyl-tRNA biosynthesis,0.9845191603278425,0.0008996406067293128,1.0,0.02554979323111248,-1
O-glycan metabolism,0.6941138879470501,0.6831749287895448,1.0,1.0,0
N-glycan metabolism,0.048194968067868604,0.6196158535754737,0.479754166412535,1.0,0
Protein assembly,1.0,0.06973453228161297,1.0,0.5872574801597679,0
Protein modification,0.7943341213836103,0.4800487719013373,1.0,1.0,0
Protein degradation,0.17494276347351034,1.0,1.0,1.0,0
Miscellaneous,0.3003570174437299,0.8217562755969897,1.0,1.0,0
Sulfur metabolism,1.0,1.0,1.0,1.0,0
C5-branched dibasic acid metabolism,1.0,1.0,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.8004893595347071,0.1512338085765812,1.0,0.9256177259561015,0
Oxidative phosphorylation,0.8642729678817596,1.0,1.0,1.0,0
ROS detoxification,0.9775548682294759,0.3127275674748764,1.0,1.0,0
Fatty acid activation (cytosolic),0.9939564833651922,0.9999246945900523,1.0,1.0,0
Fatty acid activation (endoplasmic reticular),0.0,0.9999999982956097,0.0,1.0,1
Fatty acid biosynthesis (even-chain),0.41833252071947113,1.0,1.0,1.0,0
Fatty acid biosynthesis (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis (unsaturated),0.9996683756485056,0.5921780550536981,1.0,1.0,0
