subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.1600631692101051,0.5352072480055766,1.0,1.0,0
Starch and sucrose metabolism,0.4569672647949826,0.4835459077987736,1.0,1.0,0
Galactose metabolism,0.8498834918322621,0.5698186389212552,1.0,1.0,0
Fructose and mannose metabolism,0.9560288615452175,0.0547079984644,1.0,0.35311526281567274,0
Pentose and glucuronate interconversions,0.5475460006386529,0.7242830274167197,1.0,1.0,0
Pyruvate metabolism,0.5153924437122852,0.8098966347577938,1.0,1.0,0
Propanoate metabolism,0.4569672647949826,0.9864558539780898,1.0,1.0,0
Butanoate metabolism,0.8974515861342685,0.28031548602666434,1.0,1.0,0
Pentose phosphate pathway,0.525926107843804,0.2338917510182109,1.0,1.0,0
Purine metabolism,0.0038168077387644717,0.7935754681293827,0.09033111648409249,1.0,0
Pyrimidine metabolism,0.38895798837275497,0.5247476183998326,1.0,1.0,0
Nucleotide metabolism,0.0011603740906828142,0.9921062862126394,0.0411932802192399,1.0,1
"Alanine, aspartate and glutamate metabolism",0.7928577997801981,0.9390045672629455,1.0,1.0,0
Arginine and proline metabolism,0.9895249478489817,0.6793222872169645,1.0,1.0,0
Histidine metabolism,0.7808163909694275,0.5762938469547383,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.9968493613303175,0.5719505133459066,1.0,1.0,0
Lysine metabolism,0.9879705631561382,0.01087086103456425,1.0,0.12863852224234362,0
Tryptophan metabolism,1.0,0.12171838546140812,1.0,0.6913604294207981,0
Tyrosine metabolism,0.03011648884959317,0.9791560869663224,0.4751712685158034,1.0,0
"Valine, leucine, and isoleucine metabolism",0.7808163909694275,1.0,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.7039357109795142,0.2912451617932784,1.0,1.0,0
Cysteine and methionine metabolism,0.7336802386180501,0.43527086212640076,1.0,1.0,0
Glutathione metabolism,0.37453305045564733,0.9702391374030002,1.0,1.0,0
Transport reactions,7.20793050801305e-08,0.9999995628431544,5.117630660689265e-06,1.0,1
Beta-alanine metabolism,0.5317278287449274,1.0,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.31982814013346883,0.6607631401483469,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,1.0,6.22027429564298e-10,1.0,2.944263166604344e-08,-1
O-glycan metabolism,1.0,1.0,1.0,1.0,0
N-glycan metabolism,0.5317278287449274,1.0,1.0,1.0,0
Protein assembly,1.0,1.0,1.0,1.0,0
Protein modification,0.7808163909694275,0.5762938469547383,1.0,1.0,0
Protein degradation,0.5317278287449274,1.0,1.0,1.0,0
Miscellaneous,0.9964863670062543,0.5227569869705265,1.0,1.0,0
Sulfur metabolism,1.0,1.0,1.0,1.0,0
C5-branched dibasic acid metabolism,0.9520420353066786,0.8206204158472741,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.17056981371798063,0.7444286786031179,1.0,1.0,0
Oxidative phosphorylation,0.14173863900464623,0.9241205746507657,1.0,1.0,0
ROS detoxification,0.5593753587936457,0.8833208600778598,1.0,1.0,0
Fatty acid activation (cytosolic),0.5918645891419342,0.9225852456857481,1.0,1.0,0
Fatty acid activation (endoplasmic reticular),1.0,0.3490061162060316,1.0,1.0,0
Fatty acid biosynthesis (even-chain),0.9986582246899154,0.9999963920629945,1.0,1.0,0
Fatty acid biosynthesis (odd-chain),9.662325162196339e-09,1.0,1.3720501730318801e-06,1.0,1
Fatty acid biosynthesis (unsaturated),0.9901624540822886,0.4436315175057114,1.0,1.0,0
Fatty acid elongation (even-chain),5.771446257396562e-05,0.9998203114772923,0.002731817895167706,1.0,1
Fatty acid elongation (odd-chain),0.00582088915430512,0.9942848608995213,0.11808089427304673,1.0,0
Fatty acid desaturation (even-chain),0.8621746146961667,0.9942848608995213,1.0,1.0,0
Fatty acid desaturation (odd-chain),0.282639266523143,1.0,1.0,1.0,0
Fatty acid biosynthesis,0.13711064834662945,0.9944937840909254,1.0,1.0,0
Linoleate metabolism,1.0,1.0,1.0,1.0,0
Lipoic acid metabolism,1.0,1.0,1.0,1.0,0
Omega-3 fatty acid metabolism,0.9755638300630539,0.3050345042932714,1.0,1.0,0
Omega-6 fatty acid metabolism,0.9999614539304851,0.0014424285137047965,1.0,0.022758316549564568,-1
Arachidonic acid metabolism,0.5317278287449274,1.0,1.0,1.0,0
Leukotriene metabolism,0.01193295846863729,1.0,0.21181001281831188,1.0,0
Eicosanoid metabolism,0.7808163909694275,0.5762938469547383,1.0,1.0,0
Acyl-CoA hydrolysis,0.43908959614837983,0.8266885186501272,1.0,1.0,0
Carnitine shuttle (cytosolic),0.9105785934215942,0.8722299723782088,1.0,1.0,0
Carnitine shuttle (mitochondrial),0.6467552018222622,0.9982518936668388,1.0,1.0,0
Carnitine shuttle (peroxisomal),1.0,0.12171838546140812,1.0,0.6913604294207981,0
Carnitine shuttle (endoplasmic reticular),1.0,0.014773076926131279,1.0,0.1311110577194151,0
Acylglycerides metabolism,0.999801233894844,5.221643591224456e-05,1.0,0.001059247699934104,-1
Beta oxidation of even-chain fatty acids (peroxisomal),0.5317278287449274,1.0,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (peroxisomal),0.5317278287449274,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),0.07977727839902315,1.0,0.944031127721774,1.0,0
Beta oxidation of phytanic acid (peroxisomal),0.7808163909694275,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of even-chain fatty acids (mitochondrial),0.17438353555058317,0.999187134342034,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (mitochondrial),0.0020892025103969036,0.9767379796577378,0.05933335129527206,1.0,0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),0.07237116675942457,0.8859938366422248,0.9342459708943899,1.0,0
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),0.9788286396110962,0.005907748835240922,1.0,0.076263666782201,0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),0.15018589946295258,1.0,1.0,1.0,0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of branched-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Terpenoid backbone biosynthesis,0.5777803031885375,0.38851486393457224,1.0,1.0,0
Steroid metabolism,0.9520420353066786,0.43527086212640076,1.0,1.0,0
Androgen metabolism,1.0,0.014773076926131279,1.0,0.1311110577194151,0
Cholesterol biosynthesis 1 (Bloch pathway),1.0,0.0,1.0,0.0,-1
Cholesterol biosynthesis 2,1.0,0.04241983517553072,1.0,0.3011808297462681,0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway),1.0,0.3490061162060316,1.0,1.0,0
Cholesterol metabolism,0.9982930630122764,0.040989301679775436,1.0,0.3011808297462681,0
Estrogen metabolism,1.0,1.0,1.0,1.0,0
Formation and hydrolysis of cholesterol esters,1.0,1.0,1.0,1.0,0
Sphingolipid metabolism,0.996796330853623,0.0010457799190795036,1.0,0.01856259356366119,-1
Glycerolipid metabolism,1.0,0.5762938469547383,1.0,1.0,0
