subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.004644323691202046,0.9398881653290496,0.09421342345009864,1.0,0
Starch and sucrose metabolism,0.21030641067536582,0.942420748887455,0.9633390424484499,1.0,0
Galactose metabolism,0.5368859471145466,0.6324929716250695,1.0,1.0,0
Fructose and mannose metabolism,0.04436462330411506,0.8178163412650393,0.45161211293468934,1.0,0
Pentose and glucuronate interconversions,0.2575965125576487,0.764812756571657,1.0,1.0,0
Pyruvate metabolism,0.9205611171456537,0.7970553837265131,1.0,1.0,0
Propanoate metabolism,0.8172407883535061,0.010824139570899227,1.0,0.1397298017334264,0
Butanoate metabolism,0.11023704958812175,1.0,0.6261464416605316,1.0,0
Pentose phosphate pathway,0.0008066226770699902,0.9313178685837944,0.02214599117772705,1.0,1
Purine metabolism,0.000935746106101143,0.9974710019174731,0.02214599117772705,1.0,1
Pyrimidine metabolism,0.0006813184710031672,0.9984501348283098,0.02214599117772705,1.0,1
Nucleotide metabolism,0.08750013539417412,0.7844020797384199,0.6261464416605316,1.0,0
"Alanine, aspartate and glutamate metabolism",0.7639075865758471,0.9614592637916928,1.0,1.0,0
Arginine and proline metabolism,0.10988826979180577,1.0,0.6261464416605316,1.0,0
Histidine metabolism,1.0,0.6188914700746581,1.0,1.0,0
"Glycine, serine and threonine metabolism",1.0,0.5733822416445904,1.0,1.0,0
Lysine metabolism,0.8557278662007599,0.019016491785469714,1.0,0.2020448970048513,0
Tryptophan metabolism,0.554065550888192,1.0,1.0,1.0,0
Tyrosine metabolism,0.43750136655349325,0.803496986508402,1.0,1.0,0
"Valine, leucine, and isoleucine metabolism",1.0,0.3825847123727031,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.8674016485897368,0.07413538620791493,1.0,0.5012964210249486,0
Cysteine and methionine metabolism,0.6467533851903733,0.15573155253184567,1.0,0.8713427017839308,0
Glutathione metabolism,0.674850007360255,0.7978377927762079,1.0,1.0,0
Transport reactions,0.0975560292335721,0.9243968040066062,0.6261464416605316,1.0,0
Beta-alanine metabolism,1.0,0.3825847123727031,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.008002079283648489,0.987076861371785,0.13327634020459392,1.0,0
Aminoacyl-tRNA biosynthesis,0.9822804490704674,0.6973975437050473,1.0,1.0,0
O-glycan metabolism,1.0,1.0,1.0,1.0,0
N-glycan metabolism,0.3321513002348182,1.0,1.0,1.0,0
Protein assembly,1.0,0.3825847123727031,1.0,1.0,0
Protein modification,1.0,0.6188914700746581,1.0,1.0,0
Protein degradation,0.2575965125576487,0.764812756571657,1.0,1.0,0
Miscellaneous,0.10357894146452451,0.9920806371027522,0.6261464416605316,1.0,0
Sulfur metabolism,1.0,0.3825847123727031,1.0,1.0,0
C5-branched dibasic acid metabolism,1.0,1.0,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.45519151966974325,0.9886721999519809,1.0,1.0,0
Oxidative phosphorylation,0.04436462330411506,0.9659740737873015,0.45161211293468934,1.0,0
ROS detoxification,0.9115313012703811,0.4195703961084162,1.0,1.0,0
Fatty acid activation (cytosolic),0.39500448740625227,0.952391538341087,1.0,1.0,0
Fatty acid activation (endoplasmic reticular),1.8618401675940532e-07,0.8397601959938156,2.6438130379835556e-05,1.0,1
Fatty acid biosynthesis (even-chain),0.9999924004877683,0.007687293222734315,1.0,0.10915956376282726,0
Fatty acid biosynthesis (odd-chain),0.9998809516122263,1.0,1.0,1.0,0
Fatty acid biosynthesis (unsaturated),0.9999977764558976,0.9999962654411567,1.0,1.0,0
Fatty acid elongation (even-chain),0.9389763294293059,1.0,1.0,1.0,0
Fatty acid elongation (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid desaturation (even-chain),1.0,1.0,1.0,1.0,0
Fatty acid desaturation (odd-chain),1.0,1.0,1.0,1.0,0
Fatty acid biosynthesis,0.35166070159067053,0.7173940744097316,1.0,1.0,0
Linoleate metabolism,1.0,1.0,1.0,1.0,0
Lipoic acid metabolism,1.0,1.0,1.0,1.0,0
Omega-3 fatty acid metabolism,0.9643173190265664,0.9974138844513883,1.0,1.0,0
Omega-6 fatty acid metabolism,0.9877483102812581,0.9994332955236997,1.0,1.0,0
Arachidonic acid metabolism,1.0,1.0,1.0,1.0,0
Leukotriene metabolism,1.0,0.5417990546834702,1.0,1.0,0
Eicosanoid metabolism,0.11023704958812175,1.0,0.6261464416605316,1.0,0
Acyl-CoA hydrolysis,0.3273116665968342,0.8855111053600706,1.0,1.0,0
Carnitine shuttle (cytosolic),0.9117672108443617,0.9998056863838661,1.0,1.0,0
Carnitine shuttle (mitochondrial),0.9918336104111023,0.9999999912491999,1.0,1.0,0
Carnitine shuttle (peroxisomal),1.0,1.0,1.0,1.0,0
Carnitine shuttle (endoplasmic reticular),1.0,1.0,1.0,1.0,0
Acylglycerides metabolism,0.17118185229336236,0.5417990546834702,0.8102607675219152,1.0,0
Beta oxidation of even-chain fatty acids (peroxisomal),0.3321513002348182,1.0,1.0,1.0,0
Beta oxidation of odd-chain fatty acids (peroxisomal),0.3321513002348182,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),1.0,0.49455617270319263,1.0,1.0,0
Beta oxidation of phytanic acid (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of even-chain fatty acids (mitochondrial),0.9999993227181265,0.045294149422573704,1.0,0.3573205121114148,0
Beta oxidation of odd-chain fatty acids (mitochondrial),0.9999998106816629,1.7302671758701038e-06,1.0,8.189931299118491e-05,-1
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),1.0,0.024257139895015545,1.0,0.21528211656826296,0
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),1.0,1.0,1.0,1.0,0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),1.0,9.84646025281588e-06,1.0,0.000279639471179971,-1
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),0.9995489321359063,5.220650942994176e-06,1.0,0.00018533310847629325,-1
Beta oxidation of poly-unsaturated fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Beta oxidation of branched-chain fatty acids (mitochondrial),1.0,1.0,1.0,1.0,0
Terpenoid backbone biosynthesis,1.0,0.0004508801384990324,1.0,0.008003122458357825,-1
Steroid metabolism,1.0,0.14627795467657667,1.0,0.8654778985030787,0
Androgen metabolism,0.10988826979180577,0.8548982845278328,0.6261464416605316,1.0,0
Cholesterol biosynthesis 1 (Bloch pathway),8.016936611632275e-05,0.8711736178315388,0.0037946833295059434,1.0,1
Cholesterol biosynthesis 2,0.10988826979180577,0.8548982845278328,0.6261464416605316,1.0,0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway),1.0682921125160227e-05,0.9952329984854515,0.0007584873998863761,1.0,1
Cholesterol metabolism,0.9198709198942197,0.07250771892109098,1.0,0.5012964210249486,0
Estrogen metabolism,1.0,1.0,1.0,1.0,0
Formation and hydrolysis of cholesterol esters,0.9999999999999994,3.011035865085887e-12,1.0,4.2756709284219596e-10,-1
Sphingolipid metabolism,0.14655702351609223,0.8472080873550148,0.7195135329933816,1.0,0
Glycerolipid metabolism,1.0,1.0,1.0,1.0,0
Glycerophospholipid metabolism,0.047786812210390606,0.09256683622588668,0.45238182225836443,0.5974768520034505,0
Glycosphingolipid biosynthesis-ganglio series,1.0,1.0,1.0,1.0,0
Glycosphingolipid biosynthesis-globo series,1.0,1.0,1.0,1.0,0
Glycosphingolipid biosynthesis-lacto and neolacto series,1.0,1.0,1.0,1.0,0
Glycosphingolipid metabolism,1.0,1.0,1.0,1.0,0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1.0,1.0,1.0,1.0,0
Glucocorticoid biosynthesis,1.0,1.0,1.0,1.0,0
Prostaglandin biosynthesis,0.8012985082951143,0.1595416214533958,1.0,0.8713427017839308,0
Ether lipid metabolism,1.0,0.14627795467657667,1.0,0.8654778985030787,0
Isolated,0.6467533851903733,0.9448086834271424,1.0,1.0,0
Chondroitin / heparan sulfate biosynthesis,1.0,1.0,1.0,1.0,0
Chondroitin sulfate degradation,1.0,1.0,1.0,1.0,0
Heparan sulfate degradation,1.0,1.0,1.0,1.0,0
Keratan sulfate biosynthesis,1.0,1.0,1.0,1.0,0
Keratan sulfate degradation,0.3321513002348182,1.0,1.0,1.0,0
Bile acid biosynthesis,1.0,0.021342770810371614,1.0,0.2020448970048513,0
Bile acid recycling,0.3321513002348182,1.0,1.0,1.0,0
Blood group biosynthesis,1.0,1.0,1.0,1.0,0
Nicotinate and nicotinamide metabolism,0.07495736832124378,0.942420748887455,0.6261464416605316,1.0,0
Pantothenate and CoA biosynthesis,1.0,0.0001716195964309719,1.0,0.0034814260990282874,-1
Inositol phosphate metabolism,0.12361629270394348,0.6180498594190668,0.6751351370753835,1.0,0
Folate metabolism,0.013459668751696463,0.9982007696669589,0.19112729627408975,1.0,0
Biotin metabolism,0.554065550888192,0.6188914700746581,1.0,1.0,0
Biopterin metabolism,0.008447091984798205,0.7978377927762079,0.13327634020459392,1.0,0
Ascorbate and aldarate metabolism,1.0,1.0,1.0,1.0,0
Porphyrin metabolism,1.0,0.014639792899284632,1.0,0.17323754930820148,0
Retinol metabolism,0.14694290462540893,0.006049731198388253,0.7195135329933816,0.0954513144634591,0
Riboflavin metabolism,1.0,0.764812756571657,1.0,1.0,0
Serotonin and melatonin biosynthesis,1.0,1.0,1.0,1.0,0
Thiamine metabolism,1.0,0.0558924834715534,1.0,0.41772277120845175,0
Vitamin B12 metabolism,0.7023000700526199,0.3270488970783808,1.0,1.0,0
Vitamin B6 metabolism,1.0,0.021342770810371614,1.0,0.2020448970048513,0
Vitamin D metabolism,1.0,7.387963785188134e-08,1.0,5.245454287483575e-06,-1
Vitamin E metabolism,0.9153566899835363,1.913299262890078e-05,1.0,0.00045281415888398513,-1
Xenobiotics metabolism,1.0,0.3825847123727031,1.0,1.0,0
Pool reactions,0.7023000700526199,0.764812756571657,1.0,1.0,0
Exchange/demand reactions,0.13850033374199522,0.9278073845389181,0.7195135329933816,1.0,0
Artificial reactions,0.04452513789496937,0.9104996127531084,0.45161211293468934,1.0,0
Ubiquinone synthesis,0.9115313012703811,0.03333730305143501,1.0,0.27846453137081006,0
Fatty acid oxidation,0.0356213772766949,0.7214387988761937,0.45161211293468934,1.0,0
Alkaloids biosynthesis,1.0,1.0,1.0,1.0,0
Heme synthesis,0.554065550888192,0.6188914700746581,1.0,1.0,0
Vitamin C metabolism,1.0,1.0,1.0,1.0,0
Phosphatidylinositol phosphate metabolism,1.0,1.0,1.0,1.0,0
Heme degradation,1.0,1.0,1.0,1.0,0
Vitamin A metabolism,0.10988826979180577,0.8548982845278328,0.6261464416605316,1.0,0
Phenylalanine metabolism,1.0,1.0,1.0,1.0,0
CoA synthesis,1.0,0.3825847123727031,1.0,1.0,0
Urea cycle,1.0,1.0,1.0,1.0,0
Dietary fiber binding,1.0,1.0,1.0,1.0,0
Vitamin B2 metabolism,1.0,1.0,1.0,1.0,0
CoA catabolism,1.0,1.0,1.0,1.0,0
Triacylglycerol synthesis,1.0,1.0,1.0,1.0,0
Hippurate metabolism,1.0,1.0,1.0,1.0,0
Peptide metabolism,1.0,1.0,1.0,1.0,0
Drug metabolism,1.0,1.0,1.0,1.0,0
