subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.2923292803471528,0.9999754236097501,1.0,1.0,0
Starch and sucrose metabolism,0.6910917378188466,0.3934288602322237,1.0,1.0,0
Galactose metabolism,0.9690574768623083,0.4387560060465303,1.0,1.0,0
Fructose and mannose metabolism,0.13387190139305638,0.9517232815135673,1.0,1.0,0
Pentose and glucuronate interconversions,1.0,1.0,1.0,1.0,0
Pyruvate metabolism,0.7630089774086193,0.522653533328524,1.0,1.0,0
Propanoate metabolism,0.7241082785611983,0.5026140353786654,1.0,1.0,0
Butanoate metabolism,0.8238854033652482,0.5788551440798488,1.0,1.0,0
Pentose phosphate pathway,0.8310400010065953,0.8845859188315216,1.0,1.0,0
Purine metabolism,0.1182018812345137,0.9775594347561815,1.0,1.0,0
Pyrimidine metabolism,0.7783750798853837,0.1363335921783042,1.0,0.8417117430138781,0
Nucleotide metabolism,0.06810817236636113,0.7801232273793756,0.8059467063352734,1.0,0
"Alanine, aspartate and glutamate metabolism",0.4333055097837668,0.6653799193801344,1.0,1.0,0
Arginine and proline metabolism,0.5802150537645845,1.0,1.0,1.0,0
Histidine metabolism,0.33654470416490556,1.0,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.4333055097837668,0.6653799193801344,1.0,1.0,0
Lysine metabolism,0.9669833912065537,0.05394881073680069,1.0,0.45063124262504106,0
Tryptophan metabolism,0.8238854033652482,0.5788551440798488,1.0,1.0,0
Tyrosine metabolism,0.8051650120373114,0.8509926787641551,1.0,1.0,0
"Valine, leucine, and isoleucine metabolism",0.8238854033652482,0.5788551440798488,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.20343967190175283,0.9255131668859962,1.0,1.0,0
Cysteine and methionine metabolism,1.0,0.015100530745290719,1.0,0.1786896138192735,0
Glutathione metabolism,0.00426369131712645,1.0,0.1540601069053304,1.0,0
Transport reactions,0.09207679726369322,0.4805246995522936,1.0,1.0,0
Beta-alanine metabolism,1.0,0.3509677419370658,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.33357474108101537,0.9154745536153768,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,0.5237012017224237,0.4022796641084593,1.0,1.0,0
O-glycan metabolism,1.0,1.0,1.0,1.0,0
N-glycan metabolism,1.0,1.0,1.0,1.0,0
Protein assembly,0.5802150537645845,1.0,1.0,1.0,0
Protein modification,0.8238854033652482,0.5788551440798488,1.0,1.0,0
Protein degradation,0.9261577197061145,0.2829841131438964,1.0,1.0,0
Miscellaneous,0.9218922578993411,0.31620228944546924,1.0,1.0,0
Sulfur metabolism,0.33654470416490556,1.0,1.0,1.0,0
C5-branched dibasic acid metabolism,0.9690574768623083,1.0,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.2095796273563072,0.9693177477451604,1.0,1.0,0
Oxidative phosphorylation,0.20343967190175283,0.9255131668859962,1.0,1.0,0
ROS detoxification,0.11312119683176125,1.0,1.0,1.0,0
Fatty acid activation (cytosolic),0.5800757762897027,0.14751351244835897,1.0,0.8727882819861239,0
Fatty acid activation (endoplasmic reticular),1.0,0.3509677419370658,1.0,1.0,0
Fatty acid biosynthesis (even-chain),0.000209634603050457,1.0,0.029768113633164894,1.0,1
Fatty acid biosynthesis (odd-chain),0.5529149737422541,1.0,1.0,1.0,0
Fatty acid biosynthesis (unsaturated),0.5133875416952658,1.0,1.0,1.0,0
Fatty acid elongation (even-chain),0.03445767162140889,1.0,0.6740634462339743,1.0,0
Fatty acid elongation (odd-chain),0.18501271471654002,1.0,1.0,1.0,0
Fatty acid desaturation (even-chain),0.3827412084181514,1.0,1.0,1.0,0
Fatty acid desaturation (odd-chain),0.33654470416490556,1.0,1.0,1.0,0
Fatty acid biosynthesis,0.018013165648426366,0.9693177477451604,0.42631158701275734,1.0,0
Linoleate metabolism,1.0,1.0,1.0,1.0,0
Lipoic acid metabolism,1.0,1.0,1.0,1.0,0
Omega-3 fatty acid metabolism,0.001328027497124129,0.9998516876526622,0.09428995229581316,1.0,0
Omega-6 fatty acid metabolism,0.00954557045985982,1.0,0.27109420106001886,1.0,0
Arachidonic acid metabolism,0.5802150537645845,1.0,1.0,1.0,0
Leukotriene metabolism,0.03797540542163236,1.0,0.6740634462339743,1.0,0
Eicosanoid metabolism,1.0,0.12308033979418576,1.0,0.8322575357511608,0
Acyl-CoA hydrolysis,0.06440241566631655,0.7561234831832357,0.8059467063352734,1.0,0
Carnitine shuttle (cytosolic),0.06376283878867872,0.9513351923434654,0.8059467063352734,1.0,0
