subsystem,p_up,p_down,q_up,q_down,enrichment
Glycolysis / Gluconeogenesis,0.055237702691641855,0.9982748542711359,0.6804076435677934,1.0,0
Starch and sucrose metabolism,0.9393744702996827,0.026861303741325004,1.0,0.38143051312681503,0
Galactose metabolism,0.6249646905396912,0.7430558531201832,1.0,1.0,0
Fructose and mannose metabolism,0.07652922585061583,0.8973089260442632,0.6804076435677934,1.0,0
Pentose and glucuronate interconversions,0.15040872780167203,0.8359556608183575,0.9334799777273949,1.0,0
Pyruvate metabolism,0.5279871645842265,0.4695467862626186,1.0,1.0,0
Propanoate metabolism,0.18141140148387136,0.5715326570720977,0.9907853465657589,1.0,0
Butanoate metabolism,0.6137346305215194,0.6968817406795024,1.0,1.0,0
Pentose phosphate pathway,0.3949968432316663,0.8023615593590093,1.0,1.0,0
Purine metabolism,0.7823917479823641,0.46583042468092617,1.0,1.0,0
Pyrimidine metabolism,0.5297945564228121,0.33992276249857734,1.0,1.0,0
Nucleotide metabolism,0.7269418075311089,0.9952321055472599,1.0,1.0,0
"Alanine, aspartate and glutamate metabolism",0.8916199211142006,0.4711627549967383,1.0,1.0,0
Arginine and proline metabolism,0.991493495532443,0.004376037841091307,1.0,0.0776746716793707,0
Histidine metabolism,1.0,1.0,1.0,1.0,0
"Glycine, serine and threonine metabolism",0.9449479773562752,0.041685830416415603,1.0,0.45533753224084733,0
Lysine metabolism,0.9106885748722519,0.04902249769587663,1.0,0.49722819091532017,0
Tryptophan metabolism,0.6137346305215194,0.6968817406795024,1.0,1.0,0
Tyrosine metabolism,0.00995226477921951,0.9578517698179484,0.4227770471077003,1.0,0
"Valine, leucine, and isoleucine metabolism",0.37841409691856587,1.0,1.0,1.0,0
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.05407018684507481,1.0,0.6804076435677934,1.0,0
Cysteine and methionine metabolism,1.0,0.09057716646261138,1.0,0.6430978818845408,0
Glutathione metabolism,0.021570934347320492,0.9731311612612751,0.4227770471077003,1.0,0
Transport reactions,0.013317463961472265,0.9860247917767117,0.4227770471077003,1.0,0
Beta-alanine metabolism,0.37841409691856587,1.0,1.0,1.0,0
Metabolism of other amino acids,1.0,1.0,1.0,1.0,0
Amino sugar and nucleotide sugar metabolism,0.27887910402865645,0.6944487046367025,1.0,1.0,0
Aminoacyl-tRNA biosynthesis,0.9939744649611784,0.00025679559387437045,1.0,0.006077495721693434,-1
O-glycan metabolism,1.0,1.0,1.0,1.0,0
N-glycan metabolism,1.0,1.0,1.0,1.0,0
Protein assembly,1.0,0.4493392070484874,1.0,1.0,0
Protein modification,0.14309356331312362,1.0,0.9334799777273949,1.0,0
Protein degradation,0.6137346305215194,0.6968817406795024,1.0,1.0,0
Miscellaneous,0.5279871645842265,0.4695467862626186,1.0,1.0,0
Sulfur metabolism,1.0,1.0,1.0,1.0,0
C5-branched dibasic acid metabolism,1.0,1.0,1.0,1.0,0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.8636323901120556,0.02590012624113025,1.0,0.38143051312681503,0
Oxidative phosphorylation,0.0767941231533611,0.9614391277225044,0.6804076435677934,1.0,0
ROS detoxification,0.9425544810459039,0.2538977638259132,1.0,1.0,0
Fatty acid activation (cytosolic),0.9959757705309287,0.05637848564083614,1.0,0.5337163307332488,0
Fatty acid activation (endoplasmic reticular),1.0,1.0,1.0,1.0,0
